12433.png: uiqm=0.6732968870402983, uciqe=0.5077583839810216
149.png: uiqm=0.5479581371504454, uciqe=0.4652656780781366
161.png: uiqm=0.5540828759541246, uciqe=0.48732081886671963
264574_00031858.png: uiqm=1.318198045006301, uciqe=0.523656589044269
264734_00038535.png: uiqm=0.7500667257630065, uciqe=0.540556583952495
265119_00013763.png: uiqm=0.612238749197892, uciqe=0.5550822489325843
265130_00031309.png: uiqm=0.780677668367837, uciqe=0.5272854407159026
265344_00029330.png: uiqm=0.7368798760280731, uciqe=0.5200359815531053
306_img_.png: uiqm=0.6297037099859393, uciqe=0.5109529654776381
332_img_.png: uiqm=0.5753173617648086, uciqe=0.5439691973484042
3330.png: uiqm=0.6663651793335779, uciqe=0.609863378893508
36.png: uiqm=0.6527980270113553, uciqe=0.48135012438200997
387_img_.png: uiqm=1.264108077767769, uciqe=0.6062447211352946
757_img_.png: uiqm=0.8349017888028969, uciqe=0.525056577768636
819_img_.png: uiqm=0.8794534356257391, uciqe=0.512322175412668
96.png: uiqm=0.7393220650051224, uciqe=0.49142288244017124
GI_1.png: uiqm=1.1926322232281605, uciqe=0.5257274705321036
GI_16.png: uiqm=0.5549371725088339, uciqe=0.4587427275626065
GI_2.png: uiqm=1.2923008144792805, uciqe=0.5294317287327522
GI_22.png: uiqm=0.5804591296631223, uciqe=0.46816601391686324
GI_29.png: uiqm=0.5308336421913717, uciqe=0.49154216742947043
GI_33.png: uiqm=0.9421585675467858, uciqe=0.5909484282582753
GI_35.png: uiqm=0.6368288095164518, uciqe=0.5847278217101832
GI_43.png: uiqm=0.6104358129292804, uciqe=0.5272840251820822
GI_7.png: uiqm=1.3118380283785624, uciqe=0.4797065097885078
GI_78.png: uiqm=0.9447712584368919, uciqe=0.5435294300754772
GI_8.png: uiqm=1.543155098349144, uciqe=0.49447638489537926
GI_95.png: uiqm=0.5054260414744866, uciqe=0.5293925205101992
gmn_5017up.png: uiqm=0.934949682226714, uciqe=0.5558992263299904
gmn_5029up.png: uiqm=0.7931213991658113, uciqe=0.5349851450774598
gmn_5148up.png: uiqm=0.6025234884727462, uciqe=0.5947013524837772
gmn_5183up.png: uiqm=0.8398501917237405, uciqe=0.5077942208940553
gmn_5185up.png: uiqm=0.8796515042100603, uciqe=0.5415075301582374
gmn_5228up.png: uiqm=1.0244951059277256, uciqe=0.5601991983509691
gmn_7856up.png: uiqm=0.9470778064916017, uciqe=0.5549885227824694
gmn_7919up.png: uiqm=0.7396954796772537, uciqe=0.5150183504649655
im_f1582_.png: uiqm=1.2555146091954708, uciqe=0.5266953479298425
im_f2253_.png: uiqm=0.8557294067229647, uciqe=0.4874284513525924
n01496331_1010.png: uiqm=0.8043687297698648, uciqe=0.48436398359571986
n01496331_2044.png: uiqm=0.9321100381012155, uciqe=0.5384679324097807
n01914609_1112.png: uiqm=0.8138150962520527, uciqe=0.5120676434768301
n01914609_11380.png: uiqm=0.8726087290781809, uciqe=0.4726164493210811
n01914609_13222.png: uiqm=1.1781083791020435, uciqe=0.5090521257710403
n01914609_13909.png: uiqm=1.3163353286603185, uciqe=0.5415398963770686
n01914609_1437.png: uiqm=0.6905142024739697, uciqe=0.5285184840128931
n01914609_1980.png: uiqm=0.9249564580466599, uciqe=0.5122212907379058
n01914609_2054.png: uiqm=0.7395524221415846, uciqe=0.5077832052632653
n01914609_7919.png: uiqm=0.8134600194974297, uciqe=0.514100677660979
n02607072_2382.png: uiqm=0.6628751427710419, uciqe=0.5067042822977864
n02607072_5845.png: uiqm=0.8449801142847961, uciqe=0.5312766303434793
n02607072_931.png: uiqm=0.7990523544580872, uciqe=0.5297503172741722
NF_1.png: uiqm=0.6064148167581436, uciqe=0.5505770693356362
NF_10.png: uiqm=0.5188404646606252, uciqe=0.5105472173374492
NF_100.png: uiqm=0.8333463167451332, uciqe=0.4900220152404632
NF_110.png: uiqm=0.4748211294708635, uciqe=0.4931815365174229
NF_116.png: uiqm=0.540448447506725, uciqe=0.4695777856278063
NF_123.png: uiqm=0.7048909370112874, uciqe=0.466808074140435
NF_124.png: uiqm=0.8556937192295302, uciqe=0.47942864635753246
NF_13.png: uiqm=0.8054339553335732, uciqe=0.5374280268270122
NF_14.png: uiqm=0.774018702597633, uciqe=0.5297115025537704
NF_141.png: uiqm=0.8105856478917972, uciqe=0.4775750969212302
NF_147.png: uiqm=0.7612840139568366, uciqe=0.4800743894176469
NF_148.png: uiqm=0.6734164856666092, uciqe=0.4885099593419088
NF_166.png: uiqm=0.7050515556197661, uciqe=0.4669132228551901
NF_171.png: uiqm=0.7664648369008003, uciqe=0.5011858503447956
NF_172.png: uiqm=0.8502726639742866, uciqe=0.48181747248584017
NF_174.png: uiqm=0.7142746812754069, uciqe=0.5171098376741744
NF_177.png: uiqm=0.5903100994741807, uciqe=0.4960360172774141
NF_194.png: uiqm=0.3591720913178429, uciqe=0.5111589996610073
NF_195.png: uiqm=0.5330111306706478, uciqe=0.4627054989549136
NF_2.png: uiqm=0.41883116466200954, uciqe=0.518442039206576
NF_201.png: uiqm=0.5644050839066369, uciqe=0.5196808981734835
NF_209.png: uiqm=0.7428610832154322, uciqe=0.5511366984249408
NF_213.png: uiqm=0.7144981816171275, uciqe=0.5050547722240277
NF_215.png: uiqm=0.6996801770730624, uciqe=0.5127004255968378
NF_218.png: uiqm=0.8219039869791107, uciqe=0.5471369554231996
NF_231.png: uiqm=0.7375424406884916, uciqe=0.46312420861656767
NF_241.png: uiqm=0.8573655470729352, uciqe=0.46713121191833207
NF_242.png: uiqm=0.5564077774638256, uciqe=0.48046337853356114
NF_252.png: uiqm=0.5644910876779838, uciqe=0.47554134144172366
