1.jpg: uiqm=0.5799524049537795, uciqe=0.49266842526489096
10.jpg: uiqm=0.6255001396725963, uciqe=0.4886063179131936
100.jpg: uiqm=0.7225606176738834, uciqe=0.4796919665340882
101.jpg: uiqm=0.6459781764229283, uciqe=0.4834531541549876
102.jpg: uiqm=0.6156186438798763, uciqe=0.4902363357254093
103.jpg: uiqm=0.5835164573742841, uciqe=0.4892324010126584
104.jpg: uiqm=0.551391513361794, uciqe=0.48903500027199953
105.jpg: uiqm=0.6284880050107794, uciqe=0.488418634424028
106.jpg: uiqm=0.629605148632248, uciqe=0.48636477336828643
107.jpg: uiqm=0.706010018821118, uciqe=0.47973938348672923
108.jpg: uiqm=0.6382117724272128, uciqe=0.4818804659924848
109.jpg: uiqm=0.5994558959393491, uciqe=0.48453767652522106
11.jpg: uiqm=0.6248765176304665, uciqe=0.48906031010671125
110.jpg: uiqm=0.60411864528964, uciqe=0.4892503701839083
111.jpg: uiqm=0.567760636605443, uciqe=0.49021597200856226
112.jpg: uiqm=0.6066233144407442, uciqe=0.4856218955707524
113.jpg: uiqm=0.6024956059435664, uciqe=0.4860418873752191
114.jpg: uiqm=0.5976677908936932, uciqe=0.484135626049644
115.jpg: uiqm=0.5801233166711768, uciqe=0.4856127845196786
116.jpg: uiqm=0.697997677960073, uciqe=0.4816370237641004
117.jpg: uiqm=0.6939110766575813, uciqe=0.48598334499001106
118.jpg: uiqm=0.6104808122765448, uciqe=0.47019680223869326
119.jpg: uiqm=0.6500755697977872, uciqe=0.4979483045624069
12.jpg: uiqm=0.6243119199159152, uciqe=0.48871460337601824
120.jpg: uiqm=0.6590099506369932, uciqe=0.4823945907113325
121.jpg: uiqm=0.5120594144512581, uciqe=0.49040715802792073
122.jpg: uiqm=0.5606172895146656, uciqe=0.4843653211641673
123.jpg: uiqm=0.6389464094024345, uciqe=0.49231145817280875
124.jpg: uiqm=0.6129203878964917, uciqe=0.4896351621375429
125.jpg: uiqm=0.6180500573003943, uciqe=0.4863940094271483
126.jpg: uiqm=0.6435719754101876, uciqe=0.475758063494914
127.jpg: uiqm=0.6497485535403364, uciqe=0.4803487707779605
128.jpg: uiqm=0.6306227480947068, uciqe=0.4801871306644716
129.jpg: uiqm=0.6153167184722088, uciqe=0.49443684893649253
13.jpg: uiqm=0.6120740540900287, uciqe=0.48734209358460506
130.jpg: uiqm=0.6396435103130073, uciqe=0.49206603781693586
131.jpg: uiqm=0.5371956180366496, uciqe=0.4799372326055623
