12433.png: NIQE=19.14317243066064  with dealing time: 78.34588432312012
149.png: NIQE=25.370758853918534  with dealing time: 66.66384696960449
161.png: NIQE=27.752474605016477  with dealing time: 73.89678311347961
264574_00031858.png: NIQE=40.7103232048437  with dealing time: 61.95953106880188
264734_00038535.png: NIQE=38.11040065708398  with dealing time: 57.501749753952026
265119_00013763.png: NIQE=45.40746937406136  with dealing time: 58.00922513008118
265130_00031309.png: NIQE=35.4463750817125  with dealing time: 60.66639757156372
265344_00029330.png: NIQE=47.72381442173657  with dealing time: 61.086766719818115
306_img_.png: NIQE=42.490583591746585  with dealing time: 59.53173875808716
332_img_.png: NIQE=42.34804338901496  with dealing time: 63.4647216796875
3330.png: NIQE=29.774631513077576  with dealing time: 63.01611328125
36.png: NIQE=20.96903196420061  with dealing time: 61.54415583610535
387_img_.png: NIQE=34.98291670082264  with dealing time: 60.53303551673889
757_img_.png: NIQE=17.033497825221115  with dealing time: 67.17680621147156
819_img_.png: NIQE=19.534641267712633  with dealing time: 71.39868402481079
96.png: NIQE=25.641048546101374  with dealing time: 72.08686232566833
GI_1.png: NIQE=21.65775438632504  with dealing time: 69.01336979866028
GI_16.png: NIQE=35.22226887309541  with dealing time: 70.122962474823
GI_2.png: NIQE=27.465689849324253  with dealing time: 64.61946105957031
GI_22.png: NIQE=22.903742693794076  with dealing time: 69.15292596817017
GI_29.png: NIQE=56.35637818401693  with dealing time: 71.34421586990356
GI_33.png: NIQE=20.699229485627555  with dealing time: 67.52354836463928
GI_35.png: NIQE=23.435107207561376  with dealing time: 65.21399068832397
GI_43.png: NIQE=33.27446391678929  with dealing time: 63.55862259864807
GI_7.png: NIQE=19.590417014617874  with dealing time: 64.29678535461426
GI_78.png: NIQE=25.02450503660037  with dealing time: 60.71366572380066
GI_8.png: NIQE=18.47377534034658  with dealing time: 71.1616063117981
GI_95.png: NIQE=18.10930326457569  with dealing time: 68.38319802284241
gmn_5017up.png: NIQE=15.833044513411433  with dealing time: 65.78214073181152
gmn_5029up.png: NIQE=29.33391302996792  with dealing time: 60.45368552207947
gmn_5148up.png: NIQE=17.59588993414527  with dealing time: 63.88164210319519
gmn_5183up.png: NIQE=24.428206998748045  with dealing time: 61.09389567375183
gmn_5185up.png: NIQE=23.38270855444157  with dealing time: 63.665536642074585
gmn_5228up.png: NIQE=22.265230750897175  with dealing time: 65.61933279037476
gmn_7856up.png: NIQE=20.341590319065745  with dealing time: 62.50646710395813
gmn_7919up.png: NIQE=25.242728995816293  with dealing time: 61.77790808677673
im_f1582_.png: NIQE=20.6098066357279  with dealing time: 61.91361165046692
im_f2253_.png: NIQE=46.87948421547364  with dealing time: 64.7089171409607
n01496331_1010.png: NIQE=50.676350001795804  with dealing time: 62.68302893638611
n01496331_2044.png: NIQE=52.88839010962192  with dealing time: 61.326335191726685
n01914609_1112.png: NIQE=50.883690738126866  with dealing time: 60.61504769325256
n01914609_11380.png: NIQE=21.914984522159628  with dealing time: 62.856977224349976
n01914609_13222.png: NIQE=21.810663744016306  with dealing time: 67.57709503173828
n01914609_13909.png: NIQE=24.266334036228365  with dealing time: 62.11156725883484
n01914609_1437.png: NIQE=51.68084183513591  with dealing time: 54.80323100090027
n01914609_1980.png: NIQE=47.85497876433756  with dealing time: 55.84305667877197
n01914609_2054.png: NIQE=52.91627748536212  with dealing time: 57.91915011405945
n01914609_7919.png: NIQE=50.99746500422456  with dealing time: 61.41110372543335
n02607072_2382.png: NIQE=56.40624504570207  with dealing time: 67.27374362945557
n02607072_5845.png: NIQE=26.039585874948624  with dealing time: 62.71445298194885
n02607072_931.png: NIQE=55.0049134927865  with dealing time: 62.31213116645813
NF_1.png: NIQE=36.318895662926735  with dealing time: 60.13896822929382
NF_10.png: NIQE=40.25245773822971  with dealing time: 64.32620334625244
NF_100.png: NIQE=32.85157297815592  with dealing time: 58.06832814216614
NF_110.png: NIQE=31.26730338059449  with dealing time: 59.48397469520569
