100001.png: uiqm=0.8634678972545156, uciqe=0.4968912826593911
10091.png: uiqm=1.1027595100670413, uciqe=0.5391303414599824
10103.png: uiqm=1.0018388322640015, uciqe=0.5635531640059094
10167.png: uiqm=1.0056396671408827, uciqe=0.5613419028742073
102.png: uiqm=0.9470490775985987, uciqe=0.5704055543691734
10226.png: uiqm=0.6088409534279297, uciqe=0.5547023834617513
10475.png: uiqm=0.7351622887223144, uciqe=0.5430158348654499
10488.png: uiqm=0.8034307957154393, uciqe=0.5141978687995137
12191.png: uiqm=1.311013789710989, uciqe=0.5121027934536958
12203.png: uiqm=1.2169709963101383, uciqe=0.4930555617633421
12228.png: uiqm=0.8777666539953399, uciqe=0.5378771214137418
12565.png: uiqm=1.1988744699005212, uciqe=0.5308269930289071
12577.png: uiqm=1.4027233110665454, uciqe=0.5030502426607301
12625.png: uiqm=0.7086128019326154, uciqe=0.5027066886396755
12709.png: uiqm=0.9066150872622115, uciqe=0.4998681944424229
12753.png: uiqm=1.0316882669141294, uciqe=0.5512623584364954
12960.png: uiqm=0.6839906024219274, uciqe=0.5685177686136142
12972.png: uiqm=0.706550219564515, uciqe=0.5995202478736462
13252.png: uiqm=0.9232539791854328, uciqe=0.5809065328263521
13259.png: uiqm=1.3989573821372199, uciqe=0.5840577491163645
15603.png: uiqm=0.8489405421723857, uciqe=0.5454439880824737
15735.png: uiqm=0.6911632886150295, uciqe=0.5429033747543749
15738.png: uiqm=0.7709004262356267, uciqe=0.5313797313359577
15740.png: uiqm=0.7780604172678675, uciqe=0.5558371608506341
15774.png: uiqm=0.8170410135329876, uciqe=0.5316242849661694
15775.png: uiqm=0.789637465740159, uciqe=0.48794631668330785
2.png: uiqm=1.382878868217694, uciqe=0.5501198873838986
2575.png: uiqm=0.8898506509320905, uciqe=0.5540265339482179
2583.png: uiqm=0.890461282318233, uciqe=0.563877810900817
2856.png: uiqm=1.0392641277798123, uciqe=0.5223199638444584
3027.png: uiqm=1.2404806449705863, uciqe=0.5596576558997057
3051.png: uiqm=1.1003051998731848, uciqe=0.5241137621206923
3087.png: uiqm=1.4370903894871931, uciqe=0.5548411518175762
3175.png: uiqm=0.8878157266301479, uciqe=0.5564798643604483
3201.png: uiqm=0.9583834749403513, uciqe=0.5088232527496582
3279.png: uiqm=0.945701871595232, uciqe=0.5468584713032192
34.png: uiqm=1.0126245197453945, uciqe=0.5940322143550454
3494.png: uiqm=0.7681317387159345, uciqe=0.5508755731877222
3519.png: uiqm=0.7461104919143556, uciqe=0.5698570465448668
358_img_.png: uiqm=0.518916588353364, uciqe=0.5558226543825786
432.png: uiqm=0.7306139294104999, uciqe=0.5372335109711444
5.png: uiqm=0.7360754489454533, uciqe=0.5666166674941953
52.png: uiqm=1.1170987964961308, uciqe=0.5978664412799921
579.png: uiqm=0.8552812075865743, uciqe=0.5309955884755234
605.png: uiqm=0.8771642620851626, uciqe=0.5330929092509658
616.png: uiqm=1.0288151276310689, uciqe=0.5541382818964568
627.png: uiqm=1.085017179233567, uciqe=0.578611098939311
6333.png: uiqm=0.6184872130728905, uciqe=0.5047165792548527
6340.png: uiqm=0.7116148445960819, uciqe=0.5200544051302993
643_img_.png: uiqm=1.1369612930318118, uciqe=0.5720926786833084
6527.png: uiqm=0.7584016869480215, uciqe=0.5008913070123646
7277.png: uiqm=1.2516563377013257, uciqe=0.606368624760935
7291.png: uiqm=1.1374760167110622, uciqe=0.603773843386208
770.png: uiqm=1.0638050438102438, uciqe=0.5165237730204817
866.png: uiqm=1.0695432309291077, uciqe=0.5141796350904604
880.png: uiqm=1.0427224931129424, uciqe=0.6033418501647977
9553.png: uiqm=1.0806548226906985, uciqe=0.5681506040327103
9602.png: uiqm=1.0178611559626387, uciqe=0.5369939492419917
9607.png: uiqm=1.1126827533301038, uciqe=0.5253527612373806
9618.png: uiqm=0.8243234598138124, uciqe=0.5279031421206306

Average: uiqm=0.9534203602454855, uciqe=0.5452121489280033

