1.jpg: uiqm=0.8470158622215039, uciqe=0.48842446210325385
10.jpg: uiqm=0.8414665433820065, uciqe=0.49364518980793304
100.jpg: uiqm=1.0089864748367057, uciqe=0.47891570817828777
101.jpg: uiqm=0.8817790453458946, uciqe=0.4901472143584651
102.jpg: uiqm=0.8541846734401581, uciqe=0.4833117639841066
103.jpg: uiqm=0.8231886335234699, uciqe=0.4828518750002432
104.jpg: uiqm=0.8343702116533824, uciqe=0.4805311552821251
105.jpg: uiqm=0.8737592992357504, uciqe=0.47380052013662355
106.jpg: uiqm=0.8735657156963372, uciqe=0.47335228479462343
107.jpg: uiqm=1.058773855590276, uciqe=0.4772864364407424
108.jpg: uiqm=0.8858436841847481, uciqe=0.47409067582427394
109.jpg: uiqm=0.8752238856270286, uciqe=0.4767473279858746
11.jpg: uiqm=0.8407348663343384, uciqe=0.4935065336361186
110.jpg: uiqm=0.8159743153179104, uciqe=0.4787931263737263
111.jpg: uiqm=0.7940065990278737, uciqe=0.47893445986178507
112.jpg: uiqm=0.8838442237148606, uciqe=0.4771662494896048
113.jpg: uiqm=0.8807586979688447, uciqe=0.47748043633785525
114.jpg: uiqm=0.8209886047827084, uciqe=0.47318190968071105
115.jpg: uiqm=0.8140399364475956, uciqe=0.4722364818473397
116.jpg: uiqm=0.9993243510228723, uciqe=0.4747586734095245
117.jpg: uiqm=0.964245731813535, uciqe=0.4792344016893965
118.jpg: uiqm=0.8359537584011324, uciqe=0.4561836008686677
119.jpg: uiqm=0.8885064480132749, uciqe=0.49346814755617696
12.jpg: uiqm=0.8386036301778299, uciqe=0.49293057721405004
120.jpg: uiqm=0.9217879113784789, uciqe=0.4741387558264122
121.jpg: uiqm=0.813176486669456, uciqe=0.48319076371284564
122.jpg: uiqm=0.8364583217829027, uciqe=0.47877674805002096
123.jpg: uiqm=0.8968359180730423, uciqe=0.48632030669913406
124.jpg: uiqm=0.8773133889377749, uciqe=0.48257457777598545
125.jpg: uiqm=0.8888009547839633, uciqe=0.47878741886301546
126.jpg: uiqm=0.8652398284602932, uciqe=0.4695699102495806
127.jpg: uiqm=0.9807451281625199, uciqe=0.4748384679482103
128.jpg: uiqm=0.8827891408308038, uciqe=0.4674008930596634
129.jpg: uiqm=0.8586545266673131, uciqe=0.48881029141134413
13.jpg: uiqm=0.853511871405114, uciqe=0.49280243581334826
130.jpg: uiqm=0.902134183968556, uciqe=0.486366235860369
131.jpg: uiqm=0.8444500747522414, uciqe=0.47410340592662625
132.jpg: uiqm=0.7936612729998707, uciqe=0.4810549884346211
133.jpg: uiqm=0.874857066757079, uciqe=0.4825839435759427
134.jpg: uiqm=0.8711562664985625, uciqe=0.4861652205548337
135.jpg: uiqm=0.9197075682144685, uciqe=0.4853299519374875
136.jpg: uiqm=0.8414107161728392, uciqe=0.482628328365726
137.jpg: uiqm=0.8441880542074938, uciqe=0.48258684788321154
138.jpg: uiqm=0.8294922607615605, uciqe=0.46965131889869777
139.jpg: uiqm=0.9037102232904721, uciqe=0.486309191932798
14.jpg: uiqm=0.8637698745881334, uciqe=0.4923280038251502
140.jpg: uiqm=0.8358745870265641, uciqe=0.4751820124473247
141.jpg: uiqm=1.1807828466475117, uciqe=0.49472182425909295
142.jpg: uiqm=0.7932355274789111, uciqe=0.484762761573899
143.jpg: uiqm=0.8623628489184015, uciqe=0.4721653004491646
144.jpg: uiqm=0.8606145417345624, uciqe=0.47366514441746804
145.jpg: uiqm=0.8499172104080728, uciqe=0.47567198783928
