1.png: uiqm=0.5090838187502228, uciqe=0.5413913685090558
10.png: uiqm=1.3139732597381713, uciqe=0.5525552621746613
11.png: uiqm=0.45712032863525454, uciqe=0.56450322348226
12.png: uiqm=1.075818621006685, uciqe=0.5926816896212996
13.png: uiqm=1.053551550740584, uciqe=0.5427254901932952
14.png: uiqm=0.6668263042765482, uciqe=0.5353679419022719
15.png: uiqm=0.9462809477702683, uciqe=0.5385087902197814
16.png: uiqm=1.2228614284094508, uciqe=0.58330979913572
17.png: uiqm=0.848637918676658, uciqe=0.6133096288472867
18.png: uiqm=0.7629345499642636, uciqe=0.609389048965579
19.png: uiqm=0.7484200640172148, uciqe=0.6106736080347853
2.png: uiqm=0.6348022832457154, uciqe=0.5735703258040754
20.png: uiqm=0.8918124356098509, uciqe=0.5858826160473273
21.png: uiqm=0.9813160465790346, uciqe=0.6269378268892539
22.png: uiqm=0.5882822226994334, uciqe=0.5694094036697658
23.png: uiqm=0.755693379023, uciqe=0.5454474559065856
24.png: uiqm=1.0727557517923922, uciqe=0.6337785614073429
25.png: uiqm=0.8771073613822908, uciqe=0.5922043379914541
26.png: uiqm=0.77371793771596, uciqe=0.605745370535567
27.png: uiqm=0.8453240374561206, uciqe=0.6188300401356999
28.png: uiqm=1.0469364920118753, uciqe=0.596417992219862
29.png: uiqm=1.613916736622913, uciqe=0.5847649257872147
3.png: uiqm=1.0663475635167363, uciqe=0.6106972452219501
30.png: uiqm=0.6818855337664985, uciqe=0.5556913848908438
31.png: uiqm=0.9472629266628839, uciqe=0.575962580526671
32.png: uiqm=0.9352669094440718, uciqe=0.5924155205116483
33.png: uiqm=1.2643911929336482, uciqe=0.5542807452991299
34.png: uiqm=1.2599043588764807, uciqe=0.5612804795828042
35.png: uiqm=1.0558920110923924, uciqe=0.5356087750364164
36.png: uiqm=1.1708477027165642, uciqe=0.5501184794512386
37.png: uiqm=1.0921216316522218, uciqe=0.5901604178720519
38.png: uiqm=0.8864346625726096, uciqe=0.570617001207574
39.png: uiqm=1.1984369699174775, uciqe=0.6257899249432465
4.png: uiqm=0.8839185561551216, uciqe=0.6172727523739988
40.png: uiqm=1.254412576785027, uciqe=0.5204985839528938
41.png: uiqm=1.1070164843260635, uciqe=0.5438370548413971
42.png: uiqm=0.8165606328256569, uciqe=0.5542513489598005
43.png: uiqm=1.0921630389612647, uciqe=0.5719944592966515
44.png: uiqm=0.990868598329379, uciqe=0.5506399165153448
45.png: uiqm=1.0092991857861104, uciqe=0.556829928836587
5.png: uiqm=1.0671518433301994, uciqe=0.5459018239766591
6.png: uiqm=0.8497689528083109, uciqe=0.5634619660237368
7.png: uiqm=0.8658744237058082, uciqe=0.5088248328186981
8.png: uiqm=0.563718143427144, uciqe=0.5985413779658189
9.png: uiqm=0.9862752060432106, uciqe=0.5695279592317919

Average: uiqm=0.9496220573724177, uciqe=0.5742579837070466

