1.png: NIQE=52.99398956805633  with dealing time: 65.3103277683258
10.png: NIQE=43.4899520620821  with dealing time: 66.33259963989258
11.png: NIQE=52.748630261410256  with dealing time: 69.25814437866211
12.png: NIQE=41.115831087300684  with dealing time: 67.95490884780884
13.png: NIQE=35.497016737378566  with dealing time: 59.66817879676819
14.png: NIQE=53.61531741664613  with dealing time: 65.67577648162842
15.png: NIQE=38.86483947275784  with dealing time: 57.502626180648804
16.png: NIQE=38.03144937266624  with dealing time: 58.57894730567932
17.png: NIQE=39.951499815142675  with dealing time: 60.86668658256531
18.png: NIQE=41.504877426399865  with dealing time: 62.840962171554565
19.png: NIQE=40.91602118002225  with dealing time: 65.49024796485901
2.png: NIQE=56.36123642804314  with dealing time: 63.23434925079346
20.png: NIQE=40.48968929699117  with dealing time: 60.797643423080444
21.png: NIQE=35.011619250152634  with dealing time: 64.2863998413086
22.png: NIQE=44.949610686005926  with dealing time: 74.92372846603394
23.png: NIQE=42.299539882105755  with dealing time: 70.59257435798645
24.png: NIQE=43.25630733667636  with dealing time: 69.16959929466248
25.png: NIQE=44.93262415169956  with dealing time: 69.77135229110718
26.png: NIQE=44.13837577191214  with dealing time: 69.90905928611755
27.png: NIQE=40.0982477463731  with dealing time: 65.42026877403259
28.png: NIQE=40.19539836044989  with dealing time: 72.64558434486389
29.png: NIQE=48.358039216347855  with dealing time: 64.5771918296814
3.png: NIQE=52.34342802683103  with dealing time: 61.79118990898132
30.png: NIQE=48.35774519631287  with dealing time: 62.4610493183136
31.png: NIQE=43.29473086335344  with dealing time: 60.19220733642578
32.png: NIQE=39.67033324848717  with dealing time: 62.34175729751587
33.png: NIQE=39.58050509159217  with dealing time: 58.7904908657074
34.png: NIQE=39.928244386519886  with dealing time: 68.6261875629425
35.png: NIQE=41.80346753821747  with dealing time: 67.37440419197083
36.png: NIQE=41.88964371824804  with dealing time: 60.43175649642944
37.png: NIQE=37.11300340585263  with dealing time: 59.528881788253784
38.png: NIQE=33.92302383415022  with dealing time: 64.27665972709656
39.png: NIQE=39.659031240438765  with dealing time: 63.89051675796509
4.png: NIQE=51.26325225112358  with dealing time: 65.62670922279358
40.png: NIQE=37.52073076312058  with dealing time: 64.60907912254333
41.png: NIQE=38.15980506478076  with dealing time: 63.008607387542725
42.png: NIQE=39.69964628216552  with dealing time: 61.783992290496826
43.png: NIQE=38.070616926369844  with dealing time: 61.22030305862427
44.png: NIQE=39.77543083300937  with dealing time: 66.31788372993469
45.png: NIQE=38.77915001342519  with dealing time: 62.063117027282715
5.png: NIQE=37.39295309877095  with dealing time: 61.8602397441864
6.png: NIQE=43.47287790700381  with dealing time: 62.06335926055908
7.png: NIQE=42.63281021161076  with dealing time: 62.60823893547058
8.png: NIQE=53.7509820477053  with dealing time: 73.3993752002716
9.png: NIQE=40.635743424130375  with dealing time: 62.53403186798096

45 Image Average: NIQE=42.61193928666311, TimePerImage=64.48015989727445, SumTime = 2901.60719537735s

