A_00383.jpg: NIQE=53.080375269854514  with dealing time: 65.0533561706543
A_0404.jpg: NIQE=63.34835901548091  with dealing time: 65.47153091430664
A_0445.jpg: NIQE=32.466782772108736  with dealing time: 70.52477669715881
A_0459.jpg: NIQE=49.002749201793115  with dealing time: 58.892417192459106
A_102.jpg: NIQE=30.22353421956935  with dealing time: 60.222245931625366
A_12.jpg: NIQE=29.104856227451705  with dealing time: 57.628228425979614
A_137.jpg: NIQE=27.430765038989527  with dealing time: 59.751299142837524
A_151.jpg: NIQE=26.021225531103404  with dealing time: 58.84659004211426
A_173.jpg: NIQE=27.738929609883535  with dealing time: 57.22347545623779
A_18.jpg: NIQE=34.08791255356616  with dealing time: 58.42479872703552
A_187.jpg: NIQE=29.158361237624312  with dealing time: 60.423866271972656
A_249.jpg: NIQE=32.74977775542648  with dealing time: 59.306143045425415
A_263.jpg: NIQE=27.760774918877512  with dealing time: 59.449004888534546
A_39.jpg: NIQE=32.931911025883224  with dealing time: 67.43621468544006
A_40.jpg: NIQE=35.512339803196355  with dealing time: 72.13104367256165
A_494.jpg: NIQE=47.27370100942908  with dealing time: 63.538251876831055
A_502.jpg: NIQE=53.67316546918202  with dealing time: 65.18088006973267
A_551.jpg: NIQE=51.23822752251363  with dealing time: 70.43357419967651
A_557.jpg: NIQE=37.53682654942147  with dealing time: 64.49326157569885
A_592.jpg: NIQE=66.61387297392164  with dealing time: 62.09325909614563
A_606.jpg: NIQE=44.38219639515517  with dealing time: 70.30805587768555
A_628.jpg: NIQE=47.24438712336084  with dealing time: 71.8579740524292
A_649.jpg: NIQE=31.529344382504657  with dealing time: 61.620649099349976
A_663.jpg: NIQE=30.396000139095285  with dealing time: 62.13600397109985
A_67.jpg: NIQE=29.128810635912764  with dealing time: 60.999879360198975
A_690.jpg: NIQE=41.04869210056487  with dealing time: 65.54386830329895
A_704.jpg: NIQE=26.72710519911101  with dealing time: 64.86702013015747
A_726.jpg: NIQE=28.617327491219868  with dealing time: 71.82802176475525
A_75.jpg: NIQE=42.177778412436446  with dealing time: 66.07962608337402
A_89.jpg: NIQE=30.197277627411836  with dealing time: 61.69775676727295
B_026.jpg: NIQE=43.76410672608243  with dealing time: 65.56635284423828
B_053.jpg: NIQE=34.47403728547762  with dealing time: 61.81784749031067
