104_img_.png: NIQE=36.48974921570857  with dealing time: 74.565260887146
10_img_.png: NIQE=39.35025622670912  with dealing time: 73.63856267929077
111_img_.png: NIQE=50.78574369964752  with dealing time: 84.2016134262085
112_img_.png: NIQE=36.07519353277625  with dealing time: 91.82823514938354
11_img_.png: NIQE=34.883045896133076  with dealing time: 85.36169767379761
13_img_.png: NIQE=34.26724425175498  with dealing time: 79.38321495056152
14_img_.png: NIQE=47.56538369050132  with dealing time: 80.41007161140442
15003.png: NIQE=42.98390171790053  with dealing time: 84.27458357810974
150_img_.png: NIQE=35.86117626702999  with dealing time: 79.19271540641785
15544.png: NIQE=34.401483160771335  with dealing time: 82.13153576850891
15_img_.png: NIQE=36.56834880291021  with dealing time: 80.19821619987488
169_img_.png: NIQE=33.592207367356195  with dealing time: 73.96740341186523
16_img_.png: NIQE=35.240578550758485  with dealing time: 74.95809769630432
17_img_.png: NIQE=36.81361868998629  with dealing time: 75.85633635520935
18_img_.png: NIQE=30.491767302683456  with dealing time: 77.77805066108704
19_img_.png: NIQE=29.24315037084597  with dealing time: 75.81294178962708
20.png: NIQE=34.978799053384094  with dealing time: 70.85290861129761
22_img_.png: NIQE=39.01352043161317  with dealing time: 73.6475157737732
23_img_.png: NIQE=33.379316844918236  with dealing time: 69.69584059715271
24_img_.png: NIQE=41.248365225142976  with dealing time: 73.668133020401
282_img_.png: NIQE=44.704756015616674  with dealing time: 73.50194668769836
284_img_.png: NIQE=44.75753276152908  with dealing time: 80.02288460731506
288_img_.png: NIQE=44.80168657566611  with dealing time: 80.81995296478271
290_img_.png: NIQE=48.60635355525033  with dealing time: 79.36751294136047
292_img_.png: NIQE=44.85648568213367  with dealing time: 80.67931270599365
293_img_.png: NIQE=40.15571614755168  with dealing time: 73.36583256721497
294_img_.png: NIQE=40.74271232322846  with dealing time: 69.62266159057617
295_img_.png: NIQE=40.38001468019637  with dealing time: 71.13887739181519
299_img_.png: NIQE=54.163608004309644  with dealing time: 77.02428650856018
2_img_.png: NIQE=33.1057111370877  with dealing time: 68.51405835151672
300_img_.png: NIQE=50.58180669469186  with dealing time: 70.72426581382751
301_img_.png: NIQE=50.8809296843758  with dealing time: 64.38287115097046
302_img_.png: NIQE=50.93299818814019  with dealing time: 65.54655814170837
303_img_.png: NIQE=48.628595853045006  with dealing time: 62.53693771362305
304_img_.png: NIQE=47.508628134991234  with dealing time: 58.97971773147583
305_img_.png: NIQE=43.23433283881267  with dealing time: 61.066168546676636
306_img_.png: NIQE=44.300311196527524  with dealing time: 61.29149532318115
307_img_.png: NIQE=47.9703967176235  with dealing time: 68.41977047920227
30_img_.png: NIQE=33.026413451179344  with dealing time: 61.100231409072876
311_img_.png: NIQE=47.032090557995346  with dealing time: 59.252336740493774
312_img_.png: NIQE=42.9111371577817  with dealing time: 61.75254535675049
313_img_.png: NIQE=40.975566033340584  with dealing time: 74.90645599365234
314_img_.png: NIQE=60.68891081245163  with dealing time: 67.27234482765198
315_img_.png: NIQE=41.219435053031994  with dealing time: 60.14727807044983
316_img_.png: NIQE=41.34894235007988  with dealing time: 65.310391664505
317_img_.png: NIQE=42.25043851859357  with dealing time: 63.976659536361694
318_img_.png: NIQE=44.93292607969629  with dealing time: 53.994585037231445
319_img_.png: NIQE=47.4074101474552  with dealing time: 54.43943929672241
320_img_.png: NIQE=45.560697932506436  with dealing time: 56.03223252296448
322_img_.png: NIQE=44.839856041568034  with dealing time: 57.39658832550049
323_img_.png: NIQE=47.401999600338314  with dealing time: 54.210328340530396
324_img_.png: NIQE=37.75332973940525  with dealing time: 56.9160737991333
325_img_.png: NIQE=42.56839042168138  with dealing time: 58.265578508377075
326_img_.png: NIQE=44.35914872881998  with dealing time: 58.071927070617676
327_img_.png: NIQE=51.59524645842599  with dealing time: 61.20867156982422
330_img_.png: NIQE=51.59176004946375  with dealing time: 60.715054750442505
332_img_.png: NIQE=47.76447246065381  with dealing time: 61.968544244766235
334_img_.png: NIQE=46.429316836985095  with dealing time: 57.83900475502014
336_img_.png: NIQE=46.27808846446597  with dealing time: 57.895936250686646
337_img_.png: NIQE=42.48393582136752  with dealing time: 64.19568085670471
338_img_.png: NIQE=50.65994924484426  with dealing time: 52.02923250198364
340_img_.png: NIQE=54.17015189705683  with dealing time: 53.00719451904297
341_img_.png: NIQE=50.8233356264833  with dealing time: 55.049869775772095
342_img_.png: NIQE=61.370610255465294  with dealing time: 47.61548733711243
343_img_.png: NIQE=48.191698314374925  with dealing time: 52.374796867370605
346_img_.png: NIQE=45.10464305441922  with dealing time: 61.17265725135803
347_img_.png: NIQE=46.749868816832894  with dealing time: 53.65720272064209
348_img_.png: NIQE=57.77691273842764  with dealing time: 52.73280596733093
350_img_.png: NIQE=45.85443484991209  with dealing time: 50.69325661659241
351_img_.png: NIQE=44.50107408847543  with dealing time: 49.76550817489624
353_img_.png: NIQE=55.77854971277385  with dealing time: 55.65304708480835
355_img_.png: NIQE=51.533271923627275  with dealing time: 61.03789758682251
356_img_.png: NIQE=41.49558026189613  with dealing time: 54.29075241088867
359_img_.png: NIQE=41.73098414758787  with dealing time: 51.021036863327026
360_img_.png: NIQE=50.07954794027519  with dealing time: 53.92716574668884
361_img_.png: NIQE=47.95085855997963  with dealing time: 55.42022252082825
362_img_.png: NIQE=56.64133833139209  with dealing time: 56.619001626968384
363_img_.png: NIQE=49.74095244776811  with dealing time: 57.67249798774719
364_img_.png: NIQE=53.672156714656296  with dealing time: 57.25925016403198
366_img_.png: NIQE=47.02630297564352  with dealing time: 48.76057553291321
367_img_.png: NIQE=42.65252864223053  with dealing time: 51.98638439178467
3_img_.png: NIQE=33.41301840266021  with dealing time: 51.72034740447998
4.png: NIQE=34.04185856538331  with dealing time: 57.92052936553955
406_img_.png: NIQE=45.052847707687846  with dealing time: 58.59244441986084
419_img_.png: NIQE=42.57144387057848  with dealing time: 53.63710308074951
41_img_.png: NIQE=40.78828783392109  with dealing time: 44.64970326423645
421_img_.png: NIQE=42.83105563977521  with dealing time: 47.96232533454895
460_img_.png: NIQE=43.08919570911771  with dealing time: 54.30130362510681
466_img_.png: NIQE=45.371116234202674  with dealing time: 56.833722829818726
471_img_.png: NIQE=52.44617114953654  with dealing time: 48.48988366127014
472_img_.png: NIQE=50.03504220845294  with dealing time: 44.57616949081421
476_img_.png: NIQE=56.72005850186298  with dealing time: 45.735583543777466
48_img_.png: NIQE=38.377751672037704  with dealing time: 44.46022152900696
495_img_.png: NIQE=58.49248558944853  with dealing time: 40.54357290267944
4_img_.png: NIQE=28.736100049065183  with dealing time: 42.178959608078
550_img_.png: NIQE=39.09196774273282  with dealing time: 45.443140745162964
557.png: NIQE=36.32000042486772  with dealing time: 43.848554849624634
55_img_.png: NIQE=35.790790727417615  with dealing time: 40.201868295669556
61_img_.png: NIQE=35.33203889796887  with dealing time: 42.700204610824585
629_img_.png: NIQE=44.381815774881034  with dealing time: 39.27185273170471
70_img_.png: NIQE=28.961754881146877  with dealing time: 43.46871042251587
747_img_.png: NIQE=42.76374410305693  with dealing time: 41.531554222106934
7_img_.png: NIQE=34.4013839736513  with dealing time: 45.42740726470947
849_img_.png: NIQE=38.60315906083048  with dealing time: 45.33917689323425
856_img_.png: NIQE=43.222562859893294  with dealing time: 51.951799392700195
8_img_.png: NIQE=40.831118787533256  with dealing time: 43.18083429336548
901_img_.png: NIQE=67.87101272713984  with dealing time: 42.499350786209106
906_img_.png: NIQE=58.22280311625129  with dealing time: 49.085328817367554
97_img_.png: NIQE=34.52808148659421  with dealing time: 45.2365779876709
9_img_.png: NIQE=34.68513055205061  with dealing time: 51.715593576431274

110 Image Average: NIQE=43.858577163640604, TimePerImage=60.45041458173232, SumTime = 6649.545603990555s

