100001.png: uiqm=0.09392854994025979, uciqe=0.4608421644877658
10091.png: uiqm=0.30192613168127314, uciqe=0.5275543932039483
10103.png: uiqm=0.8241838408995288, uciqe=0.5151479580501013
10167.png: uiqm=0.26776197165008386, uciqe=0.5601995661578287
102.png: uiqm=0.2514678861283516, uciqe=0.4799391664413472
10226.png: uiqm=0.4116842481308308, uciqe=0.5480363258716435
10475.png: uiqm=0.2439693071402309, uciqe=0.49974635192980965
10488.png: uiqm=0.08438460162614736, uciqe=0.42160435459164625
12191.png: uiqm=0.7928131073353023, uciqe=0.4189273666899681
12203.png: uiqm=0.5950434386414948, uciqe=0.4847517035623531
12228.png: uiqm=-0.4330208721789192, uciqe=0.3097498450829733
12565.png: uiqm=0.6350073209490739, uciqe=0.39815189910516224
12577.png: uiqm=0.8201268402786042, uciqe=0.45823727676976195
12625.png: uiqm=-0.3197613439986442, uciqe=0.45971608180686846
12709.png: uiqm=-0.04583575635500581, uciqe=0.4523136074251346
12753.png: uiqm=-0.3339793205524079, uciqe=0.43686843330604347
12960.png: uiqm=0.33885776263979184, uciqe=0.4796857088089769
12972.png: uiqm=0.37752591177489325, uciqe=0.548034987552231
13252.png: uiqm=-0.10706968183827759, uciqe=0.5486847547049014
13259.png: uiqm=0.4156114166555811, uciqe=0.4790395707777587
15603.png: uiqm=0.24136093934527525, uciqe=0.47837223730987866
15735.png: uiqm=-0.09571806570530744, uciqe=0.3910847747881981
15738.png: uiqm=0.03433892655639459, uciqe=0.4574735289966556
15740.png: uiqm=0.4905003263109218, uciqe=0.4343817001540137
15774.png: uiqm=0.7602046277342991, uciqe=0.5124372450817658
15775.png: uiqm=-0.21989946622901022, uciqe=0.38838217877022574
2.png: uiqm=1.1362772464015762, uciqe=0.46107316256657754
2575.png: uiqm=0.6623095404203829, uciqe=0.5283088994300378
2583.png: uiqm=0.4053912640085726, uciqe=0.5873868130181596
2856.png: uiqm=0.2790965151262732, uciqe=0.5060709688944769
3027.png: uiqm=0.9555195156203722, uciqe=0.5445782636113272
3051.png: uiqm=0.27560201705311727, uciqe=0.5037698479746503
3087.png: uiqm=0.7552203872713181, uciqe=0.5226370749552741
3175.png: uiqm=-0.23665225436352422, uciqe=0.3401110400721221
3201.png: uiqm=0.5587576074576502, uciqe=0.5154517410321358
3279.png: uiqm=0.8233003256526571, uciqe=0.4643192064555658
34.png: uiqm=0.42974395223189576, uciqe=0.5877289497335505
3494.png: uiqm=0.2658247701533192, uciqe=0.5320859539482072
3519.png: uiqm=0.24593616696623866, uciqe=0.5392641071081596
358_img_.png: uiqm=0.5388359324142631, uciqe=0.595871342076285
432.png: uiqm=0.05301735366561172, uciqe=0.42732308366191796
5.png: uiqm=0.6300225773972427, uciqe=0.583546184886194
52.png: uiqm=0.5588874871498036, uciqe=0.6038251932669892
579.png: uiqm=0.2596368940133629, uciqe=0.508216617029112
605.png: uiqm=0.4947834629960709, uciqe=0.5668283477833471
616.png: uiqm=0.696122346389826, uciqe=0.5541429752433897
627.png: uiqm=0.6164266148310488, uciqe=0.5380483259053482
6333.png: uiqm=0.37348314630508117, uciqe=0.5170573621104628
6340.png: uiqm=0.4971172738359638, uciqe=0.5063180321378984
643_img_.png: uiqm=0.6896535104595877, uciqe=0.5360098553506025
6527.png: uiqm=0.469576480848367, uciqe=0.49749819614818397
7277.png: uiqm=0.7977188945132905, uciqe=0.5304408945193486
7291.png: uiqm=0.6593297865733779, uciqe=0.4794405997201382
770.png: uiqm=0.8100634704510573, uciqe=0.4958317582502937
866.png: uiqm=0.6903973118560747, uciqe=0.5109463099059258
880.png: uiqm=0.9481109954490354, uciqe=0.5265787593303481
9553.png: uiqm=0.7386438901027286, uciqe=0.52409877413856
9602.png: uiqm=0.6905518865489573, uciqe=0.5538587680886602
9607.png: uiqm=0.4682204746054254, uciqe=0.4408597818509248
9618.png: uiqm=0.5126175559371337, uciqe=0.54033189041555

Average: uiqm=0.41958261748173215, uciqe=0.4969870377007782

