1.jpg: uiqm=0.719130605105554, uciqe=0.5093368444961365
10.jpg: uiqm=0.6587515549284786, uciqe=0.5271113739243248
100.jpg: uiqm=0.5235264283701129, uciqe=0.4493774811116612
101.jpg: uiqm=0.7129066543042641, uciqe=0.5261668004999605
102.jpg: uiqm=0.6748971650808788, uciqe=0.5178934937676909
103.jpg: uiqm=0.7803184596858947, uciqe=0.5319310853079068
104.jpg: uiqm=0.7858087381213589, uciqe=0.5328641788136785
105.jpg: uiqm=0.48415513073328664, uciqe=0.5110175473613231
106.jpg: uiqm=0.5025329279999373, uciqe=0.5039882749811965
107.jpg: uiqm=0.7697917311478301, uciqe=0.46353571772482843
108.jpg: uiqm=0.7245313586931765, uciqe=0.5128576411106848
109.jpg: uiqm=0.7283900026556077, uciqe=0.510941834571962
11.jpg: uiqm=0.643861550262206, uciqe=0.5303815180856586
110.jpg: uiqm=0.5371411112237271, uciqe=0.47636872187907053
111.jpg: uiqm=0.5705993377421557, uciqe=0.512559323955245
112.jpg: uiqm=0.6984673409994443, uciqe=0.49753672267527416
113.jpg: uiqm=0.7080223066947238, uciqe=0.5003322830288792
114.jpg: uiqm=0.5579416161312644, uciqe=0.4817797018960763
115.jpg: uiqm=0.6343999379468469, uciqe=0.5237537860599139
116.jpg: uiqm=0.6727786819246837, uciqe=0.4560519466499644
117.jpg: uiqm=0.746520592722819, uciqe=0.4686169046351078
118.jpg: uiqm=-0.168557642211005, uciqe=0.383369595279231
119.jpg: uiqm=0.699276284630056, uciqe=0.5017743192217288
12.jpg: uiqm=0.6415645009199675, uciqe=0.5315790060745755
120.jpg: uiqm=0.3805310633169381, uciqe=0.4839924739998156
121.jpg: uiqm=0.5426449661436471, uciqe=0.5182431642351557
122.jpg: uiqm=0.7535843803917773, uciqe=0.5300760540003405
123.jpg: uiqm=0.75467761622358, uciqe=0.49927453069662414
124.jpg: uiqm=0.683396451617503, uciqe=0.5032986961170858
125.jpg: uiqm=0.5149073993285385, uciqe=0.5141124360707647
126.jpg: uiqm=0.5477592060380605, uciqe=0.5071490915393142
127.jpg: uiqm=0.46702117579766667, uciqe=0.44723687018254443
128.jpg: uiqm=0.2964609601887589, uciqe=0.42595324816594493
129.jpg: uiqm=0.6716302606148603, uciqe=0.5106196135543812
13.jpg: uiqm=0.651260122189769, uciqe=0.5288567509295982
130.jpg: uiqm=0.7094871941225867, uciqe=0.5088174390203352
131.jpg: uiqm=0.6711224108317894, uciqe=0.5048242847405359
132.jpg: uiqm=0.7580039918772831, uciqe=0.5280613815420236
133.jpg: uiqm=0.38311925829424176, uciqe=0.5245462272888715
134.jpg: uiqm=0.7802570462038363, uciqe=0.5218509328878737
135.jpg: uiqm=0.7638609210916798, uciqe=0.5332273170677241
136.jpg: uiqm=0.8158587986440634, uciqe=0.5358537573626214
137.jpg: uiqm=0.7954354216240793, uciqe=0.5280726676472007
138.jpg: uiqm=0.4339161032739829, uciqe=0.5025915654485273
139.jpg: uiqm=0.3166363222248003, uciqe=0.5265854938922857
14.jpg: uiqm=0.5321437027966353, uciqe=0.5081399540835564
140.jpg: uiqm=0.5389947217051148, uciqe=0.5405014682236636
141.jpg: uiqm=0.502757699978921, uciqe=0.5093826105522665
142.jpg: uiqm=0.5332997294310915, uciqe=0.5249527941764045
143.jpg: uiqm=0.6421809185482903, uciqe=0.4992538453923525
144.jpg: uiqm=0.7296802126298488, uciqe=0.5211410253727401
145.jpg: uiqm=0.6937316674830909, uciqe=0.5418673443220811
146.jpg: uiqm=0.7033068842904905, uciqe=0.4523216844499273
147.jpg: uiqm=0.6450045230857852, uciqe=0.4592332168291181
148.jpg: uiqm=0.5187275552873181, uciqe=0.49589073647785636
149.jpg: uiqm=0.28101199972244506, uciqe=0.5092329788666735
15.jpg: uiqm=0.509090666559569, uciqe=0.5122439790828921
150.jpg: uiqm=0.3285391722314184, uciqe=0.5035367806249664
151.jpg: uiqm=0.47223048317579575, uciqe=0.5017646544950675
152.jpg: uiqm=0.36247629755947475, uciqe=0.5019285066590908
153.jpg: uiqm=0.6493587542328427, uciqe=0.5033456625134567
154.jpg: uiqm=0.45925472629132935, uciqe=0.5044727794603219
155.jpg: uiqm=-0.05001265302151814, uciqe=0.4739729271330151
156.jpg: uiqm=0.4717590261965592, uciqe=0.513184174125175
157.jpg: uiqm=0.14593005333308462, uciqe=0.506432279109265
158.jpg: uiqm=0.17535750191082689, uciqe=0.5113496752487864
159.jpg: uiqm=0.24842032965317384, uciqe=0.5298336557732803
16.jpg: uiqm=0.7904802377323331, uciqe=0.4851187396383269
160.jpg: uiqm=0.05431670755904272, uciqe=0.5115028926869987
161.jpg: uiqm=0.45338308129536486, uciqe=0.5431043000549892
162.jpg: uiqm=0.5224952463757075, uciqe=0.546270356168926
163.jpg: uiqm=0.8138067534276031, uciqe=0.47160098272459805
164.jpg: uiqm=0.24825042202689518, uciqe=0.5292577833854994
165.jpg: uiqm=0.2644636961646949, uciqe=0.5274186249622441
166.jpg: uiqm=0.47389681408337225, uciqe=0.5290922350016565
