1.jpg: NIQE=48.79540445364752  with dealing time: 66.43387365341187
10.jpg: NIQE=34.16759009321467  with dealing time: 103.75497460365295
100.jpg: NIQE=39.93088025750046  with dealing time: 107.09265470504761
101.jpg: NIQE=33.37738101641626  with dealing time: 120.48704671859741
102.jpg: NIQE=40.897021973604836  with dealing time: 109.40995287895203
103.jpg: NIQE=38.10305527305394  with dealing time: 102.55469179153442
104.jpg: NIQE=43.650988944464984  with dealing time: 111.32298278808594
105.jpg: NIQE=44.636041161144  with dealing time: 111.39683413505554
106.jpg: NIQE=41.142515708609984  with dealing time: 108.01366567611694
107.jpg: NIQE=37.904741748585515  with dealing time: 103.79207468032837
108.jpg: NIQE=42.25373133198468  with dealing time: 100.76911091804504
109.jpg: NIQE=41.431671680662674  with dealing time: 103.23940348625183
11.jpg: NIQE=34.32145976795085  with dealing time: 102.71860456466675
110.jpg: NIQE=53.605434724523775  with dealing time: 102.76134467124939
111.jpg: NIQE=48.74554134614957  with dealing time: 97.94833946228027
112.jpg: NIQE=42.1864435107338  with dealing time: 103.09116244316101
113.jpg: NIQE=43.674175440066854  with dealing time: 101.39946866035461
114.jpg: NIQE=57.53511051288875  with dealing time: 100.65572929382324
115.jpg: NIQE=55.53688558945819  with dealing time: 100.77191853523254
116.jpg: NIQE=43.05899043292451  with dealing time: 100.32917547225952
117.jpg: NIQE=46.312422395730216  with dealing time: 105.89916181564331
118.jpg: NIQE=44.02612465295226  with dealing time: 103.31738948822021
119.jpg: NIQE=41.50357640497914  with dealing time: 100.67425966262817
12.jpg: NIQE=34.44015175816692  with dealing time: 102.43940234184265
120.jpg: NIQE=42.99433275240762  with dealing time: 104.62107849121094
121.jpg: NIQE=39.24486623325061  with dealing time: 102.38109970092773
122.jpg: NIQE=41.54478751378825  with dealing time: 103.73877620697021
123.jpg: NIQE=41.954839556739486  with dealing time: 111.52847218513489
124.jpg: NIQE=41.75996794459775  with dealing time: 115.63510155677795
125.jpg: NIQE=41.25580349864004  with dealing time: 113.87437057495117
126.jpg: NIQE=40.36513814080956  with dealing time: 118.23335409164429
127.jpg: NIQE=36.60259338709215  with dealing time: 109.82519841194153
128.jpg: NIQE=43.83625224901369  with dealing time: 109.91720914840698
129.jpg: NIQE=40.93219370786028  with dealing time: 105.17871737480164
13.jpg: NIQE=34.931591126588685  with dealing time: 112.55948448181152
130.jpg: NIQE=38.96254663520373  with dealing time: 106.60680627822876
131.jpg: NIQE=45.24336789113359  with dealing time: 111.10638093948364
132.jpg: NIQE=40.4579937977172  with dealing time: 103.10630464553833
133.jpg: NIQE=36.45003735500827  with dealing time: 116.22954440116882
134.jpg: NIQE=40.71148001733939  with dealing time: 101.04933428764343
135.jpg: NIQE=39.630640733024926  with dealing time: 102.51989650726318
136.jpg: NIQE=34.76121194463564  with dealing time: 97.44508171081543
137.jpg: NIQE=39.49612892169791  with dealing time: 98.63610887527466
138.jpg: NIQE=57.050163213909634  with dealing time: 101.54817628860474
139.jpg: NIQE=39.15964056139984  with dealing time: 104.04655432701111
14.jpg: NIQE=35.46330548616101  with dealing time: 102.95554447174072
140.jpg: NIQE=47.79996350123897  with dealing time: 97.98678684234619
141.jpg: NIQE=42.16854011483196  with dealing time: 97.62751770019531
142.jpg: NIQE=50.33910022542142  with dealing time: 95.98523902893066
143.jpg: NIQE=51.660364941128535  with dealing time: 96.94286918640137
144.jpg: NIQE=49.34392846169967  with dealing time: 98.36088562011719
145.jpg: NIQE=55.38186971259153  with dealing time: 97.39647793769836
146.jpg: NIQE=39.54569687683512  with dealing time: 99.3141815662384
147.jpg: NIQE=43.20180739036815  with dealing time: 100.72839069366455
148.jpg: NIQE=45.9491909557124  with dealing time: 98.98024988174438
149.jpg: NIQE=44.743693144353536  with dealing time: 106.02207946777344
15.jpg: NIQE=33.96561638192391  with dealing time: 102.95190167427063
150.jpg: NIQE=48.928877213414815  with dealing time: 103.19307112693787
151.jpg: NIQE=47.47940194242692  with dealing time: 99.03700947761536
152.jpg: NIQE=47.54002059088692  with dealing time: 91.39873218536377
153.jpg: NIQE=49.84606642425208  with dealing time: 81.52391910552979
154.jpg: NIQE=46.40159653629237  with dealing time: 82.46924424171448
155.jpg: NIQE=70.14008358272109  with dealing time: 75.45072340965271
156.jpg: NIQE=38.8248025477107  with dealing time: 73.34324407577515
157.jpg: NIQE=50.34513175516963  with dealing time: 74.67905497550964
158.jpg: NIQE=51.36633097100886  with dealing time: 75.27003931999207
159.jpg: NIQE=50.33939600524996  with dealing time: 76.46705198287964
16.jpg: NIQE=48.442926135790444  with dealing time: 73.91024041175842
160.jpg: NIQE=44.64035253040802  with dealing time: 76.89621949195862
161.jpg: NIQE=35.25939106269667  with dealing time: 79.97785949707031
162.jpg: NIQE=34.17440101922184  with dealing time: 79.31291174888611
163.jpg: NIQE=41.02216697388355  with dealing time: 73.17167973518372
164.jpg: NIQE=35.38696083665359  with dealing time: 78.04614019393921
165.jpg: NIQE=31.246187356976506  with dealing time: 78.09642910957336
166.jpg: NIQE=34.78529186446354  with dealing time: 74.7403416633606
167.jpg: NIQE=34.80709823005595  with dealing time: 77.20059609413147
168.jpg: NIQE=35.447534363513974  with dealing time: 78.47838711738586
169.jpg: NIQE=35.42451617686258  with dealing time: 80.22501945495605
17.jpg: NIQE=41.71247777863098  with dealing time: 74.68157720565796
170.jpg: NIQE=35.26053986142646  with dealing time: 78.86565375328064
171.jpg: NIQE=33.278460410273105  with dealing time: 78.68221259117126
172.jpg: NIQE=46.21556521148895  with dealing time: 74.29920959472656
173.jpg: NIQE=32.29708142951473  with dealing time: 78.91742205619812
174.jpg: NIQE=34.64410534464326  with dealing time: 78.44257473945618
175.jpg: NIQE=35.30730027349914  with dealing time: 78.54385948181152
176.jpg: NIQE=45.58945734165655  with dealing time: 71.96508431434631
177.jpg: NIQE=34.4317965465236  with dealing time: 78.76333975791931
178.jpg: NIQE=32.73351002579073  with dealing time: 73.75860619544983
179.jpg: NIQE=44.957096336966025  with dealing time: 72.12693810462952
18.jpg: NIQE=45.3938405789239  with dealing time: 73.75756001472473
180.jpg: NIQE=34.640112860261524  with dealing time: 74.38643646240234
181.jpg: NIQE=35.73622623635541  with dealing time: 75.14056992530823
182.jpg: NIQE=39.07600503105848  with dealing time: 74.5497567653656
183.jpg: NIQE=42.27164849565364  with dealing time: 75.51806116104126
19.jpg: NIQE=41.41306328489043  with dealing time: 74.12205791473389
2.jpg: NIQE=48.950929957458534  with dealing time: 71.15871524810791
20.jpg: NIQE=41.88815340838739  with dealing time: 73.84486150741577
21.jpg: NIQE=38.374847733420935  with dealing time: 72.5989100933075
22.jpg: NIQE=47.273609985940816  with dealing time: 68.72728443145752
23.jpg: NIQE=53.52390308758412  with dealing time: 68.25698518753052
24.jpg: NIQE=44.678903422018514  with dealing time: 70.82083654403687
25.jpg: NIQE=49.143248018394594  with dealing time: 73.4630937576294
26.jpg: NIQE=40.39052514765313  with dealing time: 76.71709537506104
27.jpg: NIQE=38.59566138055353  with dealing time: 75.39954471588135
28.jpg: NIQE=37.01686348002659  with dealing time: 75.51332426071167
29.jpg: NIQE=45.11290229315349  with dealing time: 73.6342236995697
3.jpg: NIQE=58.67705743969014  with dealing time: 74.0372998714447
30.jpg: NIQE=61.446163366539515  with dealing time: 78.01870536804199
31.jpg: NIQE=52.09795231507461  with dealing time: 67.57174873352051
32.jpg: NIQE=60.91760527295976  with dealing time: 66.28138256072998
33.jpg: NIQE=35.06741213014882  with dealing time: 64.83220863342285
34.jpg: NIQE=34.20422549124534  with dealing time: 61.38266086578369
35.jpg: NIQE=38.352263092128105  with dealing time: 56.53112816810608
36.jpg: NIQE=35.40741478402664  with dealing time: 57.405308961868286
37.jpg: NIQE=34.66490192480722  with dealing time: 59.41173768043518
38.jpg: NIQE=37.80531267218787  with dealing time: 60.82717752456665
39.jpg: NIQE=43.646996614415684  with dealing time: 59.36869168281555
4.jpg: NIQE=37.49425731231436  with dealing time: 57.81154155731201
40.jpg: NIQE=39.142203075831766  with dealing time: 58.19097447395325
41.jpg: NIQE=37.88160734597487  with dealing time: 59.292818784713745
42.jpg: NIQE=52.65929885342983  with dealing time: 57.849554777145386
43.jpg: NIQE=42.41059138852463  with dealing time: 61.69501566886902
44.jpg: NIQE=40.1389042079764  with dealing time: 59.790117502212524
45.jpg: NIQE=42.934812122567564  with dealing time: 57.77177166938782
46.jpg: NIQE=42.846864172469594  with dealing time: 57.44736647605896
47.jpg: NIQE=41.218235570857196  with dealing time: 58.360398054122925
48.jpg: NIQE=49.97036389657114  with dealing time: 62.33216857910156
49.jpg: NIQE=52.05089931406238  with dealing time: 59.34180045127869
5.jpg: NIQE=39.890270796226424  with dealing time: 61.027315855026245
50.jpg: NIQE=44.982532919986596  with dealing time: 61.70178556442261
51.jpg: NIQE=49.85263590342581  with dealing time: 58.483235597610474
52.jpg: NIQE=45.63008674748944  with dealing time: 58.925527811050415
53.jpg: NIQE=48.48052528768627  with dealing time: 56.002015113830566
54.jpg: NIQE=45.25466316206909  with dealing time: 58.5745964050293
55.jpg: NIQE=43.60132492593767  with dealing time: 58.52608108520508
56.jpg: NIQE=44.45426894218715  with dealing time: 61.07803916931152
57.jpg: NIQE=45.44466736309054  with dealing time: 58.7565643787384
58.jpg: NIQE=49.22709607897006  with dealing time: 56.90613389015198
59.jpg: NIQE=42.295072906145535  with dealing time: 57.948023319244385
6.jpg: NIQE=35.81365175699137  with dealing time: 58.77587652206421
60.jpg: NIQE=42.08035906909155  with dealing time: 60.76477932929993
61.jpg: NIQE=41.86356053035956  with dealing time: 61.32315278053284
62.jpg: NIQE=45.49883148877777  with dealing time: 63.0965576171875
63.jpg: NIQE=57.388578911947945  with dealing time: 60.016685962677
64.jpg: NIQE=44.80712397004067  with dealing time: 61.58439350128174
65.jpg: NIQE=37.195789208924815  with dealing time: 68.48083829879761
66.jpg: NIQE=38.97427981486476  with dealing time: 61.11382055282593
67.jpg: NIQE=36.70670074988869  with dealing time: 53.61330485343933
68.jpg: NIQE=39.772229782641865  with dealing time: 53.200021743774414
69.jpg: NIQE=38.28575402541595  with dealing time: 55.5980966091156
7.jpg: NIQE=39.35299308165764  with dealing time: 54.66163420677185
70.jpg: NIQE=42.92313153929342  with dealing time: 50.361591815948486
71.jpg: NIQE=42.91911017769523  with dealing time: 47.03080415725708
72.jpg: NIQE=40.31079678380765  with dealing time: 48.10704803466797
73.jpg: NIQE=44.86450083396831  with dealing time: 46.80512881278992
74.jpg: NIQE=44.44748070798062  with dealing time: 50.387311697006226
75.jpg: NIQE=43.29510152777784  with dealing time: 57.29564094543457
76.jpg: NIQE=46.09300889893212  with dealing time: 53.134512186050415
77.jpg: NIQE=36.11453363401476  with dealing time: 53.989776611328125
78.jpg: NIQE=33.85716321127905  with dealing time: 51.98709440231323
79.jpg: NIQE=37.34375692539766  with dealing time: 50.5596661567688
8.jpg: NIQE=37.12324208206582  with dealing time: 55.37373208999634
80.jpg: NIQE=41.58250719222829  with dealing time: 59.19280028343201
81.jpg: NIQE=38.25334739524551  with dealing time: 55.59730386734009
82.jpg: NIQE=40.13225739894866  with dealing time: 53.90120553970337
83.jpg: NIQE=47.47419622721605  with dealing time: 54.618138790130615
84.jpg: NIQE=38.15790850505817  with dealing time: 60.188093423843384
85.jpg: NIQE=38.52039660829502  with dealing time: 50.751991271972656
86.jpg: NIQE=39.79809719378771  with dealing time: 48.03729295730591
87.jpg: NIQE=46.15879946262962  with dealing time: 47.389477491378784
88.jpg: NIQE=36.24409744675862  with dealing time: 48.847283124923706
89.jpg: NIQE=37.790028057038114  with dealing time: 48.34202790260315
9.jpg: NIQE=35.42223987230264  with dealing time: 51.170204639434814
90.jpg: NIQE=38.28964231098805  with dealing time: 46.931458950042725
91.jpg: NIQE=36.56067331398851  with dealing time: 46.21894073486328
92.jpg: NIQE=40.43754657985177  with dealing time: 45.87823462486267
93.jpg: NIQE=38.1088736011585  with dealing time: 47.11460733413696
94.jpg: NIQE=44.01106012110195  with dealing time: 48.967355251312256
95.jpg: NIQE=41.84102429999872  with dealing time: 52.8201220035553
96.jpg: NIQE=41.55150452129728  with dealing time: 54.54008078575134
97.jpg: NIQE=41.75034515699693  with dealing time: 47.49549627304077
98.jpg: NIQE=43.15612961486386  with dealing time: 47.666796922683716
99.jpg: NIQE=46.50768139473893  with dealing time: 47.17677903175354
