100001.png: uiqm=-0.029912821861793948, uciqe=0.46085232382748387
10091.png: uiqm=0.15235687491401118, uciqe=0.5275316072882587
10103.png: uiqm=0.8539216930746024, uciqe=0.5119264643863191
10167.png: uiqm=0.33346941347843695, uciqe=0.5601870780794355
102.png: uiqm=0.13709585401229343, uciqe=0.4789270605267153
10226.png: uiqm=0.34328443023278243, uciqe=0.5480453123318104
10475.png: uiqm=0.2735763445311845, uciqe=0.49975110722659366
10488.png: uiqm=0.14724791061798403, uciqe=0.42162114096752834
12191.png: uiqm=0.7686870820737753, uciqe=0.4091696846839107
12203.png: uiqm=0.5937629131260113, uciqe=0.48468955713020057
12228.png: uiqm=-0.1785103819948229, uciqe=0.3097617687161404
12565.png: uiqm=0.6390610445987889, uciqe=0.3938115268189265
12577.png: uiqm=0.8339965167205978, uciqe=0.4485185373669962
12625.png: uiqm=-0.08705953783021658, uciqe=0.4575692670886955
12709.png: uiqm=0.0702146218982182, uciqe=0.4522959865245193
12753.png: uiqm=-0.0901847468927135, uciqe=0.4368797659822505
12960.png: uiqm=0.19637780934824775, uciqe=0.4796887340501666
12972.png: uiqm=0.2854311007741683, uciqe=0.5469582414237907
13252.png: uiqm=-0.07953961785999447, uciqe=0.5486786190555817
13259.png: uiqm=0.3812289363943034, uciqe=0.47470964273219757
15603.png: uiqm=0.0595633067163745, uciqe=0.47731144778590673
15735.png: uiqm=-0.1441871712841999, uciqe=0.39105435502158326
15738.png: uiqm=-0.0731807024856071, uciqe=0.4531311252924415
15740.png: uiqm=0.34599157841896977, uciqe=0.43437510653043454
15774.png: uiqm=0.7190459720642054, uciqe=0.5124728711988235
15775.png: uiqm=-0.07503894987749929, uciqe=0.3883510465615353
2.png: uiqm=0.9859550513045552, uciqe=0.45890862272596755
2575.png: uiqm=0.556769966354504, uciqe=0.5293807687533679
2583.png: uiqm=0.3668970548545762, uciqe=0.5863121504758655
2856.png: uiqm=0.31040850185615876, uciqe=0.503898288734297
3027.png: uiqm=0.8675673208489147, uciqe=0.5423918408486412
3051.png: uiqm=0.27280319681988735, uciqe=0.5015904605697576
3087.png: uiqm=0.6244642117172383, uciqe=0.5215271876857055
3175.png: uiqm=0.15149600773546273, uciqe=0.3390328572747206
3201.png: uiqm=0.29477635034585814, uciqe=0.5154707680414456
3279.png: uiqm=0.713522284568415, uciqe=0.4610992564880548
34.png: uiqm=0.34438418672709525, uciqe=0.5866936200554724
3494.png: uiqm=0.3582398904650589, uciqe=0.5320713143592424
3519.png: uiqm=0.27377558578751404, uciqe=0.5381679514089318
358_img_.png: uiqm=0.5477531867486778, uciqe=0.5958799943992367
432.png: uiqm=-0.0022483453339660064, uciqe=0.4272679198908138
5.png: uiqm=0.508593468590164, uciqe=0.583570032960588
52.png: uiqm=0.43073264020932833, uciqe=0.5973974377353104
579.png: uiqm=0.12501335250945317, uciqe=0.5060443574832014
605.png: uiqm=0.40404360491972263, uciqe=0.5667839042818816
616.png: uiqm=0.5019645316586809, uciqe=0.5509282354323158
627.png: uiqm=0.4753305378981478, uciqe=0.5380359141888655
6333.png: uiqm=0.32449733761794397, uciqe=0.5170706971982146
6340.png: uiqm=0.35873297175996544, uciqe=0.5063132673488757
643_img_.png: uiqm=0.4993591348604032, uciqe=0.5359984536825884
6527.png: uiqm=0.22921914422223144, uciqe=0.4974910601813045
7277.png: uiqm=0.5817856217739934, uciqe=0.5304251955044592
7291.png: uiqm=0.3295037602614816, uciqe=0.4794471574735565
770.png: uiqm=0.8528380536455683, uciqe=0.4947702252309295
866.png: uiqm=0.5885382789822502, uciqe=0.5098875530093486
880.png: uiqm=0.7258740130333989, uciqe=0.5255072158995561
9553.png: uiqm=0.44012563111060843, uciqe=0.5230234294475797
9602.png: uiqm=0.4593763674546747, uciqe=0.5549142519992569
9607.png: uiqm=0.30247596553497086, uciqe=0.4397814914034094
9618.png: uiqm=0.3775441579130929, uciqe=0.5403347498405598

Average: uiqm=0.3593135416277355, uciqe=0.49576145017685946

