12433.png: NIQE=34.213523527279065  with dealing time: 104.56965851783752
149.png: NIQE=39.146165129868436  with dealing time: 114.4679205417633
161.png: NIQE=34.436099274600586  with dealing time: 127.11583709716797
264574_00031858.png: NIQE=33.19684222979513  with dealing time: 104.18223190307617
264734_00038535.png: NIQE=35.50781276083053  with dealing time: 91.83299660682678
265119_00013763.png: NIQE=36.510984506809116  with dealing time: 102.52963972091675
265130_00031309.png: NIQE=36.20757477600072  with dealing time: 105.12277722358704
265344_00029330.png: NIQE=41.28775429355426  with dealing time: 98.58141350746155
306_img_.png: NIQE=46.522496140085806  with dealing time: 102.62193632125854
332_img_.png: NIQE=52.589779169517534  with dealing time: 103.27277159690857
3330.png: NIQE=45.93009660704607  with dealing time: 105.41766428947449
36.png: NIQE=34.18324836460811  with dealing time: 100.23037934303284
387_img_.png: NIQE=32.2348328151498  with dealing time: 98.53316569328308
757_img_.png: NIQE=32.44018983649969  with dealing time: 95.98080682754517
819_img_.png: NIQE=32.09446143641802  with dealing time: 96.8803071975708
96.png: NIQE=37.19573472618983  with dealing time: 99.77949380874634
GI_1.png: NIQE=60.859283726754555  with dealing time: 89.68606376647949
GI_16.png: NIQE=49.168934017348555  with dealing time: 103.17629957199097
GI_2.png: NIQE=74.73161101209217  with dealing time: 90.44177651405334
GI_22.png: NIQE=48.23395557333564  with dealing time: 101.38229608535767
GI_29.png: NIQE=51.02320841662794  with dealing time: 101.0120530128479
GI_33.png: NIQE=35.77263582534413  with dealing time: 100.38283061981201
GI_35.png: NIQE=35.095820005068084  with dealing time: 105.79458546638489
GI_43.png: NIQE=42.818122889663705  with dealing time: 106.49256205558777
GI_7.png: NIQE=42.36661264229812  with dealing time: 99.94431495666504
GI_78.png: NIQE=37.650503939907594  with dealing time: 100.82439732551575
GI_8.png: NIQE=51.973226515278554  with dealing time: 94.67998147010803
GI_95.png: NIQE=36.65978002111598  with dealing time: 111.09310626983643
gmn_5017up.png: NIQE=31.67826627328437  with dealing time: 112.37680983543396
