1.png: NIQE=65.62089464450199  with dealing time: 84.34804058074951
10.png: NIQE=50.35932743786919  with dealing time: 68.37041664123535
11.png: NIQE=53.31074162373137  with dealing time: 95.06678533554077
12.png: NIQE=49.16487296826176  with dealing time: 85.56360912322998
13.png: NIQE=37.10144235834981  with dealing time: 78.93899059295654
14.png: NIQE=47.61845354432764  with dealing time: 86.43163228034973
15.png: NIQE=36.16791328329409  with dealing time: 79.98099756240845
16.png: NIQE=45.37070053469564  with dealing time: 77.38399839401245
17.png: NIQE=45.678883059276686  with dealing time: 84.81121778488159
18.png: NIQE=35.343096042717455  with dealing time: 85.92865085601807
19.png: NIQE=45.6544599226301  with dealing time: 85.97996783256531
2.png: NIQE=80.74876880989068  with dealing time: 74.93782639503479
20.png: NIQE=58.66768206131123  with dealing time: 80.57286715507507
21.png: NIQE=36.55599527987807  with dealing time: 83.67761492729187
22.png: NIQE=59.36176482715816  with dealing time: 85.89439487457275
23.png: NIQE=43.66351202447092  with dealing time: 75.56331896781921
24.png: NIQE=57.43031457304728  with dealing time: 77.32114601135254
25.png: NIQE=47.52214989300332  with dealing time: 70.62523221969604
26.png: NIQE=50.08159580143367  with dealing time: 76.67641639709473
27.png: NIQE=50.61226124606474  with dealing time: 82.41519784927368
28.png: NIQE=36.28574984338138  with dealing time: 77.35157513618469
29.png: NIQE=50.857332709067975  with dealing time: 74.92213201522827
3.png: NIQE=72.01253981417928  with dealing time: 81.39533424377441
30.png: NIQE=58.116566460600446  with dealing time: 78.3689661026001
31.png: NIQE=37.474328317210464  with dealing time: 72.50354790687561
32.png: NIQE=41.63927701634892  with dealing time: 73.79920983314514
33.png: NIQE=36.50766066758636  with dealing time: 67.55351042747498
34.png: NIQE=36.19429059843042  with dealing time: 67.59874081611633
35.png: NIQE=39.626365492767896  with dealing time: 66.44274544715881
36.png: NIQE=39.181139605369545  with dealing time: 69.64159893989563
37.png: NIQE=35.389945450677864  with dealing time: 61.56927847862244
38.png: NIQE=36.290756965402146  with dealing time: 64.86231875419617
39.png: NIQE=41.019285843800276  with dealing time: 58.493412494659424
4.png: NIQE=67.1070609196365  with dealing time: 65.48675656318665
40.png: NIQE=37.15481600400101  with dealing time: 59.098714113235474
41.png: NIQE=36.995600753873475  with dealing time: 59.877264738082886
42.png: NIQE=43.22341931403259  with dealing time: 66.06615710258484
43.png: NIQE=38.9328277052789  with dealing time: 61.366023778915405
44.png: NIQE=35.258939923795126  with dealing time: 60.40492367744446
45.png: NIQE=33.221533562897875  with dealing time: 60.93597865104675
5.png: NIQE=49.15753408957101  with dealing time: 76.58311080932617
6.png: NIQE=59.56927852908239  with dealing time: 64.7273473739624
7.png: NIQE=46.8641185772837  with dealing time: 66.12929177284241
8.png: NIQE=67.44711043756878  with dealing time: 66.71591806411743
9.png: NIQE=51.616631266159146  with dealing time: 65.72340703010559

45 Image Average: NIQE=47.18175421786483, TimePerImage=73.51345746782091, SumTime = 3308.105586051941s

