12433.png: uiqm=0.8796265005820725, uciqe=0.48536182339828093
149.png: uiqm=0.25921457586769014, uciqe=0.49682498798659674
161.png: uiqm=0.5323478454436597, uciqe=0.519992487571558
264574_00031858.png: uiqm=1.109031316522175, uciqe=0.4960260253623676
264734_00038535.png: uiqm=0.7608206602725849, uciqe=0.566836538419077
265119_00013763.png: uiqm=0.5519989769664414, uciqe=0.5378065012650445
265130_00031309.png: uiqm=0.6556099416678457, uciqe=0.532310970339121
265344_00029330.png: uiqm=0.7434878525884263, uciqe=0.5269183612411186
306_img_.png: uiqm=0.5087193166708206, uciqe=0.5376838454371802
332_img_.png: uiqm=0.580987722932882, uciqe=0.573040782346889
3330.png: uiqm=0.4409097423137709, uciqe=0.6132635992014321
36.png: uiqm=0.3093312066281959, uciqe=0.5127511353633742
387_img_.png: uiqm=0.8197222193720911, uciqe=0.5225710321573327
757_img_.png: uiqm=1.020638812369143, uciqe=0.5481856011551549
819_img_.png: uiqm=0.740668851649801, uciqe=0.5359296494969519
96.png: uiqm=0.8771249094344022, uciqe=0.5012757444229823
GI_1.png: uiqm=0.8164953897684881, uciqe=0.4534879190942099
GI_16.png: uiqm=0.46725392153345446, uciqe=0.5367591251488373
GI_2.png: uiqm=0.8148011618090596, uciqe=0.4667149295432025
GI_22.png: uiqm=0.1969377394799504, uciqe=0.48388049034134295
GI_29.png: uiqm=0.3594800203964015, uciqe=0.5206497257351265
GI_33.png: uiqm=0.838235144068977, uciqe=0.5573929954071286
GI_35.png: uiqm=0.4038314147407748, uciqe=0.6119708700216415
GI_43.png: uiqm=0.5162472007116331, uciqe=0.584457981013411
GI_7.png: uiqm=0.9311561203725105, uciqe=0.4384700757573887
GI_78.png: uiqm=0.9514740762952669, uciqe=0.5668292416422318
GI_8.png: uiqm=1.109277067213113, uciqe=0.4479628438691688
GI_95.png: uiqm=0.574325144304569, uciqe=0.5222656732674802
gmn_5017up.png: uiqm=0.8542983273570038, uciqe=0.5485374655787956
gmn_5029up.png: uiqm=0.6753880296755561, uciqe=0.5606855255095138
gmn_5148up.png: uiqm=0.445680549553503, uciqe=0.5898613485253903
gmn_5183up.png: uiqm=0.8466302920875726, uciqe=0.5126390750727948
gmn_5185up.png: uiqm=0.9367966131171938, uciqe=0.5810009321336426
gmn_5228up.png: uiqm=0.90040173378259, uciqe=0.5562664422995989
