12433.png: NIQE=32.364906194073214  with dealing time: 59.87809085845947
149.png: NIQE=45.02835313962062  with dealing time: 76.94398713111877
161.png: NIQE=31.979209058013236  with dealing time: 69.08451318740845
264574_00031858.png: NIQE=34.06062456448498  with dealing time: 67.13640999794006
264734_00038535.png: NIQE=32.518071840255466  with dealing time: 74.06031537055969
265119_00013763.png: NIQE=37.390955662518195  with dealing time: 64.92526626586914
265130_00031309.png: NIQE=32.41557143415365  with dealing time: 61.39488673210144
265344_00029330.png: NIQE=40.38626629472526  with dealing time: 61.00962972640991
306_img_.png: NIQE=43.807753737826786  with dealing time: 63.67687773704529
332_img_.png: NIQE=43.783875372625786  with dealing time: 65.09585046768188
3330.png: NIQE=44.09052833245773  with dealing time: 66.89421844482422
36.png: NIQE=33.59942101698308  with dealing time: 56.74289560317993
387_img_.png: NIQE=33.214774428248205  with dealing time: 55.75659465789795
757_img_.png: NIQE=37.370267408262066  with dealing time: 57.448482513427734
819_img_.png: NIQE=38.96711220997845  with dealing time: 60.661208629608154
96.png: NIQE=44.62151277755024  with dealing time: 60.650747299194336
GI_1.png: NIQE=69.47317972011373  with dealing time: 52.520323276519775
GI_16.png: NIQE=59.96921430270555  with dealing time: 62.326189041137695
GI_2.png: NIQE=81.77236254312005  with dealing time: 55.025818824768066
GI_22.png: NIQE=51.65472820732006  with dealing time: 60.53981566429138
GI_29.png: NIQE=66.13108547739857  with dealing time: 58.17721152305603
GI_33.png: NIQE=37.48192874202171  with dealing time: 56.80772018432617
GI_35.png: NIQE=35.92921604275976  with dealing time: 59.94380331039429
GI_43.png: NIQE=38.65432217304431  with dealing time: 60.702144145965576
GI_7.png: NIQE=39.925497682149974  with dealing time: 54.61911940574646
GI_78.png: NIQE=37.707263354030395  with dealing time: 55.73819375038147
GI_8.png: NIQE=51.945638698899664  with dealing time: 52.39313006401062
GI_95.png: NIQE=32.212227173661134  with dealing time: 56.509756565093994
gmn_5017up.png: NIQE=35.315858242896304  with dealing time: 59.4030487537384
gmn_5029up.png: NIQE=37.243170316470504  with dealing time: 58.4551157951355
gmn_5148up.png: NIQE=39.91402951575893  with dealing time: 59.06330347061157
gmn_5183up.png: NIQE=37.259407059154434  with dealing time: 57.2920298576355
gmn_5185up.png: NIQE=35.12822223758435  with dealing time: 58.952746868133545
gmn_5228up.png: NIQE=38.58023671018056  with dealing time: 55.61892509460449
gmn_7856up.png: NIQE=34.589787324003886  with dealing time: 54.57289004325867
gmn_7919up.png: NIQE=38.557173496568666  with dealing time: 55.8609881401062
im_f1582_.png: NIQE=39.25530123446861  with dealing time: 56.159812927246094
im_f2253_.png: NIQE=55.28318216625929  with dealing time: 56.56518769264221
n01496331_1010.png: NIQE=50.465702153716435  with dealing time: 63.69864082336426
n01496331_2044.png: NIQE=46.246346167117004  with dealing time: 67.47962522506714
n01914609_1112.png: NIQE=41.04701888793247  with dealing time: 70.61767601966858
n01914609_11380.png: NIQE=37.51813904039717  with dealing time: 64.00164890289307
n01914609_13222.png: NIQE=39.425022514592364  with dealing time: 69.34940123558044
n01914609_13909.png: NIQE=35.353682338098615  with dealing time: 80.9881865978241
n01914609_1437.png: NIQE=50.0528914763658  with dealing time: 79.92942094802856
n01914609_1980.png: NIQE=47.69746008395544  with dealing time: 80.25202751159668
n01914609_2054.png: NIQE=42.43238534424799  with dealing time: 71.21714687347412
n01914609_7919.png: NIQE=42.84866610207577  with dealing time: 58.29382872581482
n02607072_2382.png: NIQE=43.250594523192675  with dealing time: 62.718904972076416
n02607072_5845.png: NIQE=37.68758534929472  with dealing time: 60.36582326889038
n02607072_931.png: NIQE=41.023134863831245  with dealing time: 61.91763710975647
NF_1.png: NIQE=45.913176792088606  with dealing time: 60.88650059700012
NF_10.png: NIQE=58.5371665660273  with dealing time: 60.25071048736572
NF_100.png: NIQE=41.84996429016189  with dealing time: 56.04931330680847
NF_110.png: NIQE=50.25366851480635  with dealing time: 62.841241121292114
NF_116.png: NIQE=45.16413351284689  with dealing time: 57.283668518066406
NF_123.png: NIQE=33.85169607060682  with dealing time: 65.14941453933716
NF_124.png: NIQE=36.04658654460454  with dealing time: 73.5991141796112
NF_13.png: NIQE=64.04464062052762  with dealing time: 67.87342596054077
NF_14.png: NIQE=49.75292493840841  with dealing time: 60.39678716659546
NF_141.png: NIQE=33.80634337527253  with dealing time: 66.23764324188232
NF_147.png: NIQE=38.71205951124962  with dealing time: 70.24244737625122
NF_148.png: NIQE=38.48994578638581  with dealing time: 66.65477013587952
NF_166.png: NIQE=46.969751371550196  with dealing time: 67.047696352005
NF_171.png: NIQE=35.801933597927196  with dealing time: 69.22973966598511
NF_172.png: NIQE=34.91942388570175  with dealing time: 65.06768321990967
NF_174.png: NIQE=38.562557029207774  with dealing time: 68.8031656742096
NF_177.png: NIQE=42.87871103178064  with dealing time: 78.03379845619202
NF_194.png: NIQE=67.0355130252481  with dealing time: 80.06236338615417
NF_195.png: NIQE=40.63074561622654  with dealing time: 78.29684519767761
