1.jpg: uiqm=0.49085374467817455, uciqe=0.4820624294452171
10.jpg: uiqm=0.5284143039476418, uciqe=0.489382299557471
100.jpg: uiqm=0.5971285249471876, uciqe=0.45948259605931474
101.jpg: uiqm=0.5889590221068971, uciqe=0.493738989973993
102.jpg: uiqm=0.47238271745809685, uciqe=0.47291354999049695
103.jpg: uiqm=0.4879025372234763, uciqe=0.5007537495962109
104.jpg: uiqm=0.49716703586778893, uciqe=0.5032443535104271
105.jpg: uiqm=0.6297914648489304, uciqe=0.4947040801025673
106.jpg: uiqm=0.5217429512136279, uciqe=0.485158217184942
107.jpg: uiqm=0.554807338011347, uciqe=0.44778002620471924
108.jpg: uiqm=0.6039022271106271, uciqe=0.49625998912499447
109.jpg: uiqm=0.5934914790043537, uciqe=0.49129850132220854
11.jpg: uiqm=0.5269456838260793, uciqe=0.490871655290397
110.jpg: uiqm=0.5720790536014443, uciqe=0.4955461830147082
111.jpg: uiqm=0.5687839975000726, uciqe=0.5064933581730482
112.jpg: uiqm=0.6045289557290312, uciqe=0.5022468137283835
113.jpg: uiqm=0.5888522008946055, uciqe=0.4981097571432784
114.jpg: uiqm=0.5515891462270223, uciqe=0.4732398323394575
115.jpg: uiqm=0.5575209962782537, uciqe=0.49601047372039975
116.jpg: uiqm=0.5670074547491584, uciqe=0.4654697342032206
117.jpg: uiqm=0.5521405593879627, uciqe=0.4637228670826693
118.jpg: uiqm=0.12928484410089158, uciqe=0.48333745881346146
119.jpg: uiqm=0.6231642912274156, uciqe=0.49041464858164757
12.jpg: uiqm=0.5238913753850115, uciqe=0.49019504802094904
120.jpg: uiqm=0.5743983529676504, uciqe=0.4644373767912682
121.jpg: uiqm=0.5657381803174677, uciqe=0.4787352582441422
122.jpg: uiqm=0.622666882367001, uciqe=0.4794306536840981
123.jpg: uiqm=0.5934595769381639, uciqe=0.47382521650675835
124.jpg: uiqm=0.4931482689434061, uciqe=0.470776184476008
125.jpg: uiqm=0.5149345091835269, uciqe=0.46386627419608767
126.jpg: uiqm=0.5538279851927277, uciqe=0.4693018962967953
127.jpg: uiqm=0.5720856796340825, uciqe=0.46714693247073896
128.jpg: uiqm=0.45453603026364364, uciqe=0.463008633795827
129.jpg: uiqm=0.6290896547420688, uciqe=0.47883594181697886
13.jpg: uiqm=0.5331818672342709, uciqe=0.4914373925505161
130.jpg: uiqm=0.6484157001375914, uciqe=0.47423951784621465
131.jpg: uiqm=0.5905763514546949, uciqe=0.47185906283512946
132.jpg: uiqm=0.6379505776149681, uciqe=0.485205220557008
133.jpg: uiqm=0.38864045227377486, uciqe=0.4878433526919728
134.jpg: uiqm=0.704539017671221, uciqe=0.4780007972101819
135.jpg: uiqm=0.7383580306763668, uciqe=0.48836057679707734
136.jpg: uiqm=0.6772842919112652, uciqe=0.48122178237762553
137.jpg: uiqm=0.613981670075946, uciqe=0.48045273562483837
138.jpg: uiqm=0.5355137151977245, uciqe=0.45324409243243985
139.jpg: uiqm=0.3400849116156848, uciqe=0.4818387226029692
14.jpg: uiqm=0.4351090035227972, uciqe=0.4748333250790856
140.jpg: uiqm=0.5294246498588547, uciqe=0.491485587343402
141.jpg: uiqm=0.5415923439829953, uciqe=0.4640044914633464
142.jpg: uiqm=0.5506087824342372, uciqe=0.5042108813690463
143.jpg: uiqm=0.6246729203630064, uciqe=0.4737803255788146
144.jpg: uiqm=0.6202125816607631, uciqe=0.48487572511184307
145.jpg: uiqm=0.588873558535999, uciqe=0.499430656150156
146.jpg: uiqm=0.4733889334093637, uciqe=0.4546296920709568
147.jpg: uiqm=0.465473943531175, uciqe=0.44965780254838106
148.jpg: uiqm=0.6010955557982032, uciqe=0.4519045971680711
149.jpg: uiqm=0.1446614731036257, uciqe=0.4950634531752842
15.jpg: uiqm=0.4457482648516684, uciqe=0.47296124226816816
150.jpg: uiqm=0.2543550317481465, uciqe=0.48470197248318503
151.jpg: uiqm=0.5395723499217422, uciqe=0.45512852632270484
152.jpg: uiqm=0.28068589840350133, uciqe=0.48249610925260555
153.jpg: uiqm=0.4636269196271111, uciqe=0.4766446222109815
154.jpg: uiqm=0.5101542412913198, uciqe=0.45135203092916953
155.jpg: uiqm=0.07691276035808617, uciqe=0.4928076012693437
156.jpg: uiqm=0.8151865941869428, uciqe=0.480700391800025
157.jpg: uiqm=0.2644564346859059, uciqe=0.5125483102027069
158.jpg: uiqm=0.25573578464968855, uciqe=0.5077165588912793
159.jpg: uiqm=0.21835908330159887, uciqe=0.5083867692852236
16.jpg: uiqm=0.5130601936416963, uciqe=0.45086991235997875
160.jpg: uiqm=0.2046503977786439, uciqe=0.5063144912372419
161.jpg: uiqm=0.5001643887732121, uciqe=0.5213901496132614
162.jpg: uiqm=0.4749725573398136, uciqe=0.5203827044882877
163.jpg: uiqm=0.6657939436494139, uciqe=0.45188642491602793
164.jpg: uiqm=0.43098688014328396, uciqe=0.517667274950991
165.jpg: uiqm=0.4417438197666491, uciqe=0.5162175807372509
166.jpg: uiqm=0.4387829716938592, uciqe=0.5089215923148005
167.jpg: uiqm=0.5094764405642945, uciqe=0.5146311700684639
168.jpg: uiqm=0.5299060579986992, uciqe=0.5160127929687874
169.jpg: uiqm=0.35870444500631754, uciqe=0.5310583561789147
17.jpg: uiqm=0.6380347305824823, uciqe=0.4674773284653929
170.jpg: uiqm=0.404030890215782, uciqe=0.5104556732323713
171.jpg: uiqm=0.3810933493125715, uciqe=0.5186520696039478
172.jpg: uiqm=0.4890741645775783, uciqe=0.46753285885440116
173.jpg: uiqm=0.4104089536956059, uciqe=0.5136423559971626
174.jpg: uiqm=0.264832533547827, uciqe=0.5135151410651614
175.jpg: uiqm=0.2920846940812612, uciqe=0.5067598823920314
176.jpg: uiqm=0.6335542837369923, uciqe=0.4881641626419515
177.jpg: uiqm=0.2851258953357213, uciqe=0.5138156408344317
178.jpg: uiqm=0.5739494143335584, uciqe=0.5020611832755544
179.jpg: uiqm=0.6314557698465859, uciqe=0.4823066036423163
18.jpg: uiqm=0.6587358024863113, uciqe=0.4809832186458644
180.jpg: uiqm=0.5696135732278966, uciqe=0.5074706563588978
181.jpg: uiqm=0.3945452001597552, uciqe=0.44326991002816624
182.jpg: uiqm=0.4339345861560478, uciqe=0.4563754908471958
183.jpg: uiqm=0.34270659933382586, uciqe=0.4784407336815155
19.jpg: uiqm=0.6090375386327684, uciqe=0.4909459561055176
2.jpg: uiqm=0.6613528108729986, uciqe=0.4828197354284821
20.jpg: uiqm=0.5556858132640543, uciqe=0.44171229651204363
21.jpg: uiqm=0.5256051880413317, uciqe=0.4386469414904198
22.jpg: uiqm=0.5808587873817258, uciqe=0.4735587663821976
23.jpg: uiqm=0.6534573207439114, uciqe=0.47780498976489283
24.jpg: uiqm=0.5582517326814491, uciqe=0.4860436464686835
25.jpg: uiqm=0.5443065321867817, uciqe=0.453115278316607
26.jpg: uiqm=0.5220888708615302, uciqe=0.5029397218192317
27.jpg: uiqm=0.5324651576455457, uciqe=0.4704234004239926
28.jpg: uiqm=0.43506062824094704, uciqe=0.47753883026670607
29.jpg: uiqm=0.5251129495784437, uciqe=0.4874750682640764
3.jpg: uiqm=-0.009764850517283513, uciqe=0.48307206240340883
30.jpg: uiqm=0.4590916504917182, uciqe=0.47135479338197994
31.jpg: uiqm=0.48568475591376675, uciqe=0.45943956302479894
32.jpg: uiqm=0.46239999389178277, uciqe=0.47014724766303173
33.jpg: uiqm=0.5768921068473974, uciqe=0.471049846136775
34.jpg: uiqm=0.7001583270826542, uciqe=0.4852679539414241
35.jpg: uiqm=0.2158177034949239, uciqe=0.5136698608729987
