1.jpg: NIQE=48.796010376038424  with dealing time: 70.89315462112427
10.jpg: NIQE=33.606886384805456  with dealing time: 73.84733581542969
100.jpg: NIQE=43.015316918717595  with dealing time: 67.79691553115845
101.jpg: NIQE=33.26833439935576  with dealing time: 68.23514914512634
102.jpg: NIQE=42.47579894433981  with dealing time: 72.69330143928528
103.jpg: NIQE=43.76317399896741  with dealing time: 65.74267625808716
104.jpg: NIQE=43.99975208860885  with dealing time: 70.96785759925842
105.jpg: NIQE=47.32933890115523  with dealing time: 70.15920639038086
106.jpg: NIQE=49.21635776334575  with dealing time: 69.82993936538696
107.jpg: NIQE=43.197319355166606  with dealing time: 67.92359709739685
108.jpg: NIQE=42.42373253222912  with dealing time: 71.34254765510559
109.jpg: NIQE=42.91418338094602  with dealing time: 74.45608639717102
11.jpg: NIQE=31.413135233658835  with dealing time: 75.46063303947449
110.jpg: NIQE=53.60211608880966  with dealing time: 75.59749674797058
111.jpg: NIQE=52.66594892110209  with dealing time: 73.74732851982117
112.jpg: NIQE=42.58129655638515  with dealing time: 74.94497513771057
113.jpg: NIQE=41.91924949918341  with dealing time: 75.60204195976257
114.jpg: NIQE=53.0947610586332  with dealing time: 75.58082842826843
115.jpg: NIQE=51.13843192000434  with dealing time: 75.69876027107239
116.jpg: NIQE=46.90703697522993  with dealing time: 72.5792384147644
117.jpg: NIQE=46.06497937984203  with dealing time: 74.20143508911133
118.jpg: NIQE=55.00169969486904  with dealing time: 72.76677632331848
119.jpg: NIQE=44.64979795271762  with dealing time: 73.72303009033203
12.jpg: NIQE=33.16951935443256  with dealing time: 76.53131127357483
120.jpg: NIQE=48.9516944937143  with dealing time: 73.83717799186707
121.jpg: NIQE=43.84396450780894  with dealing time: 73.94530296325684
122.jpg: NIQE=44.5548908936546  with dealing time: 74.8801794052124
123.jpg: NIQE=43.81878398634943  with dealing time: 74.74242281913757
124.jpg: NIQE=43.0543001924189  with dealing time: 74.57725787162781
125.jpg: NIQE=43.871039279987826  with dealing time: 74.79251480102539
126.jpg: NIQE=45.33643596476848  with dealing time: 74.78325128555298
127.jpg: NIQE=43.30612231976718  with dealing time: 75.00459051132202
128.jpg: NIQE=48.381814156145516  with dealing time: 75.7561845779419
129.jpg: NIQE=45.70850564020419  with dealing time: 74.78399562835693
13.jpg: NIQE=36.22780758422656  with dealing time: 78.76108026504517
130.jpg: NIQE=47.458763634871566  with dealing time: 75.81308221817017
131.jpg: NIQE=46.603524348178055  with dealing time: 72.8799934387207
132.jpg: NIQE=43.43805842159113  with dealing time: 73.87997317314148
133.jpg: NIQE=35.448757989969366  with dealing time: 79.75629711151123
134.jpg: NIQE=43.11368838436129  with dealing time: 73.87031722068787
135.jpg: NIQE=45.39653572560155  with dealing time: 75.60259413719177
136.jpg: NIQE=42.633556864810345  with dealing time: 73.22831082344055
137.jpg: NIQE=43.55179200355839  with dealing time: 73.42135763168335
138.jpg: NIQE=57.38597509756517  with dealing time: 74.3075623512268
139.jpg: NIQE=36.25426086745736  with dealing time: 76.59684729576111
14.jpg: NIQE=34.13100675981168  with dealing time: 75.82393765449524
140.jpg: NIQE=54.10290732427668  with dealing time: 73.0941755771637
141.jpg: NIQE=53.09433599751383  with dealing time: 70.8757541179657
142.jpg: NIQE=50.05507593298698  with dealing time: 75.09134221076965
143.jpg: NIQE=51.6979597024453  with dealing time: 74.22461986541748
144.jpg: NIQE=52.00418143982683  with dealing time: 73.4941394329071
145.jpg: NIQE=54.771038479339666  with dealing time: 73.37649893760681
146.jpg: NIQE=46.923267777103824  with dealing time: 72.46639704704285
147.jpg: NIQE=46.57020942883635  with dealing time: 68.8425030708313
148.jpg: NIQE=51.06294282254095  with dealing time: 64.90282130241394
149.jpg: NIQE=49.4157247714393  with dealing time: 71.04425597190857
15.jpg: NIQE=38.699642047596484  with dealing time: 64.1390540599823
150.jpg: NIQE=58.25255536422782  with dealing time: 63.50434494018555
151.jpg: NIQE=52.0166424105891  with dealing time: 58.72371816635132
152.jpg: NIQE=55.27409941483141  with dealing time: 63.605302810668945
153.jpg: NIQE=50.884725971123224  with dealing time: 60.06771945953369
154.jpg: NIQE=51.065941173510886  with dealing time: 59.13782358169556
155.jpg: NIQE=56.43850029715238  with dealing time: 62.742390632629395
156.jpg: NIQE=45.75280247700151  with dealing time: 60.45310616493225
157.jpg: NIQE=60.183407690530935  with dealing time: 59.086787939071655
158.jpg: NIQE=53.72911938069926  with dealing time: 59.25367522239685
159.jpg: NIQE=61.8489727975973  with dealing time: 60.513343811035156
16.jpg: NIQE=47.4046032200323  with dealing time: 54.935118198394775
160.jpg: NIQE=56.50989586467341  with dealing time: 58.9615204334259
161.jpg: NIQE=31.26942308890338  with dealing time: 62.181241273880005
162.jpg: NIQE=31.242359531093513  with dealing time: 65.87974071502686
163.jpg: NIQE=45.31963343795347  with dealing time: 65.82798099517822
164.jpg: NIQE=31.489413195306955  with dealing time: 66.02031207084656
165.jpg: NIQE=30.995901956639802  with dealing time: 60.99542760848999
166.jpg: NIQE=34.65164125121488  with dealing time: 56.348522424697876
167.jpg: NIQE=32.2276405714765  with dealing time: 58.63969159126282
168.jpg: NIQE=33.128703145239356  with dealing time: 56.35336232185364
169.jpg: NIQE=30.894345816119397  with dealing time: 59.84165859222412
17.jpg: NIQE=47.88892208905543  with dealing time: 51.80765986442566
170.jpg: NIQE=30.652639748277476  with dealing time: 56.24957323074341
171.jpg: NIQE=30.261722722928653  with dealing time: 55.27812075614929
172.jpg: NIQE=42.85086535161933  with dealing time: 51.21159648895264
173.jpg: NIQE=32.630367937579535  with dealing time: 56.64613318443298
174.jpg: NIQE=31.640350397485804  with dealing time: 65.37518644332886
175.jpg: NIQE=33.558455783921175  with dealing time: 61.31751489639282
176.jpg: NIQE=54.73823889206782  with dealing time: 52.69733905792236
177.jpg: NIQE=32.12398511729032  with dealing time: 61.51120924949646
178.jpg: NIQE=29.715209355208152  with dealing time: 62.54844284057617
179.jpg: NIQE=61.384877900543515  with dealing time: 54.383673667907715
18.jpg: NIQE=47.75747731242238  with dealing time: 50.68380522727966
180.jpg: NIQE=30.754518107296423  with dealing time: 53.576014041900635
181.jpg: NIQE=39.17326213398987  with dealing time: 49.55742335319519
182.jpg: NIQE=38.10243702867611  with dealing time: 48.589378118515015
183.jpg: NIQE=44.92811560592433  with dealing time: 49.75889348983765
19.jpg: NIQE=43.47207928906603  with dealing time: 48.13591504096985
2.jpg: NIQE=59.5331958162981  with dealing time: 47.932167053222656
20.jpg: NIQE=49.53814237665812  with dealing time: 51.57003426551819
21.jpg: NIQE=45.143738309199584  with dealing time: 49.00985097885132
22.jpg: NIQE=55.05867270612976  with dealing time: 47.476372718811035
23.jpg: NIQE=55.10206895729182  with dealing time: 46.88517618179321
24.jpg: NIQE=52.19742537553664  with dealing time: 48.283010959625244
25.jpg: NIQE=53.01196544993002  with dealing time: 47.518346309661865
26.jpg: NIQE=52.82199183815093  with dealing time: 52.175405979156494
27.jpg: NIQE=44.40686711927834  with dealing time: 58.7277398109436
28.jpg: NIQE=43.383001290171386  with dealing time: 56.06916093826294
29.jpg: NIQE=41.40602604490423  with dealing time: 50.37130570411682
3.jpg: NIQE=57.855740728084  with dealing time: 51.68299889564514
30.jpg: NIQE=59.524159410496495  with dealing time: 51.382068157196045
31.jpg: NIQE=49.71856094612479  with dealing time: 48.499696254730225
32.jpg: NIQE=66.07939365938269  with dealing time: 50.83712410926819
33.jpg: NIQE=32.900682004943555  with dealing time: 45.85663175582886
34.jpg: NIQE=34.12742353336212  with dealing time: 48.22344422340393
35.jpg: NIQE=39.33670400737151  with dealing time: 51.47993850708008
36.jpg: NIQE=36.29580010797756  with dealing time: 50.93517708778381
37.jpg: NIQE=34.69117520770692  with dealing time: 48.32713580131531
38.jpg: NIQE=37.94501668207739  with dealing time: 47.76277804374695
39.jpg: NIQE=38.71517392173878  with dealing time: 47.55414080619812
4.jpg: NIQE=44.31556870860363  with dealing time: 45.07426381111145
40.jpg: NIQE=35.77963516774402  with dealing time: 48.20092821121216
41.jpg: NIQE=37.02406154397176  with dealing time: 46.93004846572876
42.jpg: NIQE=43.50656462810802  with dealing time: 46.01318049430847
43.jpg: NIQE=39.72801659239268  with dealing time: 45.69525909423828
44.jpg: NIQE=36.91764817093084  with dealing time: 44.851470708847046
45.jpg: NIQE=39.391148203718494  with dealing time: 47.70917320251465
46.jpg: NIQE=41.117205761393166  with dealing time: 45.37866997718811
47.jpg: NIQE=37.37007008292668  with dealing time: 46.444876194000244
48.jpg: NIQE=49.07829751779879  with dealing time: 55.0408148765564
49.jpg: NIQE=44.555602043769106  with dealing time: 46.03422403335571
5.jpg: NIQE=41.52237219758866  with dealing time: 46.420001745224
50.jpg: NIQE=40.20446220325869  with dealing time: 48.906805992126465
51.jpg: NIQE=51.35779704891138  with dealing time: 40.63872241973877
52.jpg: NIQE=41.395711893647466  with dealing time: 41.96300530433655
53.jpg: NIQE=47.14663767793458  with dealing time: 42.6096408367157
54.jpg: NIQE=39.09501027673617  with dealing time: 62.46640491485596
55.jpg: NIQE=38.66703733372603  with dealing time: 45.400771617889404
56.jpg: NIQE=43.39343095430268  with dealing time: 49.603734731674194
57.jpg: NIQE=39.6214891879659  with dealing time: 50.04325580596924
58.jpg: NIQE=48.324083384719756  with dealing time: 52.19400072097778
59.jpg: NIQE=39.51234935573665  with dealing time: 47.058879375457764
6.jpg: NIQE=43.22680704522337  with dealing time: 44.796101570129395
60.jpg: NIQE=39.277802836845275  with dealing time: 47.32870531082153
61.jpg: NIQE=40.221582668079456  with dealing time: 50.82411980628967
62.jpg: NIQE=41.41897874016486  with dealing time: 56.500418186187744
63.jpg: NIQE=47.28573378178057  with dealing time: 53.98580241203308
64.jpg: NIQE=40.241098293677396  with dealing time: 56.42125582695007
65.jpg: NIQE=38.84923575381311  with dealing time: 52.28259038925171
66.jpg: NIQE=38.46814942521014  with dealing time: 62.50080847740173
67.jpg: NIQE=37.10566983496532  with dealing time: 58.38461470603943
68.jpg: NIQE=36.3880955430272  with dealing time: 47.23895812034607
69.jpg: NIQE=37.67613091407919  with dealing time: 44.66142535209656
7.jpg: NIQE=45.255184798102185  with dealing time: 42.18527579307556
70.jpg: NIQE=38.086934564024155  with dealing time: 39.401285886764526
71.jpg: NIQE=39.434945317813415  with dealing time: 39.90263557434082
72.jpg: NIQE=39.23092197611215  with dealing time: 38.915132999420166
73.jpg: NIQE=41.65078886631552  with dealing time: 39.073901653289795
74.jpg: NIQE=40.528878318382596  with dealing time: 39.756617069244385
75.jpg: NIQE=37.11230176906186  with dealing time: 38.98986482620239
76.jpg: NIQE=40.106060847141684  with dealing time: 38.601346492767334
77.jpg: NIQE=35.378122518685586  with dealing time: 39.260241985321045
78.jpg: NIQE=37.76941933769978  with dealing time: 43.25748038291931
79.jpg: NIQE=36.20033661682898  with dealing time: 41.75231432914734
8.jpg: NIQE=40.388647615429704  with dealing time: 46.97978401184082
80.jpg: NIQE=36.96003947131437  with dealing time: 43.940752029418945
81.jpg: NIQE=38.28107726292553  with dealing time: 42.03082275390625
82.jpg: NIQE=40.15979787027662  with dealing time: 40.242709159851074
83.jpg: NIQE=42.084498917049935  with dealing time: 41.94800400733948
84.jpg: NIQE=36.27748457724008  with dealing time: 40.957897424697876
85.jpg: NIQE=35.25943677754052  with dealing time: 40.90907955169678
86.jpg: NIQE=46.0189989881243  with dealing time: 40.786686182022095
87.jpg: NIQE=49.57160224453486  with dealing time: 38.91390252113342
88.jpg: NIQE=39.5682874826071  with dealing time: 43.9527485370636
89.jpg: NIQE=41.19473902364982  with dealing time: 41.82296895980835
9.jpg: NIQE=34.00418531218655  with dealing time: 41.20105957984924
90.jpg: NIQE=46.369591811664485  with dealing time: 43.172813415527344
91.jpg: NIQE=39.81450942483769  with dealing time: 40.94580078125
92.jpg: NIQE=41.241108778452805  with dealing time: 42.214927434921265
93.jpg: NIQE=45.32917140337675  with dealing time: 43.58306837081909
94.jpg: NIQE=49.010308591325156  with dealing time: 41.91124129295349
95.jpg: NIQE=45.81685861942389  with dealing time: 41.55091071128845
96.jpg: NIQE=46.20112314415412  with dealing time: 50.18834662437439
97.jpg: NIQE=50.95035172727205  with dealing time: 44.56659770011902
98.jpg: NIQE=44.69738133088143  with dealing time: 40.62679195404053
99.jpg: NIQE=47.042855566391516  with dealing time: 40.432926177978516

183 Image Average: NIQE=43.520595390628074, TimePerImage=57.199216703248155, SumTime = 10467.456656694412s

