104_img_: PSNR=24.742770305929596 SSIM=0.9529985838678954 UIQM=0.42411960651893843 UCIQE=0.584387758930927
10_img_: PSNR=14.036505992547024 SSIM=0.12013820452190578 UIQM=0.36417252904265607 UCIQE=0.6132606641055471
111_img_: PSNR=20.773083337810824 SSIM=0.8294490639707752 UIQM=0.37796934274888183 UCIQE=0.553583439245933
112_img_: PSNR=20.465125641177014 SSIM=0.5538437383875083 UIQM=0.6225600315045785 UCIQE=0.5564372101239838
11_img_: PSNR=14.72348720617713 SSIM=0.6558929056840883 UIQM=0.8952674223996724 UCIQE=0.6518768901614915
13_img_: PSNR=19.06139260406628 SSIM=0.7979219055661269 UIQM=0.8073123285704327 UCIQE=0.6021339046719478
14_img_: PSNR=24.962528449802214 SSIM=0.8898922388481392 UIQM=0.8974982521417093 UCIQE=0.6538832429245631
15003: PSNR=27.551801303117948 SSIM=0.9795676883798927 UIQM=0.025152237366049546 UCIQE=0.429766132904317
150_img_: PSNR=25.969257786869996 SSIM=0.9029550959332044 UIQM=0.7483021737870644 UCIQE=0.5919284488839583
15544: PSNR=22.515443014495776 SSIM=0.8600571326855155 UIQM=0.20171245344724642 UCIQE=0.5313076149832348
15_img_: PSNR=19.536037668238023 SSIM=0.7705293945272396 UIQM=1.0091440137865286 UCIQE=0.6678882547469773
169_img_: PSNR=19.809965774895137 SSIM=0.6745406361243906 UIQM=1.2105664554069802 UCIQE=0.541459504610755
16_img_: PSNR=21.24725643984721 SSIM=0.7667477582804686 UIQM=1.0412910369382318 UCIQE=0.5937174434986308
17_img_: PSNR=21.960199824564373 SSIM=0.8412623472893355 UIQM=1.1437204743281222 UCIQE=0.599841471173993
18_img_: PSNR=19.636743102456464 SSIM=0.640722151585558 UIQM=0.6596248101864919 UCIQE=0.5118086067954939
19_img_: PSNR=19.847785677102372 SSIM=0.787781100461813 UIQM=1.086610006188471 UCIQE=0.6421199786459393
20: PSNR=21.149505024583277 SSIM=0.7661623450874818 UIQM=0.9847441591894113 UCIQE=0.5969695443750178
22_img_: PSNR=21.548148895398562 SSIM=0.9000641881791192 UIQM=1.047347823524702 UCIQE=0.6288350327530154
23_img_: PSNR=22.130354727589044 SSIM=0.8475256227254531 UIQM=1.1496573313269316 UCIQE=0.6074570233168285
24_img_: PSNR=19.97280198580236 SSIM=0.8298427449481025 UIQM=0.8944193767655059 UCIQE=0.5496287657578803
282_img_: PSNR=18.50735536165925 SSIM=0.6133522952605538 UIQM=1.067364442130991 UCIQE=0.605654473684117
284_img_: PSNR=27.654633323813584 SSIM=0.8927764080757019 UIQM=1.0582958150096822 UCIQE=0.6543743348715738
288_img_: PSNR=27.96192665843348 SSIM=0.8937300374303636 UIQM=0.9263117072801346 UCIQE=0.5730301862318931
290_img_: PSNR=24.511182199605205 SSIM=0.9247298247536582 UIQM=0.7444604098785542 UCIQE=0.5499664340045782
292_img_: PSNR=22.91328713081303 SSIM=0.8826115009458437 UIQM=0.623126280666258 UCIQE=0.6353553487322868
293_img_: PSNR=22.99022234352666 SSIM=0.6456119518761076 UIQM=0.985598898980359 UCIQE=0.6126101207635004
294_img_: PSNR=24.306759740518487 SSIM=0.7045098124518624 UIQM=0.5610866151573918 UCIQE=0.4769192111694476
295_img_: PSNR=24.825089971788643 SSIM=0.8961711365628485 UIQM=0.973365743525468 UCIQE=0.6792812727296023
299_img_: PSNR=16.196867096806756 SSIM=0.8764952644302932 UIQM=0.6356887830177439 UCIQE=0.5594681980331431
2_img_: PSNR=18.92976511882003 SSIM=0.7841860616564602 UIQM=0.9245156604226562 UCIQE=0.6710560419298994
