12433_out.png: NIQE=37.683380572519994  with dealing time: 72.98468232154846
149_out.png: NIQE=43.53590288466598  with dealing time: 79.52875208854675
161_out.png: NIQE=40.00939632680841  with dealing time: 78.76112914085388
264574_00031858_out.png: NIQE=36.066204332835696  with dealing time: 71.86752319335938
264734_00038535_out.png: NIQE=40.77109663788894  with dealing time: 68.37680292129517
265119_00013763_out.png: NIQE=44.37703682805942  with dealing time: 72.40122437477112
265130_00031309_out.png: NIQE=39.445737171072665  with dealing time: 70.49169826507568
265344_00029330_out.png: NIQE=41.11376755335994  with dealing time: 71.39079022407532
306_img__out.png: NIQE=39.7496952190928  with dealing time: 69.63811659812927
332_img__out.png: NIQE=47.57871766921838  with dealing time: 74.5176329612732
3330_out.png: NIQE=53.53647693518414  with dealing time: 74.70090365409851
36_out.png: NIQE=41.801443074992285  with dealing time: 72.20695161819458
387_img__out.png: NIQE=37.99359582544911  with dealing time: 68.01958775520325
757_img__out.png: NIQE=42.340011342151406  with dealing time: 71.35657787322998
819_img__out.png: NIQE=39.50017161063597  with dealing time: 74.71039891242981
96_out.png: NIQE=45.93904482740569  with dealing time: 77.6053078174591
GI_16_out.png: NIQE=55.67287590515607  with dealing time: 79.38182044029236
GI_1_out.png: NIQE=38.59490137661424  with dealing time: 66.050457239151
GI_22_out.png: NIQE=43.7918629902364  with dealing time: 80.25761365890503
GI_29_out.png: NIQE=94.07519641119003  with dealing time: 74.23022031784058
GI_2_out.png: NIQE=61.3128800735836  with dealing time: 63.385764598846436
GI_33_out.png: NIQE=38.72580046393028  with dealing time: 71.77580618858337
GI_35_out.png: NIQE=36.87652161930117  with dealing time: 75.86911177635193
GI_43_out.png: NIQE=41.18214339789029  with dealing time: 76.50125741958618
GI_78_out.png: NIQE=40.81631457739353  with dealing time: 71.78798651695251
GI_7_out.png: NIQE=40.39015323524613  with dealing time: 73.24484443664551
GI_8_out.png: NIQE=38.45721691768387  with dealing time: 69.90164351463318
GI_95_out.png: NIQE=38.44976004074832  with dealing time: 74.02229261398315
gmn_5017up_out.png: NIQE=35.78110450667514  with dealing time: 71.79438734054565
gmn_5029up_out.png: NIQE=43.784546054034436  with dealing time: 72.6896243095398
gmn_5148up_out.png: NIQE=47.87790709813493  with dealing time: 76.53584551811218
gmn_5183up_out.png: NIQE=38.11143018358421  with dealing time: 70.78109884262085
gmn_5185up_out.png: NIQE=38.88355105453891  with dealing time: 73.75182247161865
gmn_5228up_out.png: NIQE=35.65918585225078  with dealing time: 70.38278317451477
gmn_7856up_out.png: NIQE=42.340497526717165  with dealing time: 68.42215514183044
gmn_7919up_out.png: NIQE=44.50803174789569  with dealing time: 70.88319396972656
im_f1582__out.png: NIQE=40.53923689259691  with dealing time: 72.68008279800415
im_f2253__out.png: NIQE=50.86451611218208  with dealing time: 70.01798439025879
