12433_out.png: uiqm=0.7067485378936329, uciqe=0.5343531545862643
149_out.png: uiqm=0.06512751768406988, uciqe=0.5182573674671698
161_out.png: uiqm=0.3709079655311953, uciqe=0.5655547963400361
264574_00031858_out.png: uiqm=1.3835887947617562, uciqe=0.5397052305083654
264734_00038535_out.png: uiqm=0.5043990517825592, uciqe=0.5410957387797546
265119_00013763_out.png: uiqm=0.24330353322198273, uciqe=0.5607203427112178
265130_00031309_out.png: uiqm=0.5327182730481942, uciqe=0.5262541883671441
265344_00029330_out.png: uiqm=0.6391471663641598, uciqe=0.5512328153324538
306_img__out.png: uiqm=0.43006364828212673, uciqe=0.5408093945321331
332_img__out.png: uiqm=0.3798163574549349, uciqe=0.5713340013169803
3330_out.png: uiqm=0.31521027395132917, uciqe=0.572686679202911
36_out.png: uiqm=0.32633175431004047, uciqe=0.5519703026285769
387_img__out.png: uiqm=0.753906491406607, uciqe=0.48946408518197526
757_img__out.png: uiqm=0.83324082300502, uciqe=0.5707815914442721
819_img__out.png: uiqm=0.5330431689401293, uciqe=0.5670804093417017
96_out.png: uiqm=0.8256130265357289, uciqe=0.5378800824571714
GI_16_out.png: uiqm=0.17396395999033987, uciqe=0.5821476140764617
GI_1_out.png: uiqm=0.21677657314775445, uciqe=0.346569710378796
GI_22_out.png: uiqm=0.07127588361354598, uciqe=0.5353343308264318
GI_29_out.png: uiqm=-0.2732698644360193, uciqe=0.36111277444425416
GI_2_out.png: uiqm=-0.17459878070607027, uciqe=0.3283390576715768
GI_33_out.png: uiqm=0.6702367001265107, uciqe=0.5542234524684704
GI_35_out.png: uiqm=0.5457547678528094, uciqe=0.6872106533692339
GI_43_out.png: uiqm=0.5233471930308937, uciqe=0.6272427249374006
GI_78_out.png: uiqm=0.48913964017381373, uciqe=0.531485640733541
GI_7_out.png: uiqm=1.485583761651935, uciqe=0.5143379428638768
GI_8_out.png: uiqm=1.4939549947200208, uciqe=0.4878877571590246
GI_95_out.png: uiqm=0.2535524597327694, uciqe=0.5346838348422102
gmn_5017up_out.png: uiqm=0.5750964539385245, uciqe=0.4980315285731264
gmn_5029up_out.png: uiqm=0.5360562699179673, uciqe=0.6183662382575804
gmn_5148up_out.png: uiqm=0.2183546828940096, uciqe=0.5609626917397449
gmn_5183up_out.png: uiqm=0.4259011195431137, uciqe=0.5144782699687911
gmn_5185up_out.png: uiqm=0.7390024893843061, uciqe=0.5923930879366197
gmn_5228up_out.png: uiqm=0.5561218474205767, uciqe=0.5269473926133045
gmn_7856up_out.png: uiqm=1.08576367606726, uciqe=0.5999500743028677
gmn_7919up_out.png: uiqm=0.4838623352928464, uciqe=0.4898842411069883
im_f1582__out.png: uiqm=0.9980390734277342, uciqe=0.5578598106328201
im_f2253__out.png: uiqm=0.37159179259691844, uciqe=0.5017712760097882
n01496331_1010_out.png: uiqm=0.43193939118216607, uciqe=0.5192965157279437
n01496331_2044_out.png: uiqm=0.6334866812202372, uciqe=0.5753723984521304
n01914609_1112_out.png: uiqm=-0.050150100839353895, uciqe=0.527812535547554
n01914609_11380_out.png: uiqm=0.5648378803962282, uciqe=0.483799164485084
n01914609_13222_out.png: uiqm=0.5116525838018277, uciqe=0.5221846050901783
n01914609_13909_out.png: uiqm=1.0150871023133585, uciqe=0.4819374939442259
n01914609_1437_out.png: uiqm=0.3908803447973823, uciqe=0.5873795545083377
n01914609_1980_out.png: uiqm=0.6709080413350013, uciqe=0.5535058212107361
n01914609_2054_out.png: uiqm=0.13365444662790837, uciqe=0.5374714726786018
n01914609_7919_out.png: uiqm=0.2846947728980731, uciqe=0.551776909359566
n02607072_2382_out.png: uiqm=0.24029381330448574, uciqe=0.5535977697840957
n02607072_5845_out.png: uiqm=0.08875888411076005, uciqe=0.466276770619546
n02607072_931_out.png: uiqm=0.2699776127025403, uciqe=0.5430505544036648
NF_100_out.png: uiqm=0.3549561813497708, uciqe=0.6152685160619408
NF_10_out.png: uiqm=0.22110343974941393, uciqe=0.5271931215861522
NF_110_out.png: uiqm=-0.012170432628011985, uciqe=0.600093538012979
NF_116_out.png: uiqm=0.15459782858823157, uciqe=0.6033014633920194
NF_123_out.png: uiqm=-0.3939126055248322, uciqe=0.638270425985739
NF_124_out.png: uiqm=0.17712074500801933, uciqe=0.5904305016938445
