100_out.jpg: NIQE=47.79569833907552  with dealing time: 74.15846157073975
101_out.jpg: NIQE=38.22926870186462  with dealing time: 74.19730138778687
102_out.jpg: NIQE=44.50244122740855  with dealing time: 75.35043358802795
103_out.jpg: NIQE=44.84765283837104  with dealing time: 76.84955644607544
104_out.jpg: NIQE=47.890736329592336  with dealing time: 75.45868062973022
105_out.jpg: NIQE=56.81802210131505  with dealing time: 75.64669418334961
106_out.jpg: NIQE=59.52008062902655  with dealing time: 74.6624903678894
107_out.jpg: NIQE=42.56308443967909  with dealing time: 72.9863224029541
108_out.jpg: NIQE=53.51410273765924  with dealing time: 72.10915946960449
109_out.jpg: NIQE=50.28878359016517  with dealing time: 72.85147714614868
10_out.jpg: NIQE=36.52390117074408  with dealing time: 73.74359798431396
110_out.jpg: NIQE=61.51823974001403  with dealing time: 72.64554500579834
111_out.jpg: NIQE=57.699655732012005  with dealing time: 75.93887305259705
112_out.jpg: NIQE=50.94955631103851  with dealing time: 72.99273538589478
113_out.jpg: NIQE=52.75596304933183  with dealing time: 73.53418946266174
114_out.jpg: NIQE=69.50233279328232  with dealing time: 73.06914925575256
115_out.jpg: NIQE=66.57989597814  with dealing time: 74.97052097320557
116_out.jpg: NIQE=50.09094311381028  with dealing time: 74.66433215141296
117_out.jpg: NIQE=49.71357567211158  with dealing time: 74.42470788955688
118_out.jpg: NIQE=57.99263333606085  with dealing time: 72.31780886650085
119_out.jpg: NIQE=48.074230000751015  with dealing time: 73.44941806793213
11_out.jpg: NIQE=37.23175127336906  with dealing time: 73.94662284851074
120_out.jpg: NIQE=50.61300725429976  with dealing time: 72.2431104183197
121_out.jpg: NIQE=52.14122630939173  with dealing time: 73.2966320514679
122_out.jpg: NIQE=52.08485055569662  with dealing time: 74.00371932983398
123_out.jpg: NIQE=43.84681669057143  with dealing time: 75.82993292808533
124_out.jpg: NIQE=50.35216682769191  with dealing time: 73.76417803764343
125_out.jpg: NIQE=51.803989733491  with dealing time: 72.06995391845703
126_out.jpg: NIQE=48.25032759025331  with dealing time: 74.97583103179932
127_out.jpg: NIQE=49.18191164191379  with dealing time: 77.86988759040833
128_out.jpg: NIQE=48.69621873596097  with dealing time: 74.41240453720093
129_out.jpg: NIQE=47.365424807762324  with dealing time: 73.24376964569092
12_out.jpg: NIQE=37.36754956221446  with dealing time: 73.7172839641571
130_out.jpg: NIQE=47.06696644725429  with dealing time: 72.73146939277649
131_out.jpg: NIQE=53.71701604263216  with dealing time: 72.37574338912964
132_out.jpg: NIQE=46.77471571926973  with dealing time: 74.73227143287659
133_out.jpg: NIQE=39.63374191346711  with dealing time: 78.68677878379822
134_out.jpg: NIQE=44.504494349999206  with dealing time: 74.22959160804749
135_out.jpg: NIQE=48.76562795496705  with dealing time: 74.45441460609436
136_out.jpg: NIQE=46.5951880023842  with dealing time: 72.40086317062378
137_out.jpg: NIQE=48.12864190131414  with dealing time: 72.94790077209473
138_out.jpg: NIQE=58.87831223409236  with dealing time: 73.23729681968689
139_out.jpg: NIQE=43.39886560652141  with dealing time: 79.03830480575562
13_out.jpg: NIQE=39.846083678983696  with dealing time: 77.6144232749939
140_out.jpg: NIQE=56.1567703348296  with dealing time: 69.14956283569336
141_out.jpg: NIQE=54.73943486702183  with dealing time: 66.5916485786438
142_out.jpg: NIQE=56.22597190068204  with dealing time: 66.62573504447937
143_out.jpg: NIQE=65.13410161841344  with dealing time: 65.66685891151428
144_out.jpg: NIQE=68.26439623622373  with dealing time: 66.38587784767151
145_out.jpg: NIQE=62.34697032946138  with dealing time: 67.51798272132874
146_out.jpg: NIQE=45.77558527193915  with dealing time: 67.05651664733887
147_out.jpg: NIQE=44.64678784652372  with dealing time: 67.40999484062195
148_out.jpg: NIQE=55.52849709585789  with dealing time: 67.47984623908997
149_out.jpg: NIQE=50.57863746385178  with dealing time: 70.17498207092285
14_out.jpg: NIQE=40.063882661007625  with dealing time: 69.90255856513977
150_out.jpg: NIQE=56.38021321966951  with dealing time: 69.86515808105469
151_out.jpg: NIQE=53.93713637989816  with dealing time: 67.08070278167725
152_out.jpg: NIQE=56.28911310096265  with dealing time: 69.64423203468323
153_out.jpg: NIQE=49.294530262295666  with dealing time: 62.66093993186951
154_out.jpg: NIQE=54.036608647559355  with dealing time: 59.058324575424194
155_out.jpg: NIQE=75.6285545343546  with dealing time: 56.859493017196655
156_out.jpg: NIQE=44.833111571309736  with dealing time: 57.913309812545776
157_out.jpg: NIQE=66.78422361311144  with dealing time: 58.4364287853241
158_out.jpg: NIQE=65.78214670574111  with dealing time: 59.69316554069519
159_out.jpg: NIQE=61.10760076309047  with dealing time: 60.98187208175659
15_out.jpg: NIQE=40.27493100398126  with dealing time: 60.711403369903564
160_out.jpg: NIQE=56.74638701217079  with dealing time: 60.178473711013794
161_out.jpg: NIQE=39.040779054058056  with dealing time: 59.75641989707947
162_out.jpg: NIQE=38.26139821299423  with dealing time: 59.51763701438904
163_out.jpg: NIQE=47.5957307042306  with dealing time: 58.90947365760803
164_out.jpg: NIQE=37.14837393017342  with dealing time: 60.225181102752686
165_out.jpg: NIQE=36.20485747701325  with dealing time: 59.094176292419434
166_out.jpg: NIQE=38.80455414927651  with dealing time: 58.50118565559387
167_out.jpg: NIQE=38.532964124584  with dealing time: 61.21901845932007
168_out.jpg: NIQE=36.270670942068726  with dealing time: 60.116965532302856
169_out.jpg: NIQE=36.05051271293594  with dealing time: 59.881462812423706
16_out.jpg: NIQE=47.61058163461085  with dealing time: 57.25167965888977
