100_out.jpg: uiqm=0.7335844897859725, uciqe=0.48349743172671855
101_out.jpg: uiqm=0.47178421853676333, uciqe=0.5514026536522023
102_out.jpg: uiqm=0.6911639029885318, uciqe=0.5604072218118935
103_out.jpg: uiqm=0.8986780949675707, uciqe=0.5574623217627384
104_out.jpg: uiqm=0.8931883747378623, uciqe=0.5576445513521437
105_out.jpg: uiqm=0.5218543690155831, uciqe=0.5580731701028675
106_out.jpg: uiqm=0.7419425375336938, uciqe=0.5507941657741197
107_out.jpg: uiqm=0.8171031306601799, uciqe=0.5122051548741041
108_out.jpg: uiqm=0.69380090089051, uciqe=0.5342811001066947
109_out.jpg: uiqm=0.7324983381779329, uciqe=0.5450558137422772
10_out.jpg: uiqm=0.4213976969733165, uciqe=0.5570443155149364
110_out.jpg: uiqm=0.5196267401409024, uciqe=0.527354070415648
111_out.jpg: uiqm=0.4726910413582549, uciqe=0.5490576453400745
112_out.jpg: uiqm=0.7794289803743132, uciqe=0.5476417185472809
113_out.jpg: uiqm=0.7813671478430433, uciqe=0.5443432215036875
114_out.jpg: uiqm=0.34139622288323324, uciqe=0.5287399911578229
115_out.jpg: uiqm=0.670359857799533, uciqe=0.5631607328599246
116_out.jpg: uiqm=0.9304160011458488, uciqe=0.5199933624180599
117_out.jpg: uiqm=0.9195948473898542, uciqe=0.5206966714457363
118_out.jpg: uiqm=0.4442120174752864, uciqe=0.5693768474534492
119_out.jpg: uiqm=0.5742888341221494, uciqe=0.5178623603684712
11_out.jpg: uiqm=0.4049229640886305, uciqe=0.5539766607682853
120_out.jpg: uiqm=0.4312095564314399, uciqe=0.525423584730557
121_out.jpg: uiqm=0.692065808096317, uciqe=0.5307719642571311
122_out.jpg: uiqm=0.6425377125245058, uciqe=0.5291244049072449
123_out.jpg: uiqm=0.619408604795238, uciqe=0.5270734629354823
124_out.jpg: uiqm=0.4219556628011042, uciqe=0.5244164236149305
125_out.jpg: uiqm=0.4757846059429367, uciqe=0.5291006668179746
126_out.jpg: uiqm=0.4896929656294796, uciqe=0.5249508653930491
127_out.jpg: uiqm=0.8470854759009654, uciqe=0.5045893204108176
128_out.jpg: uiqm=0.5986523296316569, uciqe=0.4980169018706294
129_out.jpg: uiqm=0.6134313286089629, uciqe=0.5355647272139981
12_out.jpg: uiqm=0.4203509260719689, uciqe=0.5560884855883018
130_out.jpg: uiqm=0.5744572867872625, uciqe=0.5304012581781423
131_out.jpg: uiqm=0.5987242346819142, uciqe=0.535686378701913
132_out.jpg: uiqm=0.6757763613738647, uciqe=0.5321449066159036
133_out.jpg: uiqm=0.0670310629218216, uciqe=0.543007331971125
134_out.jpg: uiqm=0.6264683532826222, uciqe=0.5182248241636983
135_out.jpg: uiqm=0.7264513652831879, uciqe=0.5361755873314801
136_out.jpg: uiqm=0.7235390016432862, uciqe=0.5434019750059135
137_out.jpg: uiqm=0.6172919264903682, uciqe=0.5390574224458171
138_out.jpg: uiqm=0.4579680701451291, uciqe=0.5380322768524224
139_out.jpg: uiqm=-0.06978857327531085, uciqe=0.5390111598712441
13_out.jpg: uiqm=0.37270868885207653, uciqe=0.5540471536721053
140_out.jpg: uiqm=0.5563544129398351, uciqe=0.5637718794819604
141_out.jpg: uiqm=0.5176615141545111, uciqe=0.5485309186145348
142_out.jpg: uiqm=0.28929284111128584, uciqe=0.5571429614791601
143_out.jpg: uiqm=0.4034523516099786, uciqe=0.5228914068278417
144_out.jpg: uiqm=0.6302254549254058, uciqe=0.5533733482938035
145_out.jpg: uiqm=0.7414920385315806, uciqe=0.5611299165464759
146_out.jpg: uiqm=0.5869428362821363, uciqe=0.4960082395497217
147_out.jpg: uiqm=0.4542303241362179, uciqe=0.5046473053744993
148_out.jpg: uiqm=0.5140644949109008, uciqe=0.5449298757403228
149_out.jpg: uiqm=0.10508686906727993, uciqe=0.5172493936686248
14_out.jpg: uiqm=0.24259905437862805, uciqe=0.5497696744666491
150_out.jpg: uiqm=0.09739889618779218, uciqe=0.5160229391464848
151_out.jpg: uiqm=0.5103658679506843, uciqe=0.5463538130971896
152_out.jpg: uiqm=0.1048262609326649, uciqe=0.5165395820371577
153_out.jpg: uiqm=0.3589584040859731, uciqe=0.5049430913351332
154_out.jpg: uiqm=0.4991537995445646, uciqe=0.547206892113873
155_out.jpg: uiqm=-0.02888136129513008, uciqe=0.4845437844515941
156_out.jpg: uiqm=0.6311937451021932, uciqe=0.5483892109321663
157_out.jpg: uiqm=0.15027179291650783, uciqe=0.5235225948913245
158_out.jpg: uiqm=0.14139187911973894, uciqe=0.5208942754858805
159_out.jpg: uiqm=0.3152607770375535, uciqe=0.5215921471231497
15_out.jpg: uiqm=0.25643175454489864, uciqe=0.5453750258878503
160_out.jpg: uiqm=0.008554727365266968, uciqe=0.5170590422975319
161_out.jpg: uiqm=0.39852418057334005, uciqe=0.5621893952122179
162_out.jpg: uiqm=0.38964488077418713, uciqe=0.5629046179547048
163_out.jpg: uiqm=0.5720511787052249, uciqe=0.5036959222498034
164_out.jpg: uiqm=0.38288232487795193, uciqe=0.5541160678365756
165_out.jpg: uiqm=0.33083609723843976, uciqe=0.5528440896932463
166_out.jpg: uiqm=0.3737809626346873, uciqe=0.5546808691567909
167_out.jpg: uiqm=0.3319650140153664, uciqe=0.5544934177547848
168_out.jpg: uiqm=0.37670253253761565, uciqe=0.5536807641482363
169_out.jpg: uiqm=0.41088887466383683, uciqe=0.5586050516209439
16_out.jpg: uiqm=0.33136803904276735, uciqe=0.4890551657788521
170_out.jpg: uiqm=0.2798163429082632, uciqe=0.5605817741698866
171_out.jpg: uiqm=0.28962849238208577, uciqe=0.5603013244182227
172_out.jpg: uiqm=0.3657861444962287, uciqe=0.49439927563974523
173_out.jpg: uiqm=0.29584272363353015, uciqe=0.5602751941879145
174_out.jpg: uiqm=0.14325055805621456, uciqe=0.5624844803959237
175_out.jpg: uiqm=0.13080264622447957, uciqe=0.5614223838005115
176_out.jpg: uiqm=0.5885194040129074, uciqe=0.5469144958283438
177_out.jpg: uiqm=0.10812159299658952, uciqe=0.5605156803519878
178_out.jpg: uiqm=0.3251341052000797, uciqe=0.5557254662306379
179_out.jpg: uiqm=0.6045939301540572, uciqe=0.552827707810359
17_out.jpg: uiqm=0.5163793842766997, uciqe=0.5311894390494423
180_out.jpg: uiqm=0.3920293945172558, uciqe=0.556007419170923
181_out.jpg: uiqm=0.39871378941414837, uciqe=0.47826792221677494
182_out.jpg: uiqm=0.25314963277578284, uciqe=0.4739769443569899
183_out.jpg: uiqm=0.16414378341609148, uciqe=0.5763272971856805
18_out.jpg: uiqm=0.5417598808292283, uciqe=0.5465102052044216
19_out.jpg: uiqm=0.5838833962824133, uciqe=0.5574512587445823
1_out.jpg: uiqm=0.32784942812693385, uciqe=0.5040305767329845
20_out.jpg: uiqm=0.6004841916238024, uciqe=0.5436980476193203
21_out.jpg: uiqm=0.5099239214920126, uciqe=0.5251281007389929
22_out.jpg: uiqm=0.6140847368470902, uciqe=0.5397891480035721
23_out.jpg: uiqm=0.6333362888014127, uciqe=0.5400928004222889
24_out.jpg: uiqm=0.5699451075819693, uciqe=0.5563513854428002
25_out.jpg: uiqm=0.32631372792921964, uciqe=0.48881752428417763
26_out.jpg: uiqm=0.6709547271195547, uciqe=0.5568993680195204
27_out.jpg: uiqm=0.6687284773173475, uciqe=0.5403515933014233
28_out.jpg: uiqm=0.5115925517654885, uciqe=0.5047241225515273
29_out.jpg: uiqm=0.38814446266069935, uciqe=0.5375380050630194
2_out.jpg: uiqm=0.5906740378362223, uciqe=0.5517760529395639
30_out.jpg: uiqm=0.7276808789947222, uciqe=0.5793128847446128
31_out.jpg: uiqm=0.34930426831467265, uciqe=0.4835004916824515
32_out.jpg: uiqm=0.7566931364489714, uciqe=0.5758231177481857
33_out.jpg: uiqm=0.37359590133926335, uciqe=0.5523275714592722
