104_img_: PSNR=27.98241086868508 SSIM=0.9703472753817416 UIQM=0.6758639497391985 UCIQE=0.5871354852832346
10_img_: PSNR=14.18633624593702 SSIM=0.1152313005571735 UIQM=0.419462109140719 UCIQE=0.6148242936416946
111_img_: PSNR=20.842335520330643 SSIM=0.8345625212461641 UIQM=0.3689045108914837 UCIQE=0.555407344496352
112_img_: PSNR=20.400685763119508 SSIM=0.593017207727679 UIQM=0.8620986900872154 UCIQE=0.549379285497743
11_img_: PSNR=15.815878700305506 SSIM=0.6778486705356286 UIQM=1.0579680256823392 UCIQE=0.6740550064395949
13_img_: PSNR=20.7493689796706 SSIM=0.8507327994747136 UIQM=0.9725109304994928 UCIQE=0.6138523865906886
14_img_: PSNR=28.68208411092825 SSIM=0.9485014359499047 UIQM=0.8877500116196948 UCIQE=0.6629526052235255
15003: PSNR=28.406314841784646 SSIM=0.9852421221401737 UIQM=0.008959787656081297 UCIQE=0.4344842942050918
150_img_: PSNR=28.122640507713704 SSIM=0.9320040478946551 UIQM=0.9263961924850441 UCIQE=0.6000083307323854
15544: PSNR=21.650473996703276 SSIM=0.8408381632722941 UIQM=0.19878765817355482 UCIQE=0.5357942216344992
15_img_: PSNR=19.68568393451401 SSIM=0.8031780045038969 UIQM=1.2988198245512588 UCIQE=0.6839297698583433
169_img_: PSNR=21.36639383026203 SSIM=0.8217535575466712 UIQM=1.6673891231139897 UCIQE=0.5563208396812237
16_img_: PSNR=23.453466202495406 SSIM=0.779304271534612 UIQM=1.1732945053962875 UCIQE=0.5993360641845628
17_img_: PSNR=22.21927920169126 SSIM=0.9007088550995361 UIQM=1.3545843715481973 UCIQE=0.6116936329008257
18_img_: PSNR=21.235340095996975 SSIM=0.7256159635384869 UIQM=0.8775114535039447 UCIQE=0.534488276957494
19_img_: PSNR=20.91058630039163 SSIM=0.8173515036400022 UIQM=1.2603701032436652 UCIQE=0.6148987494950038
20: PSNR=22.747255509689413 SSIM=0.8339875061572682 UIQM=1.247861528322171 UCIQE=0.6035162570659064
22_img_: PSNR=21.51648408759501 SSIM=0.9240548208960817 UIQM=1.0101965280363898 UCIQE=0.6330041157959325
23_img_: PSNR=23.40662037814653 SSIM=0.8735261829010511 UIQM=1.077138663575861 UCIQE=0.6142764372674911
24_img_: PSNR=18.99156941842186 SSIM=0.8471276064894073 UIQM=0.6409429384758183 UCIQE=0.5882832313341755
282_img_: PSNR=18.577077433596 SSIM=0.6418698673271469 UIQM=1.048135787234013 UCIQE=0.6004844593143492
284_img_: PSNR=27.34340153043414 SSIM=0.8906164332849027 UIQM=1.1124323706039403 UCIQE=0.6501643647162854
288_img_: PSNR=27.05764005337377 SSIM=0.8924300595036014 UIQM=0.9411551265573099 UCIQE=0.5733997192296615
290_img_: PSNR=23.28499051355879 SSIM=0.8851213749351594 UIQM=0.7797831716403977 UCIQE=0.5497106661646735
292_img_: PSNR=22.975002185295207 SSIM=0.8707476597753544 UIQM=0.6896119080860575 UCIQE=0.6282237482305151
293_img_: PSNR=21.431708735090396 SSIM=0.6467626867283673 UIQM=0.9529652944858379 UCIQE=0.6073357171815871
294_img_: PSNR=20.9309381984067 SSIM=0.5921776171996035 UIQM=0.5306519930385851 UCIQE=0.45560053722298066
295_img_: PSNR=22.141864123313567 SSIM=0.8665034995963962 UIQM=1.0431953105082137 UCIQE=0.6822485694784314
299_img_: PSNR=15.913493980273017 SSIM=0.868455924717377 UIQM=0.6545415514540158 UCIQE=0.5492560715611633
2_img_: PSNR=20.333260760279515 SSIM=0.8275898631950384 UIQM=1.1635289280222534 UCIQE=0.6785695897430655
300_img_: PSNR=18.87482913092233 SSIM=0.5653508842207002 UIQM=0.676730458038489 UCIQE=0.5921626402110822
301_img_: PSNR=21.8261571393113 SSIM=0.8511170963391289 UIQM=0.7122280151753718 UCIQE=0.5829394772590526
302_img_: PSNR=27.195150372339643 SSIM=0.9314190843966389 UIQM=0.6312298394640277 UCIQE=0.550167157809248
303_img_: PSNR=22.478951810610496 SSIM=0.9103289772238367 UIQM=0.6526172124516264 UCIQE=0.5587811031663241
304_img_: PSNR=17.667480609057783 SSIM=0.5434200320575492 UIQM=0.8072071184771394 UCIQE=0.49325520691805336
305_img_: PSNR=21.610844458283726 SSIM=0.9052330103932992 UIQM=0.8335045347273268 UCIQE=0.6064509583975644
306_img_: PSNR=19.815306020055413 SSIM=0.6082772274762495 UIQM=0.5057961258344353 UCIQE=0.5388655802853506
307_img_: PSNR=24.954164340948285 SSIM=0.7759579794864925 UIQM=0.5964751035035959 UCIQE=0.5575912519621403
30_img_: PSNR=22.979925788006984 SSIM=0.9123179834359223 UIQM=1.3647096824552185 UCIQE=0.6652958020644016
311_img_: PSNR=26.046052555485467 SSIM=0.8404488593120493 UIQM=0.7821191363403484 UCIQE=0.5452037009311458
312_img_: PSNR=22.62320261840052 SSIM=0.8693771622481938 UIQM=1.0518271336010496 UCIQE=0.6468727642558934
313_img_: PSNR=27.33769209733042 SSIM=0.9264757001419274 UIQM=0.9144434036242063 UCIQE=0.5829410039803276
314_img_: PSNR=24.663317945446465 SSIM=0.9130905167778994 UIQM=0.7218930887935396 UCIQE=0.58135036693794
315_img_: PSNR=25.679138002235252 SSIM=0.8385661160154293 UIQM=1.0343591958479292 UCIQE=0.5929038642489468
316_img_: PSNR=22.49271184243508 SSIM=0.8733505409775416 UIQM=1.0297633922929172 UCIQE=0.654269366969676
317_img_: PSNR=28.857622490910806 SSIM=0.9434342168666837 UIQM=0.9299318904182855 UCIQE=0.6350054328005279
318_img_: PSNR=21.691595350049703 SSIM=0.803330600708366 UIQM=0.8331286793896873 UCIQE=0.6279155305759678
319_img_: PSNR=28.675644978656074 SSIM=0.9449084333008069 UIQM=0.7374470363090873 UCIQE=0.6221276779078972
320_img_: PSNR=22.519477387970763 SSIM=0.878699304321523 UIQM=1.0846136273507403 UCIQE=0.6393571383932224
322_img_: PSNR=26.311600484631896 SSIM=0.9303309817844936 UIQM=0.966899543827616 UCIQE=0.6143906302144709
323_img_: PSNR=22.450777089766156 SSIM=0.8412205870436591 UIQM=0.3987502962616042 UCIQE=0.5412157094983534
324_img_: PSNR=26.81063975669069 SSIM=0.9369827927037722 UIQM=0.823270148971121 UCIQE=0.5948967277760798
325_img_: PSNR=23.007289698713073 SSIM=0.8205349141226161 UIQM=0.8586750218273272 UCIQE=0.625350440280978
326_img_: PSNR=25.96601920323973 SSIM=0.9329388803459481 UIQM=0.9476409109904247 UCIQE=0.6535500264275613
327_img_: PSNR=25.04377108239347 SSIM=0.8851725527881098 UIQM=0.24139896252346393 UCIQE=0.6036273545491304
330_img_: PSNR=29.496720871967877 SSIM=0.9253374383692744 UIQM=0.19672366617368053 UCIQE=0.5700987266734637
332_img_: PSNR=24.3617500351832 SSIM=0.8345195029759164 UIQM=0.3604840257256784 UCIQE=0.5695352801791265
334_img_: PSNR=27.409595883854223 SSIM=0.9111588136682203 UIQM=1.294085733645372 UCIQE=0.6819581224312062
336_img_: PSNR=23.37394292461994 SSIM=0.7935639217718453 UIQM=0.9177691934418094 UCIQE=0.6390222011752325
