100001_out.png: uiqm=0.4039517837286737, uciqe=0.4831808885673087
10091_out.png: uiqm=0.39234893706386453, uciqe=0.5580052209734866
10103_out.png: uiqm=0.873580878212757, uciqe=0.5064819799524665
10167_out.png: uiqm=0.3054799298674288, uciqe=0.5530709188775377
10226_out.png: uiqm=0.22677223773479482, uciqe=0.5231052659582158
102_out.png: uiqm=0.3097737943593658, uciqe=0.5293919178481077
10475_out.png: uiqm=0.5223005348023473, uciqe=0.5029681504842631
10488_out.png: uiqm=0.3848201327892383, uciqe=0.46756030329984744
12191_out.png: uiqm=0.8607499293577051, uciqe=0.4061062885427582
12203_out.png: uiqm=0.9404070439463822, uciqe=0.523764262161222
12228_out.png: uiqm=-0.002550504842209228, uciqe=0.2802474945751775
12565_out.png: uiqm=0.6248799103679656, uciqe=0.3794226884293097
12577_out.png: uiqm=1.0085025897246267, uciqe=0.45752006342869345
12625_out.png: uiqm=0.0065214957160086295, uciqe=0.43037582563806887
12709_out.png: uiqm=-0.18921810641294073, uciqe=0.4688141356941822
12753_out.png: uiqm=-0.02183835384920063, uciqe=0.41376537259353563
12960_out.png: uiqm=0.26373281844999374, uciqe=0.48380116014780344
12972_out.png: uiqm=0.3349737163102461, uciqe=0.5865760938297142
13252_out.png: uiqm=0.002540453754367622, uciqe=0.5449531177667276
13259_out.png: uiqm=0.9499607803195296, uciqe=0.4945078674424996
15603_out.png: uiqm=-0.09044281268229437, uciqe=0.4031294036200088
15735_out.png: uiqm=-0.06970163094141468, uciqe=0.37202707369306437
15738_out.png: uiqm=0.07280310545028124, uciqe=0.47849738820064247
15740_out.png: uiqm=0.36679560050291266, uciqe=0.41098779354631587
15774_out.png: uiqm=0.8486775656490319, uciqe=0.4922716208670704
15775_out.png: uiqm=0.029172329699222302, uciqe=0.39376831882288643
2575_out.png: uiqm=0.6751260748607032, uciqe=0.5507147584917882
2583_out.png: uiqm=0.49091896423897324, uciqe=0.5673041663348759
2856_out.png: uiqm=0.5120778657542788, uciqe=0.5396684718676346
2_out.png: uiqm=1.4359096018797235, uciqe=0.5251129742906089
3027_out.png: uiqm=0.6996891213379156, uciqe=0.5908773124248129
3051_out.png: uiqm=0.33204360129881483, uciqe=0.5550449175097215
3087_out.png: uiqm=0.9394586436267569, uciqe=0.5762869584618994
3175_out.png: uiqm=-0.42608184289211715, uciqe=0.3444770139081764
3201_out.png: uiqm=0.6025109393967756, uciqe=0.5286280544010478
3279_out.png: uiqm=0.47715757277379367, uciqe=0.42903604335256784
3494_out.png: uiqm=0.37118751246712306, uciqe=0.5672039855692551
34_out.png: uiqm=0.5675842607341547, uciqe=0.6395163840317796
3519_out.png: uiqm=0.4287889533053765, uciqe=0.5585714686345256
358_img__out.png: uiqm=0.6574299657410227, uciqe=0.5908607791043374
432_out.png: uiqm=-0.016451318462889247, uciqe=0.4179346090579682
52_out.png: uiqm=0.6643789247403892, uciqe=0.6546778405697579
579_out.png: uiqm=0.2909783825507873, uciqe=0.5386004662192987
5_out.png: uiqm=0.32073181014382407, uciqe=0.5980160440332335
605_out.png: uiqm=0.6442587602253782, uciqe=0.6314134084658436
616_out.png: uiqm=0.6958394696033239, uciqe=0.5778488817138967
627_out.png: uiqm=0.7016915779022661, uciqe=0.5957437633705802
6333_out.png: uiqm=0.3779809269593607, uciqe=0.5121964769528167
6340_out.png: uiqm=0.31561458643732954, uciqe=0.5248856060143638
643_img__out.png: uiqm=0.9929346206156902, uciqe=0.6174827850559963
6527_out.png: uiqm=0.12260111948784375, uciqe=0.48417769068794314
7277_out.png: uiqm=0.713750139017526, uciqe=0.46419841534697615
7291_out.png: uiqm=0.6945433264135406, uciqe=0.5069535513561165
770_out.png: uiqm=0.9383326905824312, uciqe=0.5308365765208605
866_out.png: uiqm=0.6953977767021329, uciqe=0.47626378652264667
880_out.png: uiqm=0.8477317122907938, uciqe=0.5500828263227565
9553_out.png: uiqm=0.5973761562842079, uciqe=0.5004090064523359
9602_out.png: uiqm=0.5702984614846309, uciqe=0.5609918230978846
9607_out.png: uiqm=0.5183201846811498, uciqe=0.47850436224545817
9618_out.png: uiqm=0.5687156743783679, uciqe=0.6083602978033248

Average: uiqm=0.47289700626066783, uciqe=0.5089530353525669

