100001.jpg: uiqm=0.047710110710494136, uciqe=0.47593479280720064
10091.jpg: uiqm=0.8852840123584745, uciqe=0.5741491762532136
10103.jpg: uiqm=0.9458729307729526, uciqe=0.5649284629642687
10167.jpg: uiqm=0.3470346576735017, uciqe=0.5905380320382068
102.jpg: uiqm=0.5173721004834695, uciqe=0.5645545532547569
10226.jpg: uiqm=0.433071500501637, uciqe=0.5568872027810463
10475.jpg: uiqm=0.43858930103785854, uciqe=0.5071796355245252
10488.jpg: uiqm=0.38995663401094804, uciqe=0.5112373916532107
12191.jpg: uiqm=0.6798215271768262, uciqe=0.5188792991060502
12203.jpg: uiqm=0.39673972809097324, uciqe=0.6079113254470776
12228.jpg: uiqm=0.23738147343004345, uciqe=0.39645582301046234
12565.jpg: uiqm=0.5891482011651696, uciqe=0.49327946666015954
12577.jpg: uiqm=0.5407922554745489, uciqe=0.5782929227422394
12625.jpg: uiqm=-0.09144141320091503, uciqe=0.4401067866018794
12709.jpg: uiqm=0.08862732746358581, uciqe=0.5995388947780562
12753.jpg: uiqm=-0.2763615175712175, uciqe=0.4759693211553465
12960.jpg: uiqm=0.3942637763646395, uciqe=0.49827495789901827
12972.jpg: uiqm=0.6605184968041206, uciqe=0.643129014574018
13252.jpg: uiqm=0.18728843440447507, uciqe=0.5762068039020453
13259.jpg: uiqm=0.9238329869486923, uciqe=0.5579466951088375
15603.jpg: uiqm=0.04820488175437232, uciqe=0.48263380747475326
15735.jpg: uiqm=-0.16016961148184844, uciqe=0.43112941446451003
15738.jpg: uiqm=0.02841188802802752, uciqe=0.523034355716439
15740.jpg: uiqm=0.5108052141334696, uciqe=0.5345190195518192
15774.jpg: uiqm=0.7094878594221601, uciqe=0.5380091318474547
15775.jpg: uiqm=0.024503156433408224, uciqe=0.42375068181529524
2.jpg: uiqm=1.1733368004155018, uciqe=0.5735637942140456
2575.jpg: uiqm=0.8060981258908742, uciqe=0.6043336244935238
2583.jpg: uiqm=0.4630378540733425, uciqe=0.6137354254035257
2856.jpg: uiqm=0.40502312698021015, uciqe=0.5893776127898064
3027.jpg: uiqm=1.1912153997314054, uciqe=0.5924273322928214
3051.jpg: uiqm=0.5417582024314819, uciqe=0.5751804920942597
3087.jpg: uiqm=1.4298469955499722, uciqe=0.6034652331801761
3175.jpg: uiqm=-0.2216726265670781, uciqe=0.4305887480551752
3201.jpg: uiqm=0.908492386223475, uciqe=0.5283214531568541
3279.jpg: uiqm=0.6540572682840774, uciqe=0.48621577638592894
34.jpg: uiqm=0.6500586602258024, uciqe=0.6679025740006874
3494.jpg: uiqm=0.11951623501583042, uciqe=0.5840954706822452
3519.jpg: uiqm=0.3410279441718993, uciqe=0.605694608140751
358_img_.jpg: uiqm=0.5128287647731186, uciqe=0.5983849666889045
432.jpg: uiqm=0.13956323893234546, uciqe=0.43111146147269874
5.jpg: uiqm=0.15112844484735177, uciqe=0.5849452178501081
52.jpg: uiqm=0.7901900043054088, uciqe=0.6741504281180821
579.jpg: uiqm=0.6244901171741098, uciqe=0.5607715140557356
605.jpg: uiqm=0.755117739918067, uciqe=0.6244482631618158
616.jpg: uiqm=0.9290751613214152, uciqe=0.6381387214734682
627.jpg: uiqm=0.8762521701103396, uciqe=0.5897075049944215
6333.jpg: uiqm=0.20254711694520422, uciqe=0.5314985005305387
6340.jpg: uiqm=0.536085439959889, uciqe=0.550560831320781
643_img_.jpg: uiqm=0.8811428739771562, uciqe=0.6417524549824742
6527.jpg: uiqm=0.6256717795094909, uciqe=0.4598082505136982
7277.jpg: uiqm=1.0347555102687767, uciqe=0.53364645798357
7291.jpg: uiqm=1.1354241895372041, uciqe=0.5709465844312548
770.jpg: uiqm=0.802857459060445, uciqe=0.5363474834022215
866.jpg: uiqm=0.7630060643017702, uciqe=0.4887043698527558
880.jpg: uiqm=0.9622078693261406, uciqe=0.5548800506391702
9553.jpg: uiqm=0.9722449434103863, uciqe=0.6053536334148486
9602.jpg: uiqm=0.7848341074371352, uciqe=0.5624448994930871
9607.jpg: uiqm=0.9650417323305809, uciqe=0.6043745041256471
9618.jpg: uiqm=0.6820773492855688, uciqe=0.5953243992962189

Average: uiqm=0.5514180726924761, uciqe=0.5509446601970531

