12433.jpg: NIQE=29.32766699674227  with dealing time: 79.76109433174133
149.jpg: NIQE=34.76310560043574  with dealing time: 95.77809762954712
161.jpg: NIQE=35.87399350711218  with dealing time: 88.17848348617554
264574_00031858.jpg: NIQE=35.22178844384527  with dealing time: 75.96406865119934
264734_00038535.jpg: NIQE=37.51212505369565  with dealing time: 71.80934476852417
265119_00013763.jpg: NIQE=41.709349938574775  with dealing time: 75.26454067230225
265130_00031309.jpg: NIQE=34.5737643320547  with dealing time: 82.84471845626831
265344_00029330.jpg: NIQE=39.585768151250086  with dealing time: 75.19205069541931
306_img_.jpg: NIQE=36.18857014075215  with dealing time: 83.79911208152771
332_img_.jpg: NIQE=43.60657213412934  with dealing time: 105.67597675323486
3330.jpg: NIQE=54.14159969771795  with dealing time: 96.78979277610779
36.jpg: NIQE=33.474823414194624  with dealing time: 101.65090799331665
387_img_.jpg: NIQE=32.00768716673988  with dealing time: 91.79211378097534
757_img_.jpg: NIQE=32.7940184150477  with dealing time: 89.80893635749817
819_img_.jpg: NIQE=33.630019974315246  with dealing time: 108.27937412261963
96.jpg: NIQE=37.943176604267784  with dealing time: 97.05870819091797
GI_1.jpg: NIQE=38.06905652130081  with dealing time: 84.65606641769409
GI_16.jpg: NIQE=40.912391707342834  with dealing time: 90.17569613456726
GI_2.jpg: NIQE=55.646027826741786  with dealing time: 91.9958565235138
GI_22.jpg: NIQE=36.18937443880919  with dealing time: 103.28354120254517
GI_29.jpg: NIQE=73.43755495645534  with dealing time: 82.44413995742798
GI_33.jpg: NIQE=37.84979614645483  with dealing time: 92.03279089927673
GI_35.jpg: NIQE=35.362681692072414  with dealing time: 94.78852367401123
GI_43.jpg: NIQE=39.52206925606124  with dealing time: 93.63530802726746
GI_7.jpg: NIQE=36.739837037681276  with dealing time: 86.24893546104431
GI_78.jpg: NIQE=31.598732210874825  with dealing time: 90.62742280960083
GI_8.jpg: NIQE=33.60050903301335  with dealing time: 82.66281795501709
GI_95.jpg: NIQE=32.711134732023055  with dealing time: 87.67045259475708
gmn_5017up.jpg: NIQE=30.277205535578496  with dealing time: 90.06288242340088
gmn_5029up.jpg: NIQE=37.94301740440353  with dealing time: 87.91500401496887
gmn_5148up.jpg: NIQE=48.33622876249815  with dealing time: 92.36311793327332
gmn_5183up.jpg: NIQE=34.066061092006876  with dealing time: 88.25584840774536
gmn_5185up.jpg: NIQE=33.31594129243794  with dealing time: 93.01920866966248
gmn_5228up.jpg: NIQE=31.690477192581408  with dealing time: 86.79277801513672
gmn_7856up.jpg: NIQE=35.03963736297877  with dealing time: 82.88943862915039
gmn_7919up.jpg: NIQE=34.93169736822827  with dealing time: 88.0085997581482
im_f1582_.jpg: NIQE=34.56666759651746  with dealing time: 88.81564664840698
im_f2253_.jpg: NIQE=49.33122981490109  with dealing time: 85.26143622398376
n01496331_1010.jpg: NIQE=45.581016452326026  with dealing time: 86.84482598304749
n01496331_2044.jpg: NIQE=45.744222137595706  with dealing time: 84.7211103439331
n01914609_1112.jpg: NIQE=44.82286268545745  with dealing time: 87.8768413066864
n01914609_11380.jpg: NIQE=29.741992553584065  with dealing time: 89.9828519821167
n01914609_13222.jpg: NIQE=32.01041665532923  with dealing time: 90.20659184455872
n01914609_13909.jpg: NIQE=36.0483011025913  with dealing time: 88.03148341178894
n01914609_1437.jpg: NIQE=53.73104481358254  with dealing time: 84.69421529769897
n01914609_1980.jpg: NIQE=48.217388752035426  with dealing time: 91.1952555179596
n01914609_2054.jpg: NIQE=49.413566019342994  with dealing time: 89.76012802124023
n01914609_7919.jpg: NIQE=47.13352114653104  with dealing time: 89.32879424095154
n02607072_2382.jpg: NIQE=51.51806146330133  with dealing time: 93.38567018508911
n02607072_5845.jpg: NIQE=35.91637933316159  with dealing time: 95.51061987876892
n02607072_931.jpg: NIQE=46.65292824756914  with dealing time: 93.16183090209961
NF_1.jpg: NIQE=44.58085235322371  with dealing time: 92.3377149105072
NF_10.jpg: NIQE=55.31480863262525  with dealing time: 96.99405360221863
NF_100.jpg: NIQE=37.50425381967401  with dealing time: 87.2472755908966
NF_110.jpg: NIQE=38.6362306335986  with dealing time: 96.56171917915344
NF_116.jpg: NIQE=40.919629229820366  with dealing time: 90.89025902748108
NF_123.jpg: NIQE=33.8928761976637  with dealing time: 94.99764251708984
NF_124.jpg: NIQE=35.34636690083164  with dealing time: 93.6591112613678
NF_13.jpg: NIQE=51.55893905378314  with dealing time: 85.49869227409363
NF_14.jpg: NIQE=51.512866292446404  with dealing time: 91.4529402256012
NF_141.jpg: NIQE=36.363146647937214  with dealing time: 88.08959126472473
NF_147.jpg: NIQE=33.791037072578845  with dealing time: 93.44966435432434
NF_148.jpg: NIQE=39.02941194764391  with dealing time: 94.83962345123291
NF_166.jpg: NIQE=41.801097210416295  with dealing time: 88.09599375724792
NF_171.jpg: NIQE=36.018757315920624  with dealing time: 92.32131958007812
NF_172.jpg: NIQE=34.177950463243036  with dealing time: 93.36227631568909
NF_174.jpg: NIQE=35.256327376565174  with dealing time: 92.60141110420227
NF_177.jpg: NIQE=39.48904395135426  with dealing time: 106.1886146068573
NF_194.jpg: NIQE=64.97026008610504  with dealing time: 98.81732487678528
NF_195.jpg: NIQE=38.120907858090554  with dealing time: 93.55598545074463
NF_2.jpg: NIQE=53.40149907025747  with dealing time: 97.27291965484619
NF_201.jpg: NIQE=39.54501910151673  with dealing time: 96.74486804008484
NF_209.jpg: NIQE=35.970108886068545  with dealing time: 89.93663358688354
NF_213.jpg: NIQE=37.03220792805286  with dealing time: 87.84726691246033
NF_215.jpg: NIQE=38.261030961155775  with dealing time: 88.89081764221191
NF_218.jpg: NIQE=41.004955662898396  with dealing time: 92.5061285495758
NF_231.jpg: NIQE=32.34282210072963  with dealing time: 96.76554250717163
NF_241.jpg: NIQE=32.233885839935354  with dealing time: 92.01494860649109
