1.jpg: NIQE=37.100480774675226  with dealing time: 50.303324937820435
10.jpg: NIQE=32.75268733617334  with dealing time: 62.677066802978516
100.jpg: NIQE=37.42320043062216  with dealing time: 62.88296556472778
101.jpg: NIQE=31.25036506948022  with dealing time: 60.65831995010376
102.jpg: NIQE=34.99609582637972  with dealing time: 68.57646059989929
103.jpg: NIQE=35.50905642684451  with dealing time: 62.1598436832428
104.jpg: NIQE=33.38019108185142  with dealing time: 58.185779094696045
105.jpg: NIQE=38.892697822421724  with dealing time: 61.01952934265137
106.jpg: NIQE=38.94333476361283  with dealing time: 62.85046744346619
107.jpg: NIQE=34.717160558150866  with dealing time: 66.95020246505737
108.jpg: NIQE=35.936002678582284  with dealing time: 62.23109483718872
109.jpg: NIQE=36.460288476107074  with dealing time: 70.56426811218262
11.jpg: NIQE=32.89706227347386  with dealing time: 71.36352562904358
110.jpg: NIQE=43.39981022475401  with dealing time: 84.09121298789978
111.jpg: NIQE=41.27310597423069  with dealing time: 77.2776460647583
112.jpg: NIQE=38.274132252037866  with dealing time: 63.72447347640991
113.jpg: NIQE=34.421018569220806  with dealing time: 60.14443063735962
114.jpg: NIQE=42.587133779371214  with dealing time: 57.68528604507446
115.jpg: NIQE=41.56600300960438  with dealing time: 62.704569816589355
116.jpg: NIQE=32.358632938700495  with dealing time: 84.36981773376465
117.jpg: NIQE=35.19749996650532  with dealing time: 93.16012597084045
118.jpg: NIQE=34.84644618783077  with dealing time: 82.14920353889465
119.jpg: NIQE=35.92565665129556  with dealing time: 81.24274635314941
12.jpg: NIQE=33.010131752266396  with dealing time: 81.91056680679321
120.jpg: NIQE=34.16210354341655  with dealing time: 84.44826936721802
121.jpg: NIQE=34.73785807374793  with dealing time: 84.23843312263489
122.jpg: NIQE=31.876976152557997  with dealing time: 83.2783215045929
123.jpg: NIQE=32.8129313410076  with dealing time: 94.4787986278534
124.jpg: NIQE=35.44451152871544  with dealing time: 108.13173031806946
125.jpg: NIQE=33.926102932897734  with dealing time: 95.17665934562683
126.jpg: NIQE=32.561581679408775  with dealing time: 107.54259824752808
127.jpg: NIQE=34.154705280033845  with dealing time: 99.43301248550415
128.jpg: NIQE=37.14473595933141  with dealing time: 102.16211175918579
129.jpg: NIQE=35.5657088279601  with dealing time: 104.92252564430237
13.jpg: NIQE=33.600163999140605  with dealing time: 104.55185270309448
130.jpg: NIQE=34.44645146976083  with dealing time: 91.63400530815125
131.jpg: NIQE=36.013226232133306  with dealing time: 103.27447891235352
132.jpg: NIQE=34.04030133574974  with dealing time: 102.53320717811584
133.jpg: NIQE=34.79020540168129  with dealing time: 92.74099349975586
134.jpg: NIQE=31.83995430262986  with dealing time: 97.79054856300354
135.jpg: NIQE=31.596554513179367  with dealing time: 95.08137941360474
136.jpg: NIQE=34.44215819556072  with dealing time: 92.86546921730042
137.jpg: NIQE=33.01291231043105  with dealing time: 93.53831434249878
138.jpg: NIQE=42.206393379062696  with dealing time: 96.64854907989502
139.jpg: NIQE=35.987876682604025  with dealing time: 97.89470100402832
14.jpg: NIQE=32.60066412472075  with dealing time: 98.17123937606812
140.jpg: NIQE=39.26758078446132  with dealing time: 95.5643675327301
141.jpg: NIQE=35.872161177003086  with dealing time: 90.27038264274597
142.jpg: NIQE=35.557284773565186  with dealing time: 93.84924173355103
143.jpg: NIQE=43.29777045254017  with dealing time: 94.02259874343872
144.jpg: NIQE=43.86988634829255  with dealing time: 93.42110633850098
145.jpg: NIQE=43.75206432249724  with dealing time: 94.57765769958496
146.jpg: NIQE=36.309796596450184  with dealing time: 94.94983720779419
147.jpg: NIQE=34.53386853426144  with dealing time: 92.68252205848694
148.jpg: NIQE=43.51747716923398  with dealing time: 90.44385576248169
149.jpg: NIQE=34.63518728717418  with dealing time: 96.22504687309265
15.jpg: NIQE=34.7732409053555  with dealing time: 100.68963384628296
150.jpg: NIQE=41.00811920833463  with dealing time: 94.62355661392212
151.jpg: NIQE=39.43986812205158  with dealing time: 89.30728030204773
152.jpg: NIQE=42.84076416961161  with dealing time: 95.52217626571655
153.jpg: NIQE=35.72502535321394  with dealing time: 91.48834443092346
154.jpg: NIQE=40.16547923264848  with dealing time: 91.4117705821991
155.jpg: NIQE=52.97053272641199  with dealing time: 94.32589936256409
156.jpg: NIQE=32.500505843998155  with dealing time: 93.97590780258179
157.jpg: NIQE=39.594932171021696  with dealing time: 94.66618824005127
158.jpg: NIQE=41.24072299757211  with dealing time: 96.18415021896362
159.jpg: NIQE=44.689699254502386  with dealing time: 99.81146669387817
16.jpg: NIQE=37.705420285287055  with dealing time: 93.29559063911438
160.jpg: NIQE=35.14911657329805  with dealing time: 95.8248701095581
161.jpg: NIQE=35.87399350711218  with dealing time: 98.92432713508606
162.jpg: NIQE=33.793191131257636  with dealing time: 98.38483214378357
163.jpg: NIQE=34.93674432920375  with dealing time: 95.30401301383972
164.jpg: NIQE=34.397501780768074  with dealing time: 99.46534729003906
165.jpg: NIQE=31.985825447909033  with dealing time: 98.16916418075562
166.jpg: NIQE=33.31415345623256  with dealing time: 93.58554911613464
167.jpg: NIQE=35.396637982499946  with dealing time: 100.17047548294067
168.jpg: NIQE=35.214762938612985  with dealing time: 97.48721098899841
169.jpg: NIQE=32.92178723505864  with dealing time: 100.10231590270996
17.jpg: NIQE=34.98534996821443  with dealing time: 92.12396287918091
170.jpg: NIQE=34.24958254566975  with dealing time: 99.38076162338257
171.jpg: NIQE=32.603833120832775  with dealing time: 100.25469207763672
172.jpg: NIQE=33.63486798419635  with dealing time: 93.53471684455872
173.jpg: NIQE=33.9211512314115  with dealing time: 102.72028541564941
174.jpg: NIQE=33.54929465960511  with dealing time: 102.45187544822693
175.jpg: NIQE=34.11040689876172  with dealing time: 98.02898263931274
176.jpg: NIQE=38.72608161097239  with dealing time: 92.74198603630066
177.jpg: NIQE=34.48943124593953  with dealing time: 98.47283792495728
178.jpg: NIQE=29.61009564057001  with dealing time: 97.81909275054932
179.jpg: NIQE=39.487376157943174  with dealing time: 90.99946594238281
18.jpg: NIQE=35.843716100489786  with dealing time: 91.63187742233276
180.jpg: NIQE=30.647937913664773  with dealing time: 98.5061240196228
181.jpg: NIQE=32.19497806050438  with dealing time: 93.79277539253235
182.jpg: NIQE=33.30701799606534  with dealing time: 92.54354882240295
183.jpg: NIQE=37.4770887350455  with dealing time: 95.17824602127075
19.jpg: NIQE=36.16273398536857  with dealing time: 91.66933941841125
2.jpg: NIQE=37.82244809048533  with dealing time: 92.7494306564331
20.jpg: NIQE=34.94035288732552  with dealing time: 92.80112266540527
21.jpg: NIQE=35.04800886637282  with dealing time: 84.83641409873962
22.jpg: NIQE=38.53618602430179  with dealing time: 85.75448226928711
23.jpg: NIQE=38.687046319794185  with dealing time: 82.70970129966736
24.jpg: NIQE=35.30038344556458  with dealing time: 86.46762418746948
25.jpg: NIQE=39.2564527430348  with dealing time: 84.52492237091064
26.jpg: NIQE=39.267549034053495  with dealing time: 88.15666174888611
27.jpg: NIQE=39.81429730851699  with dealing time: 93.18636798858643
28.jpg: NIQE=36.92376483609577  with dealing time: 88.01692986488342
29.jpg: NIQE=40.66927986486107  with dealing time: 85.95006084442139
3.jpg: NIQE=38.88791346338545  with dealing time: 86.81371855735779
30.jpg: NIQE=46.76023632582285  with dealing time: 86.62826371192932
31.jpg: NIQE=40.91563054921989  with dealing time: 82.76317238807678
32.jpg: NIQE=46.53940904636233  with dealing time: 87.83836007118225
33.jpg: NIQE=29.83361437177271  with dealing time: 85.15759181976318
34.jpg: NIQE=30.56379861235527  with dealing time: 83.46238780021667
35.jpg: NIQE=39.96485691007365  with dealing time: 81.25137591362
36.jpg: NIQE=32.43022998102247  with dealing time: 81.64579701423645
37.jpg: NIQE=31.238679750240888  with dealing time: 83.62297177314758
38.jpg: NIQE=31.65207673342141  with dealing time: 84.22670364379883
39.jpg: NIQE=33.5225926034089  with dealing time: 86.92067861557007
4.jpg: NIQE=34.25382749640002  with dealing time: 84.60297846794128
40.jpg: NIQE=31.948508207320348  with dealing time: 82.68390893936157
41.jpg: NIQE=33.339281549450014  with dealing time: 82.74180912971497
42.jpg: NIQE=35.485094268752135  with dealing time: 84.51360869407654
43.jpg: NIQE=32.92702259018029  with dealing time: 87.80506038665771
44.jpg: NIQE=34.2643813857331  with dealing time: 84.50273203849792
45.jpg: NIQE=33.305862931656364  with dealing time: 83.71892523765564
46.jpg: NIQE=32.151152529215956  with dealing time: 82.03424596786499
47.jpg: NIQE=32.2427223173766  with dealing time: 66.0040967464447
48.jpg: NIQE=41.55893083252743  with dealing time: 64.9910626411438
49.jpg: NIQE=45.96894661976942  with dealing time: 64.53987288475037
5.jpg: NIQE=37.34254725646998  with dealing time: 61.992289304733276
50.jpg: NIQE=36.628922807173474  with dealing time: 62.93256092071533
51.jpg: NIQE=38.54741225823416  with dealing time: 59.47803449630737
52.jpg: NIQE=34.271653986126026  with dealing time: 61.83553957939148
53.jpg: NIQE=38.95475291065688  with dealing time: 59.64585089683533
54.jpg: NIQE=31.57807581824733  with dealing time: 62.139568567276
55.jpg: NIQE=34.18938803327491  with dealing time: 62.09657073020935
56.jpg: NIQE=33.92353717170115  with dealing time: 61.949806690216064
57.jpg: NIQE=34.42660818188166  with dealing time: 61.81521940231323
58.jpg: NIQE=35.139788000635015  with dealing time: 58.881855487823486
59.jpg: NIQE=33.13777892471646  with dealing time: 61.68128991127014
6.jpg: NIQE=35.81383404189584  with dealing time: 59.58583045005798
60.jpg: NIQE=31.381934520766162  with dealing time: 71.29034376144409
61.jpg: NIQE=31.75294971932135  with dealing time: 81.8146104812622
62.jpg: NIQE=32.00804418948333  with dealing time: 70.46717381477356
63.jpg: NIQE=39.84881274454979  with dealing time: 68.56751370429993
64.jpg: NIQE=37.32552208316624  with dealing time: 70.20029377937317
65.jpg: NIQE=33.893307472528996  with dealing time: 68.39545106887817
66.jpg: NIQE=31.317174289926783  with dealing time: 70.81811332702637
67.jpg: NIQE=38.673809346891865  with dealing time: 65.4182825088501
68.jpg: NIQE=31.312676489468267  with dealing time: 66.94383764266968
69.jpg: NIQE=32.62073495203888  with dealing time: 88.30626320838928
7.jpg: NIQE=35.10189325559082  with dealing time: 81.7189028263092
70.jpg: NIQE=34.008318630540145  with dealing time: 92.99893927574158
71.jpg: NIQE=34.93672075154002  with dealing time: 79.90677261352539
72.jpg: NIQE=34.32564147714591  with dealing time: 80.1098883152008
73.jpg: NIQE=34.14341982722701  with dealing time: 79.22634863853455
74.jpg: NIQE=32.06987144410182  with dealing time: 79.26068687438965
75.jpg: NIQE=33.89921109871191  with dealing time: 82.02054738998413
76.jpg: NIQE=34.748963795790395  with dealing time: 81.88035154342651
77.jpg: NIQE=30.23842053031362  with dealing time: 80.74589586257935
78.jpg: NIQE=30.60278672801537  with dealing time: 81.39409613609314
79.jpg: NIQE=30.277105767789067  with dealing time: 81.92645192146301
8.jpg: NIQE=35.66747875531046  with dealing time: 83.09015107154846
80.jpg: NIQE=32.207276379821636  with dealing time: 89.18955039978027
81.jpg: NIQE=26.77343318305262  with dealing time: 84.4937493801117
82.jpg: NIQE=29.70768782105996  with dealing time: 81.1296763420105
83.jpg: NIQE=32.488507943400286  with dealing time: 80.11673521995544
84.jpg: NIQE=32.631058941942534  with dealing time: 79.80148220062256
85.jpg: NIQE=32.39092199207243  with dealing time: 80.0721263885498
86.jpg: NIQE=33.20329387612881  with dealing time: 81.29613161087036
87.jpg: NIQE=37.51497140734299  with dealing time: 78.60291647911072
88.jpg: NIQE=32.06561045682407  with dealing time: 81.82460522651672
89.jpg: NIQE=32.335940832534014  with dealing time: 79.60658001899719
9.jpg: NIQE=32.735782475137356  with dealing time: 82.20492386817932
90.jpg: NIQE=32.26982810213898  with dealing time: 76.8027241230011
91.jpg: NIQE=31.141527554722273  with dealing time: 76.11916542053223
92.jpg: NIQE=33.91754185461822  with dealing time: 79.69048237800598
93.jpg: NIQE=32.79175452599101  with dealing time: 78.15327644348145
94.jpg: NIQE=34.960662998501874  with dealing time: 87.49775886535645
95.jpg: NIQE=35.51539704344109  with dealing time: 83.01650714874268
96.jpg: NIQE=37.49421856863629  with dealing time: 81.3905861377716
97.jpg: NIQE=40.305211610601944  with dealing time: 75.26588582992554
98.jpg: NIQE=35.018322532620104  with dealing time: 75.30212616920471
99.jpg: NIQE=33.42348892962959  with dealing time: 70.28902649879456

183 Image Average: NIQE=35.53200214661172, TimePerImage=83.85804247725856, SumTime = 15346.021773338318s

