104_img_: PSNR=27.16180086974555 SSIM=0.9348996802799882 UIQM=0.4617080559826281 UCIQE=0.6303151566272129
10_img_: PSNR=14.988773127995676 SSIM=0.3110562527024413 UIQM=0.3463856627398795 UCIQE=0.6706566718757203
111_img_: PSNR=27.80204964993643 SSIM=0.9539906567114238 UIQM=0.1420631597029206 UCIQE=0.6525755681064853
112_img_: PSNR=23.039755139275456 SSIM=0.8380217116597978 UIQM=0.598462702038921 UCIQE=0.6239043557089761
11_img_: PSNR=17.325772440105037 SSIM=0.7306418085321368 UIQM=0.7888696109740188 UCIQE=0.6737322313473006
13_img_: PSNR=20.404231883167995 SSIM=0.8473861104024197 UIQM=0.7291893502884859 UCIQE=0.6460871038177782
14_img_: PSNR=27.04394839219736 SSIM=0.9074760333201363 UIQM=0.747789181584243 UCIQE=0.6649547628067654
15003: PSNR=24.012329439000236 SSIM=0.8684249881860822 UIQM=-0.0883049212381242 UCIQE=0.4595627791908089
150_img_: PSNR=25.994032705101823 SSIM=0.9052363150745226 UIQM=0.6643321053275962 UCIQE=0.6146859001349605
15544: PSNR=23.341645098533945 SSIM=0.8401538178938012 UIQM=0.3418301295969015 UCIQE=0.5390619636290341
15_img_: PSNR=18.142258534210725 SSIM=0.7060930133801879 UIQM=1.1025262965140028 UCIQE=0.6908736061070049
169_img_: PSNR=18.877644619955806 SSIM=0.5655859355918178 UIQM=1.1603876348090496 UCIQE=0.5797155194667571
16_img_: PSNR=21.57763063841276 SSIM=0.7222612712268076 UIQM=0.9344261868262226 UCIQE=0.6018432171830235
17_img_: PSNR=21.187450957293276 SSIM=0.8231751428100964 UIQM=1.2360212238281432 UCIQE=0.6450558396086699
18_img_: PSNR=18.87776347287226 SSIM=0.4540634660189416 UIQM=0.7447222487981688 UCIQE=0.5427516812201085
19_img_: PSNR=18.623131841763612 SSIM=0.6826582407496065 UIQM=1.0480312701994363 UCIQE=0.6405030468164037
20: PSNR=21.663729820010552 SSIM=0.7791421425720871 UIQM=1.0884971013484992 UCIQE=0.6302422522308978
22_img_: PSNR=22.764960570496072 SSIM=0.8968763320383006 UIQM=0.7685623637343284 UCIQE=0.6422772472367358
23_img_: PSNR=23.042116409472044 SSIM=0.8388978775171237 UIQM=0.9436861970103309 UCIQE=0.6309010194391006
24_img_: PSNR=22.07815657288962 SSIM=0.8930316755275856 UIQM=0.8322885912531995 UCIQE=0.6224174495241623
282_img_: PSNR=19.779786439352698 SSIM=0.7174071501013711 UIQM=1.1311699487035087 UCIQE=0.6369582163596161
284_img_: PSNR=29.941891912095553 SSIM=0.9250765126544643 UIQM=1.0116537801376502 UCIQE=0.6644991105854988
288_img_: PSNR=25.701860627699766 SSIM=0.8840795175690811 UIQM=0.8486238047227206 UCIQE=0.589293267941644
290_img_: PSNR=23.204854322388684 SSIM=0.8510694913927274 UIQM=0.7965922468424654 UCIQE=0.5862894276064613
292_img_: PSNR=25.023374030887933 SSIM=0.86306911059608 UIQM=0.7301206701051856 UCIQE=0.6457337010771984
