1.jpg: NIQE=34.664552370984296  with dealing time: 60.63791847229004
10.jpg: NIQE=32.142134783088906  with dealing time: 63.91432452201843
100.jpg: NIQE=35.31296093259746  with dealing time: 60.629138708114624
101.jpg: NIQE=30.147388386528206  with dealing time: 66.57922744750977
102.jpg: NIQE=33.11343893743206  with dealing time: 64.43983817100525
103.jpg: NIQE=33.906799437938915  with dealing time: 59.04453682899475
104.jpg: NIQE=31.250623556252812  with dealing time: 60.82202458381653
105.jpg: NIQE=36.734897436762594  with dealing time: 63.78652381896973
106.jpg: NIQE=37.63148977006176  with dealing time: 70.32020974159241
107.jpg: NIQE=32.938403941098336  with dealing time: 62.223103523254395
108.jpg: NIQE=33.7406157601602  with dealing time: 70.0908522605896
109.jpg: NIQE=34.72019987720752  with dealing time: 70.08552670478821
11.jpg: NIQE=31.652310294810224  with dealing time: 85.3129415512085
110.jpg: NIQE=42.074406447682335  with dealing time: 77.5274772644043
111.jpg: NIQE=40.00265421186558  with dealing time: 64.50559258460999
112.jpg: NIQE=36.97579678983662  with dealing time: 60.7809317111969
113.jpg: NIQE=32.48673194026629  with dealing time: 57.785319089889526
114.jpg: NIQE=39.824701398705635  with dealing time: 63.07459282875061
115.jpg: NIQE=40.70589962749529  with dealing time: 87.2750072479248
116.jpg: NIQE=31.831619905147242  with dealing time: 93.35521841049194
117.jpg: NIQE=34.13874731308074  with dealing time: 84.03613042831421
118.jpg: NIQE=33.91192689004035  with dealing time: 79.26199841499329
119.jpg: NIQE=34.72670022534968  with dealing time: 81.50887179374695
12.jpg: NIQE=31.828378244400987  with dealing time: 85.7131576538086
120.jpg: NIQE=33.03720727092828  with dealing time: 84.01186752319336
121.jpg: NIQE=31.55352294378373  with dealing time: 83.6738588809967
122.jpg: NIQE=31.172975128031478  with dealing time: 94.95194935798645
123.jpg: NIQE=31.60819426481711  with dealing time: 106.67410516738892
124.jpg: NIQE=34.80579207464527  with dealing time: 97.50856232643127
125.jpg: NIQE=32.346591263669275  with dealing time: 105.71518969535828
126.jpg: NIQE=31.5799766749512  with dealing time: 100.39088869094849
127.jpg: NIQE=32.57706560394731  with dealing time: 104.70903325080872
128.jpg: NIQE=35.95178299464312  with dealing time: 102.10122489929199
129.jpg: NIQE=34.339959873916264  with dealing time: 99.39331459999084
13.jpg: NIQE=33.773614250041796  with dealing time: 97.20266127586365
130.jpg: NIQE=34.209927629973386  with dealing time: 106.21449089050293
131.jpg: NIQE=34.81097983355822  with dealing time: 100.49938249588013
132.jpg: NIQE=32.304535952791866  with dealing time: 84.96836876869202
133.jpg: NIQE=33.889645344159376  with dealing time: 103.0476381778717
134.jpg: NIQE=31.249527163598202  with dealing time: 95.28849673271179
