104_img_: PSNR=26.25680976332881 SSIM=0.9334286399000282 UIQM=0.3951119517489937 UCIQE=0.5646484633112192
10_img_: PSNR=13.538404683595704 SSIM=0.1622265923209523 UIQM=0.3300550808784981 UCIQE=0.6233305942630611
111_img_: PSNR=26.102049624466485 SSIM=0.9139367380947804 UIQM=0.18177712930937906 UCIQE=0.5171985508481737
112_img_: PSNR=22.862067577693402 SSIM=0.9067676764560864 UIQM=0.8219727921426768 UCIQE=0.5856529314925233
11_img_: PSNR=15.786449779025094 SSIM=0.6806424338377577 UIQM=0.9481883371276343 UCIQE=0.6033129181755781
13_img_: PSNR=21.894993413824167 SSIM=0.9070773203176313 UIQM=0.6789219449130925 UCIQE=0.6097653170288968
14_img_: PSNR=24.22586016406531 SSIM=0.8988285165328918 UIQM=0.9857798148590294 UCIQE=0.6368716740454772
15003: PSNR=15.215388050648498 SSIM=-0.10150067421378467 UIQM=0.4473670029821393 UCIQE=0.5279943051924854
150_img_: PSNR=24.625682774786412 SSIM=0.8013824010041328 UIQM=0.8246290998030708 UCIQE=0.5927593994576114
15544: PSNR=26.369201884780015 SSIM=0.9378376172096985 UIQM=0.19568395449459042 UCIQE=0.5094810228028255
15_img_: PSNR=20.111570348306962 SSIM=0.879333398371195 UIQM=1.1011117781088435 UCIQE=0.6196409234802148
169_img_: PSNR=23.67544030277908 SSIM=0.849346119853695 UIQM=1.5123145441394255 UCIQE=0.5574239238516066
16_img_: PSNR=18.617362499059723 SSIM=0.6071724862417565 UIQM=0.819733184467303 UCIQE=0.5309649136086948
17_img_: PSNR=22.22839028146324 SSIM=0.801168920132232 UIQM=1.1070539366038377 UCIQE=0.6100633362676625
18_img_: PSNR=19.508858372783976 SSIM=0.6947009082501334 UIQM=0.8008277660610441 UCIQE=0.5081310705993727
19_img_: PSNR=19.95601945345833 SSIM=0.756093651842036 UIQM=1.0687872879901834 UCIQE=0.6139059441826988
20: PSNR=19.70879023301083 SSIM=0.7330037579435574 UIQM=1.1759172505146664 UCIQE=0.5844785294109622
22_img_: PSNR=21.659812123444716 SSIM=0.9239507948590691 UIQM=0.8113510754358383 UCIQE=0.590186745244048
23_img_: PSNR=22.64007298331244 SSIM=0.9036494949086309 UIQM=0.9980477381103988 UCIQE=0.5877741221817327
24_img_: PSNR=21.33744375883665 SSIM=0.9243503866863493 UIQM=0.6948746882786088 UCIQE=0.5918900346787295
282_img_: PSNR=21.106171474244814 SSIM=0.7355730457089753 UIQM=1.04840795546632 UCIQE=0.6145935968591335
284_img_: PSNR=23.50849931659544 SSIM=0.7631106308116202 UIQM=0.7213547074240704 UCIQE=0.6182937643250644
288_img_: PSNR=25.392611395244195 SSIM=0.921106727396817 UIQM=0.9632940181576941 UCIQE=0.5669625119372403
290_img_: PSNR=23.074965296034435 SSIM=0.9186255892559867 UIQM=0.6532967706947835 UCIQE=0.5394700139908055
292_img_: PSNR=25.494810091162524 SSIM=0.9269497616574784 UIQM=0.6731830784221289 UCIQE=0.613913465811186
293_img_: PSNR=22.099337297405206 SSIM=0.8975456453281779 UIQM=1.1225155231999577 UCIQE=0.6010718761322348
294_img_: PSNR=23.812107505560228 SSIM=0.8632362095335924 UIQM=0.5719067144699459 UCIQE=0.508061708652868
295_img_: PSNR=25.303537088795537 SSIM=0.8628192485159567 UIQM=0.9478874858246011 UCIQE=0.661758805169901
299_img_: PSNR=15.106844044797644 SSIM=0.6439191465846725 UIQM=0.2812240962653636 UCIQE=0.558360582583166
