100001.png: NIQE=57.05559721936904  with dealing time: 77.76669478416443
10091.png: NIQE=36.18355454408522  with dealing time: 69.06902503967285
10103.png: NIQE=41.10784929368528  with dealing time: 73.3699541091919
10167.png: NIQE=35.003825926856486  with dealing time: 72.12577390670776
102.png: NIQE=38.4840679315076  with dealing time: 74.74145007133484
10226.png: NIQE=44.042154458408  with dealing time: 79.1367392539978
10475.png: NIQE=51.01003782233124  with dealing time: 70.7354781627655
10488.png: NIQE=49.385051763089294  with dealing time: 69.51442646980286
12191.png: NIQE=33.61425236177585  with dealing time: 71.06343674659729
12203.png: NIQE=33.07815630160983  with dealing time: 72.51699876785278
12228.png: NIQE=42.887759544469034  with dealing time: 64.53065299987793
12565.png: NIQE=34.18501315887725  with dealing time: 70.81587743759155
12577.png: NIQE=34.34047146556357  with dealing time: 74.43959474563599
12625.png: NIQE=44.21571800406287  with dealing time: 79.69394755363464
12709.png: NIQE=35.80103945513921  with dealing time: 67.8719573020935
12753.png: NIQE=42.87708479013295  with dealing time: 68.04026937484741
12960.png: NIQE=64.50978600020781  with dealing time: 73.4114944934845
12972.png: NIQE=48.80015258591507  with dealing time: 75.26420593261719
13252.png: NIQE=48.615877293544095  with dealing time: 74.17895936965942
13259.png: NIQE=36.29942575894706  with dealing time: 68.89054417610168
15603.png: NIQE=39.44315168347287  with dealing time: 74.61205267906189
15735.png: NIQE=41.31402105152242  with dealing time: 69.19369745254517
15738.png: NIQE=36.59549168820984  with dealing time: 101.94982075691223
15740.png: NIQE=61.50100341195089  with dealing time: 88.83232092857361
15774.png: NIQE=54.193211691129676  with dealing time: 80.82484340667725
15775.png: NIQE=59.89476324036873  with dealing time: 85.28016591072083
2.png: NIQE=40.1504170297873  with dealing time: 80.21526169776917
2575.png: NIQE=35.58201469777627  with dealing time: 80.4649920463562
2583.png: NIQE=40.07348468114004  with dealing time: 79.05913829803467
2856.png: NIQE=37.10235163861473  with dealing time: 80.15634894371033
3027.png: NIQE=30.800198975050154  with dealing time: 76.29924058914185
3051.png: NIQE=29.994131665319827  with dealing time: 80.26813125610352
3087.png: NIQE=30.712510457761784  with dealing time: 77.43046832084656
3175.png: NIQE=51.90979985485858  with dealing time: 85.85076642036438
3201.png: NIQE=34.10651246550355  with dealing time: 86.36475133895874
3279.png: NIQE=38.88591309126051  with dealing time: 82.32609367370605
34.png: NIQE=33.54724875447754  with dealing time: 75.17895317077637
3494.png: NIQE=40.53569172920996  with dealing time: 74.87118935585022
3519.png: NIQE=37.18662891182124  with dealing time: 78.31000661849976
358_img_.png: NIQE=44.405008623560306  with dealing time: 77.38821005821228
432.png: NIQE=63.37038718654595  with dealing time: 78.58509564399719
5.png: NIQE=43.70016717977459  with dealing time: 80.22281908988953
52.png: NIQE=31.74063170668783  with dealing time: 75.4032666683197
579.png: NIQE=35.75841763764142  with dealing time: 76.77689290046692
605.png: NIQE=33.210945307944314  with dealing time: 71.18679070472717
616.png: NIQE=31.879854544978883  with dealing time: 65.87279438972473
627.png: NIQE=29.42756459647643  with dealing time: 69.88757085800171
6333.png: NIQE=82.00292153893034  with dealing time: 70.22029376029968
6340.png: NIQE=55.69729821320011  with dealing time: 69.26409244537354
643_img_.png: NIQE=29.51498122807873  with dealing time: 67.70414090156555
6527.png: NIQE=52.71049734637516  with dealing time: 68.46829915046692
7277.png: NIQE=32.672168499228306  with dealing time: 63.850646018981934
7291.png: NIQE=37.45385881126112  with dealing time: 65.13153195381165
770.png: NIQE=30.727268098961957  with dealing time: 66.87766098976135
866.png: NIQE=38.537149654939945  with dealing time: 67.16374135017395
880.png: NIQE=40.75601449223747  with dealing time: 68.5404760837555
9553.png: NIQE=42.62045470758397  with dealing time: 68.23498940467834
9602.png: NIQE=36.354972676764305  with dealing time: 67.80302929878235
9607.png: NIQE=31.917028216339997  with dealing time: 67.20243120193481
9618.png: NIQE=36.77557888349021  with dealing time: 64.46754741668701

60 Image Average: NIQE=41.4376431924969, TimePerImage=74.24863406419755, SumTime = 4454.918043851852s

