100001.png: uiqm=0.481258101090109, uciqe=0.5105732581707447
10091.png: uiqm=0.9510904961490709, uciqe=0.5631924133364016
10103.png: uiqm=0.8523438111378089, uciqe=0.5602178513191255
10167.png: uiqm=0.08572677410913754, uciqe=0.545732448799741
102.png: uiqm=0.5331739729467709, uciqe=0.5781236588468665
10226.png: uiqm=0.3780811241078412, uciqe=0.5720758282486506
10475.png: uiqm=0.4978215238176744, uciqe=0.5134654412330237
10488.png: uiqm=0.42692272528088815, uciqe=0.48647771116366745
12191.png: uiqm=0.7967594454488223, uciqe=0.46926952517953435
12203.png: uiqm=0.7175991102386227, uciqe=0.4901153900101771
12228.png: uiqm=0.07117764559255135, uciqe=0.4185638553653388
12565.png: uiqm=0.6935119381883551, uciqe=0.464416755646609
12577.png: uiqm=0.9282264516976818, uciqe=0.4798470995133199
12625.png: uiqm=-0.03747037205397663, uciqe=0.4800464256673771
12709.png: uiqm=0.41844446568191274, uciqe=0.4647572969650724
12753.png: uiqm=-0.4051862162901842, uciqe=0.43647397179478653
12960.png: uiqm=0.3680408547212328, uciqe=0.555121272439485
12972.png: uiqm=0.4462812931994363, uciqe=0.6006701362148272
13252.png: uiqm=-0.21646196843433518, uciqe=0.5252466768563381
13259.png: uiqm=0.9121886816085284, uciqe=0.5454615945303414
15603.png: uiqm=0.5446335641742331, uciqe=0.50343479110208
15735.png: uiqm=0.4227881363734427, uciqe=0.4652417486256384
15738.png: uiqm=0.19321786294823584, uciqe=0.48219199024322346
15740.png: uiqm=0.28894538022193117, uciqe=0.52690014674204
15774.png: uiqm=0.7279700275548961, uciqe=0.5216390130812989
15775.png: uiqm=-0.24704980037448737, uciqe=0.4330412475391086
2.png: uiqm=1.0838251628054816, uciqe=0.5432086259448241
2575.png: uiqm=0.798456234611764, uciqe=0.5776056710102704
2583.png: uiqm=0.45183660083597355, uciqe=0.5990348956279254
2856.png: uiqm=0.49561946918061417, uciqe=0.5207403700541915
3027.png: uiqm=1.0966592694611936, uciqe=0.5780081973157284
3051.png: uiqm=0.5072714776228916, uciqe=0.53624515311633
3087.png: uiqm=1.4634864227001818, uciqe=0.5641007107296727
3175.png: uiqm=-0.38285270259381704, uciqe=0.41344591552287785
3201.png: uiqm=0.9986428467055825, uciqe=0.5194479541389948
3279.png: uiqm=0.7001671849228224, uciqe=0.4980812864658679
34.png: uiqm=0.5640756056326912, uciqe=0.6282298088913654
3494.png: uiqm=-0.2896800940013601, uciqe=0.511868612016155
3519.png: uiqm=0.478885300307873, uciqe=0.5441777399456744
358_img_.png: uiqm=0.5120283269140582, uciqe=0.5906616875814126
432.png: uiqm=0.2170170159308228, uciqe=0.5365606934985119
5.png: uiqm=0.20429176248443237, uciqe=0.5658872252204622
52.png: uiqm=0.7144481181658408, uciqe=0.6520014850045546
579.png: uiqm=0.7295131033315042, uciqe=0.5779233243856189
605.png: uiqm=0.7415556271078196, uciqe=0.5874340219075393
616.png: uiqm=0.9733835879228246, uciqe=0.6152554422444708
627.png: uiqm=0.8817234447623683, uciqe=0.5660041476911455
6333.png: uiqm=0.35996668155372713, uciqe=0.4905283217146321
6340.png: uiqm=0.42595070424167014, uciqe=0.4997569238996212
643_img_.png: uiqm=0.8353169029250971, uciqe=0.6065242438341798
6527.png: uiqm=0.7226431472190971, uciqe=0.46236234384584585
7277.png: uiqm=0.6238692866738133, uciqe=0.5207224856601653
7291.png: uiqm=0.7215217407241576, uciqe=0.5582991762678999
770.png: uiqm=0.8546650833055722, uciqe=0.5587432058572265
866.png: uiqm=1.0541276853501973, uciqe=0.5286543609641929
880.png: uiqm=0.9698164628176259, uciqe=0.5705898242748878
9553.png: uiqm=0.9341346438143822, uciqe=0.5817631602355318
9602.png: uiqm=0.6145493346870738, uciqe=0.5404781230263717
9607.png: uiqm=0.8293394077276961, uciqe=0.5038077287562719
9618.png: uiqm=0.37525611564772365, uciqe=0.6196726461024522

Average: uiqm=0.5515257665105933, uciqe=0.5326687176897947

