12433.png: uiqm=0.30806589627899594, uciqe=0.540365848092133
149.png: uiqm=0.2969432183663204, uciqe=0.48625737450620554
161.png: uiqm=0.45457888355831144, uciqe=0.5488971883076694
264574_00031858.png: uiqm=1.4377917360228023, uciqe=0.5339348781676402
264734_00038535.png: uiqm=0.6626696823203754, uciqe=0.5543067723772181
265119_00013763.png: uiqm=0.219846223237684, uciqe=0.5614194543617184
265130_00031309.png: uiqm=0.28260188787505225, uciqe=0.5129912395241238
265344_00029330.png: uiqm=0.5032752508452625, uciqe=0.5335017472400035
306_img_.png: uiqm=0.23217337067897637, uciqe=0.5389257922057231
332_img_.png: uiqm=0.5558673702242561, uciqe=0.5753790324105582
3330.png: uiqm=0.5279282928523811, uciqe=0.627457235584371
36.png: uiqm=0.3336993054697299, uciqe=0.5066136065221112
387_img_.png: uiqm=0.6770648818558007, uciqe=0.5537344192942004
757_img_.png: uiqm=1.1466819313135268, uciqe=0.5658245722153336
819_img_.png: uiqm=0.5280119366617929, uciqe=0.5491786171016196
96.png: uiqm=0.8020601514198764, uciqe=0.5030016124427648
GI_1.png: uiqm=0.8950954733431711, uciqe=0.42859451336806226
GI_16.png: uiqm=0.23283431369252539, uciqe=0.5003794511667877
GI_2.png: uiqm=0.9291281278997019, uciqe=0.43299908028744083
GI_22.png: uiqm=-0.020615116698378677, uciqe=0.488162931389594
GI_29.png: uiqm=0.5705851118633994, uciqe=0.46553627775236417
GI_33.png: uiqm=1.0185473712330309, uciqe=0.5965800393766258
GI_35.png: uiqm=0.5135136709010278, uciqe=0.6796747195158848
GI_43.png: uiqm=0.34087428927887164, uciqe=0.6143895889551532
GI_7.png: uiqm=1.3016890320900716, uciqe=0.47213450557218933
GI_78.png: uiqm=0.8756263104097513, uciqe=0.5475581164983295
GI_8.png: uiqm=1.4029018467794572, uciqe=0.47839360713179857
GI_95.png: uiqm=0.25329609254085295, uciqe=0.5211668944390442
gmn_5017up.png: uiqm=1.1090115083268244, uciqe=0.5808354895783412
gmn_5029up.png: uiqm=0.5784748211241666, uciqe=0.5849170485765155
gmn_5148up.png: uiqm=0.39921344442446527, uciqe=0.6179996333039823
gmn_5183up.png: uiqm=0.886556261360118, uciqe=0.5446079822476638
gmn_5185up.png: uiqm=0.9664363081687661, uciqe=0.5997460941590598
gmn_5228up.png: uiqm=0.754935723998835, uciqe=0.5131829074046782
gmn_7856up.png: uiqm=1.1525655503508732, uciqe=0.5964388897742923
gmn_7919up.png: uiqm=0.6072694530220597, uciqe=0.5116418327148272
im_f1582_.png: uiqm=1.336142960546796, uciqe=0.5649255426084783
im_f2253_.png: uiqm=0.6804898747888386, uciqe=0.5299789773104353
n01496331_1010.png: uiqm=0.849365138723375, uciqe=0.5399976846261407
n01496331_2044.png: uiqm=0.8999688747057061, uciqe=0.5688911944213025
n01914609_1112.png: uiqm=0.57991155995489, uciqe=0.5610810647007638
n01914609_11380.png: uiqm=0.9244109970330046, uciqe=0.52763217331895
n01914609_13222.png: uiqm=0.5611898007021644, uciqe=0.5177842322159696
n01914609_13909.png: uiqm=1.514534954227806, uciqe=0.5281849775677954
n01914609_1437.png: uiqm=0.1166175322001699, uciqe=0.5727727766327173
n01914609_1980.png: uiqm=0.9600210533827963, uciqe=0.5701486808139192
n01914609_2054.png: uiqm=0.6947566711502984, uciqe=0.5361754151274163
n01914609_7919.png: uiqm=0.654446155925211, uciqe=0.5418804858160488
n02607072_2382.png: uiqm=0.5153644066777098, uciqe=0.5544274282669706
n02607072_5845.png: uiqm=0.3387587771292764, uciqe=0.514826651548576
n02607072_931.png: uiqm=0.5162885407823204, uciqe=0.5376893015288577
NF_1.png: uiqm=0.21648517154758007, uciqe=0.5557219403057464
NF_10.png: uiqm=0.2385622731590481, uciqe=0.48851758849673416
NF_100.png: uiqm=0.4795113878027303, uciqe=0.4987235724438853
NF_110.png: uiqm=0.18305342789410417, uciqe=0.512569504338624
NF_116.png: uiqm=0.42839112233000576, uciqe=0.5439844487439128
NF_123.png: uiqm=0.015806060321648108, uciqe=0.4728519125358499
NF_124.png: uiqm=0.8330320389914465, uciqe=0.5245200020704011
NF_13.png: uiqm=-0.23586222182655514, uciqe=0.4150887760010022
NF_14.png: uiqm=-0.1757885633225182, uciqe=0.3939315155784522
NF_141.png: uiqm=0.9784703372024449, uciqe=0.5183620295976993
