1.jpg: NIQE=34.66723018450206  with dealing time: 65.30840516090393
10.jpg: NIQE=32.68383162793525  with dealing time: 78.17954587936401
100.jpg: NIQE=36.845062791511054  with dealing time: 73.49986529350281
101.jpg: NIQE=30.74266912443295  with dealing time: 74.24389457702637
102.jpg: NIQE=33.81403931676459  with dealing time: 76.0681140422821
103.jpg: NIQE=32.92199882752256  with dealing time: 77.25599694252014
104.jpg: NIQE=33.88159627245795  with dealing time: 76.17370319366455
105.jpg: NIQE=37.766134729900145  with dealing time: 76.36309432983398
106.jpg: NIQE=36.75916228056577  with dealing time: 76.5235526561737
107.jpg: NIQE=35.659870280534555  with dealing time: 74.37023448944092
108.jpg: NIQE=36.2380845835294  with dealing time: 74.95945072174072
109.jpg: NIQE=36.2652228527157  with dealing time: 76.00298762321472
11.jpg: NIQE=30.91971557567431  with dealing time: 79.48713445663452
110.jpg: NIQE=41.47933557287933  with dealing time: 76.72065806388855
111.jpg: NIQE=39.44850006585666  with dealing time: 74.23599767684937
112.jpg: NIQE=36.90672246392792  with dealing time: 73.90943670272827
113.jpg: NIQE=34.00720767795912  with dealing time: 73.94559645652771
114.jpg: NIQE=40.358642722999164  with dealing time: 75.69473958015442
115.jpg: NIQE=40.196510055209515  with dealing time: 75.5295057296753
116.jpg: NIQE=34.42295424436106  with dealing time: 73.23566007614136
117.jpg: NIQE=33.14571111806704  with dealing time: 73.4835753440857
118.jpg: NIQE=41.48057341760705  with dealing time: 71.95221900939941
119.jpg: NIQE=34.644871022707264  with dealing time: 100.29211831092834
12.jpg: NIQE=30.785749900652192  with dealing time: 84.85568284988403
120.jpg: NIQE=31.72256404289439  with dealing time: 82.53990936279297
121.jpg: NIQE=34.41807220524802  with dealing time: 83.96810531616211
122.jpg: NIQE=32.38628596309645  with dealing time: 82.18116211891174
123.jpg: NIQE=32.91208509344894  with dealing time: 83.24591708183289
124.jpg: NIQE=33.65939640446206  with dealing time: 83.06863951683044
125.jpg: NIQE=32.967019717477925  with dealing time: 82.68304944038391
126.jpg: NIQE=32.30289137701487  with dealing time: 83.09280300140381
127.jpg: NIQE=33.25118106294414  with dealing time: 82.76700067520142
128.jpg: NIQE=35.05454612270142  with dealing time: 84.77025246620178
