1.jpg: uiqm=0.4103096631656912, uciqe=0.48816659510991345
10.jpg: uiqm=0.486252809958871, uciqe=0.547259551876422
100.jpg: uiqm=0.36531696625772525, uciqe=0.4578754790928501
101.jpg: uiqm=0.5592010420917443, uciqe=0.5417682487998321
102.jpg: uiqm=0.4052690838677937, uciqe=0.5176757922625694
103.jpg: uiqm=0.7024364898463314, uciqe=0.5153265663271556
104.jpg: uiqm=0.7337489464969253, uciqe=0.5176302816439902
105.jpg: uiqm=0.47452371212050104, uciqe=0.5188874789909058
106.jpg: uiqm=0.4951579458906238, uciqe=0.5150949244973456
107.jpg: uiqm=0.6835289730305114, uciqe=0.47425011648408344
108.jpg: uiqm=0.3482660620186073, uciqe=0.5043376187699607
109.jpg: uiqm=0.39130422604618953, uciqe=0.5031956880068051
11.jpg: uiqm=0.510818501546184, uciqe=0.548324509982924
110.jpg: uiqm=0.8188186449966259, uciqe=0.5118076632492458
111.jpg: uiqm=0.9188146170837165, uciqe=0.5286599068365142
112.jpg: uiqm=0.45684240171649315, uciqe=0.5017744460363677
113.jpg: uiqm=0.5129905684100234, uciqe=0.5041075448559276
114.jpg: uiqm=0.7023002170851386, uciqe=0.5084124944027602
115.jpg: uiqm=0.4467926640058735, uciqe=0.5064874895501429
116.jpg: uiqm=0.6268451995773574, uciqe=0.4810586755830833
117.jpg: uiqm=0.5061588314570984, uciqe=0.48553220831865274
118.jpg: uiqm=0.5633601955841411, uciqe=0.5920691542152746
119.jpg: uiqm=0.3489073891504514, uciqe=0.48629128915229414
12.jpg: uiqm=0.5027279741199031, uciqe=0.548391959563606
120.jpg: uiqm=0.39887184262035513, uciqe=0.5086103949791654
121.jpg: uiqm=0.6849523049756193, uciqe=0.5016533361583293
122.jpg: uiqm=0.5116535892117128, uciqe=0.5116870084483108
123.jpg: uiqm=0.38701737902018185, uciqe=0.4876363894795074
124.jpg: uiqm=0.4839866960212569, uciqe=0.5007959528597896
125.jpg: uiqm=0.509838054973722, uciqe=0.5003038228487402
126.jpg: uiqm=0.36559387921128783, uciqe=0.4904133964455327
127.jpg: uiqm=0.44255206706231254, uciqe=0.4832750304071323
128.jpg: uiqm=0.6046967712833234, uciqe=0.48936703447920693
129.jpg: uiqm=0.4319845166987596, uciqe=0.5004344922768127
13.jpg: uiqm=0.4708499813744388, uciqe=0.5464852593974536
130.jpg: uiqm=0.5369306021873761, uciqe=0.5000105734110275
131.jpg: uiqm=0.519567225850945, uciqe=0.5127587101770601
132.jpg: uiqm=0.5043697556885914, uciqe=0.504172050707664
133.jpg: uiqm=0.1519260899710725, uciqe=0.5244647943393199
134.jpg: uiqm=0.5672615218425513, uciqe=0.4988630219969953
135.jpg: uiqm=0.577319502490231, uciqe=0.48410538661587593
136.jpg: uiqm=0.6239047114411802, uciqe=0.5030029371311023
137.jpg: uiqm=0.5537154059430862, uciqe=0.5029641472723952
138.jpg: uiqm=0.737881355767037, uciqe=0.5078364590091025
139.jpg: uiqm=0.07105919193540888, uciqe=0.5184241781726149
14.jpg: uiqm=0.31478122310970325, uciqe=0.538324724052908
140.jpg: uiqm=0.6893822554250808, uciqe=0.5113036503992865
141.jpg: uiqm=0.6172924067474134, uciqe=0.5343857598148469
142.jpg: uiqm=0.18524772859446892, uciqe=0.5141239250489482
143.jpg: uiqm=0.8347236159583782, uciqe=0.5043802793424543
144.jpg: uiqm=0.8220875308339952, uciqe=0.5102510416166507
145.jpg: uiqm=0.49953947269009646, uciqe=0.5057630240144675
146.jpg: uiqm=0.4696283524357546, uciqe=0.4702167126798634
147.jpg: uiqm=0.4518026591566674, uciqe=0.4628910459625757
148.jpg: uiqm=0.5972433518718708, uciqe=0.5316006610311025
149.jpg: uiqm=0.2624141609804921, uciqe=0.4817239527406958
15.jpg: uiqm=0.23456115626144003, uciqe=0.5320405319154636
150.jpg: uiqm=0.3129380859542662, uciqe=0.4774120595220227
151.jpg: uiqm=0.6129187458573734, uciqe=0.5212619170272721
152.jpg: uiqm=0.2794154433041194, uciqe=0.477223133559448
153.jpg: uiqm=0.4173399507530622, uciqe=0.4922331054985874
154.jpg: uiqm=0.6025775675085924, uciqe=0.5259325436863437
155.jpg: uiqm=0.21420259336753966, uciqe=0.4445737135081693
156.jpg: uiqm=0.9500504206554757, uciqe=0.5166732842208585
157.jpg: uiqm=0.278008564503623, uciqe=0.5013571485030706
158.jpg: uiqm=0.2587075524519843, uciqe=0.5006257432410924
159.jpg: uiqm=0.14743563537013515, uciqe=0.5150552786040863
16.jpg: uiqm=0.5033385516623466, uciqe=0.5074866788620476
160.jpg: uiqm=0.24660548417909645, uciqe=0.4911499153078597
161.jpg: uiqm=0.4650215206322038, uciqe=0.5463401306798662
162.jpg: uiqm=0.4277654369840368, uciqe=0.5464449196073722
163.jpg: uiqm=0.6340065174801107, uciqe=0.5077404302421551
164.jpg: uiqm=0.4661149979098067, uciqe=0.5391122316505188
165.jpg: uiqm=0.4599312150147026, uciqe=0.5375737294389034
166.jpg: uiqm=0.5285360115012236, uciqe=0.540211333790039
167.jpg: uiqm=0.480487586957397, uciqe=0.5364806016499607
168.jpg: uiqm=0.46298976166777983, uciqe=0.5366860383887463
169.jpg: uiqm=0.48282536397198517, uciqe=0.5383550854014192
17.jpg: uiqm=0.6115457409608779, uciqe=0.5229604454893912
170.jpg: uiqm=0.3771537618414845, uciqe=0.5428747257404063
171.jpg: uiqm=0.3705776897958015, uciqe=0.54297920835751
172.jpg: uiqm=0.5063597802113815, uciqe=0.5079008761129178
173.jpg: uiqm=0.3714732088407189, uciqe=0.543226340459362
174.jpg: uiqm=0.32347376336396794, uciqe=0.5425586234287991
175.jpg: uiqm=0.3595628885041987, uciqe=0.5442599799519537
176.jpg: uiqm=0.7377209013896456, uciqe=0.5293713196763068
177.jpg: uiqm=0.3602571480607788, uciqe=0.5441135660675596
178.jpg: uiqm=0.4650219195902231, uciqe=0.5441291486587292
179.jpg: uiqm=0.7645246176395707, uciqe=0.5322036671518093
18.jpg: uiqm=0.9359621475405323, uciqe=0.5185058590542218
180.jpg: uiqm=0.4613144100345913, uciqe=0.5459371045833942
181.jpg: uiqm=0.39819081826592295, uciqe=0.45396051011356797
182.jpg: uiqm=0.3499497955496287, uciqe=0.45201002184349337
183.jpg: uiqm=0.4008204042493052, uciqe=0.48371294992303515
19.jpg: uiqm=0.6456346934111068, uciqe=0.5243343954924823
2.jpg: uiqm=0.7390347235710468, uciqe=0.5329774091744861
20.jpg: uiqm=0.5706387028045292, uciqe=0.49761858077462984
21.jpg: uiqm=0.47798875899034177, uciqe=0.46941097300876744
22.jpg: uiqm=0.8731313138664066, uciqe=0.5432758356260006
23.jpg: uiqm=0.8620957862217489, uciqe=0.5421634695193804
24.jpg: uiqm=0.7196186911652356, uciqe=0.5344431662997158
25.jpg: uiqm=0.4857900891536353, uciqe=0.5076862719123768
26.jpg: uiqm=0.6892913202243645, uciqe=0.518647588792363
27.jpg: uiqm=0.4776582940158711, uciqe=0.5134550862171738
28.jpg: uiqm=0.45742170504783286, uciqe=0.48209439348442684
29.jpg: uiqm=0.8058396841131878, uciqe=0.507752662317828
3.jpg: uiqm=0.2293473226642534, uciqe=0.46836061033180143
30.jpg: uiqm=0.4235439863015321, uciqe=0.5131385833224391
31.jpg: uiqm=0.510125896155306, uciqe=0.5045687238307517
32.jpg: uiqm=0.45618282226433926, uciqe=0.513238710206865
33.jpg: uiqm=0.3553600361964645, uciqe=0.5327517125011424
34.jpg: uiqm=0.3815307813483336, uciqe=0.5356274364767272
35.jpg: uiqm=0.23054966479946204, uciqe=0.5088272008261325
36.jpg: uiqm=0.3227410851753012, uciqe=0.5035936799366572
37.jpg: uiqm=0.3359677848752196, uciqe=0.5052230947119265
38.jpg: uiqm=0.17436195867861237, uciqe=0.52418395221034
39.jpg: uiqm=0.2805393658477129, uciqe=0.5254618882234436
4.jpg: uiqm=0.3990836726943596, uciqe=0.4615210064639589
40.jpg: uiqm=0.19160087146253701, uciqe=0.5124296830060536
41.jpg: uiqm=0.19635749208715703, uciqe=0.5118590415226871
42.jpg: uiqm=0.6819260586760743, uciqe=0.55703473191779
43.jpg: uiqm=0.36014011515767774, uciqe=0.5398957302586551
44.jpg: uiqm=0.2970953173961448, uciqe=0.5220260079759476
45.jpg: uiqm=0.2985151704952351, uciqe=0.5168577628944694
46.jpg: uiqm=0.3189393839978386, uciqe=0.514140731803971
47.jpg: uiqm=0.29352323427038296, uciqe=0.5167257882294141
48.jpg: uiqm=-0.1068881750601347, uciqe=0.5029928430254182
49.jpg: uiqm=0.5858435048540283, uciqe=0.53855343211605
5.jpg: uiqm=0.34208457602077025, uciqe=0.45610253485360996
50.jpg: uiqm=0.5925758633083255, uciqe=0.5412269038472706
51.jpg: uiqm=0.4799135573340054, uciqe=0.4987786041778464
52.jpg: uiqm=0.42874624373345416, uciqe=0.5221173867520927
53.jpg: uiqm=0.5489534273399796, uciqe=0.5022593701197732
54.jpg: uiqm=0.4594896061010183, uciqe=0.5227563198117657
55.jpg: uiqm=0.4538555580652126, uciqe=0.5234755051231417
56.jpg: uiqm=0.38930651466208, uciqe=0.5207188415130816
57.jpg: uiqm=0.4388546117742762, uciqe=0.5250789597731954
58.jpg: uiqm=0.4724213075811001, uciqe=0.5028820260124751
59.jpg: uiqm=0.43500781766713803, uciqe=0.5219145730416274
6.jpg: uiqm=0.2824878463000504, uciqe=0.46619216731532487
60.jpg: uiqm=0.12470566285852103, uciqe=0.5146335276124329
61.jpg: uiqm=0.1053175980567772, uciqe=0.5133772355636952
62.jpg: uiqm=0.05084670956764914, uciqe=0.5150469811444361
63.jpg: uiqm=0.36219306872061763, uciqe=0.5388481494809529
64.jpg: uiqm=0.5637472421987696, uciqe=0.5442387400838828
65.jpg: uiqm=0.7038457849194218, uciqe=0.5350113058689215
66.jpg: uiqm=0.25458802613528153, uciqe=0.5234579746844654
67.jpg: uiqm=-0.07282834506761415, uciqe=0.4723023975283351
68.jpg: uiqm=0.18949931446860768, uciqe=0.5015322465281493
69.jpg: uiqm=0.2185757554567066, uciqe=0.4998801903132122
7.jpg: uiqm=0.205527815684581, uciqe=0.4687606796354194
70.jpg: uiqm=0.2166873459218711, uciqe=0.513609150586806
71.jpg: uiqm=0.23936303477563214, uciqe=0.5155998146924737
72.jpg: uiqm=0.2366558342187094, uciqe=0.5151100063470835
73.jpg: uiqm=0.22353845315696552, uciqe=0.5136208847439794
74.jpg: uiqm=0.36102053480870977, uciqe=0.522622996518575
75.jpg: uiqm=0.23639193432548455, uciqe=0.5141774126942092
76.jpg: uiqm=0.22416942381941518, uciqe=0.5149809102277505
77.jpg: uiqm=0.3336103163457065, uciqe=0.5289573917699488
78.jpg: uiqm=0.32165548103329544, uciqe=0.5291406295428683
79.jpg: uiqm=0.2710348059327372, uciqe=0.501168719151983
8.jpg: uiqm=0.06493384680988867, uciqe=0.4585878191569362
80.jpg: uiqm=0.5023970616754554, uciqe=0.5335503422282373
81.jpg: uiqm=0.5165565605119857, uciqe=0.5333921696465458
82.jpg: uiqm=0.3394504329093663, uciqe=0.5220542560484756
83.jpg: uiqm=0.1798788788799046, uciqe=0.5125311194750033
84.jpg: uiqm=0.3154018884327232, uciqe=0.5461400656789293
85.jpg: uiqm=0.35751527808820793, uciqe=0.5478243014829894
86.jpg: uiqm=0.34164401146563195, uciqe=0.5016800354548414
87.jpg: uiqm=0.437764618740459, uciqe=0.5030696824372599
88.jpg: uiqm=0.24139453561687496, uciqe=0.5249509385591108
89.jpg: uiqm=0.24463398245849644, uciqe=0.5265823957851862
9.jpg: uiqm=0.49443628843315335, uciqe=0.54770258566812
90.jpg: uiqm=0.8028820206738665, uciqe=0.500191453800329
91.jpg: uiqm=0.7964713051306509, uciqe=0.5018816135389033
92.jpg: uiqm=0.9180523017285294, uciqe=0.5110660036371468
93.jpg: uiqm=0.9001858951783966, uciqe=0.5051818524952679
94.jpg: uiqm=0.8893463667460083, uciqe=0.488469559262763
95.jpg: uiqm=0.8903633373999206, uciqe=0.49399304771360886
96.jpg: uiqm=0.7137967009146555, uciqe=0.4994408995555374
97.jpg: uiqm=0.6152897431069753, uciqe=0.5003538211212064
98.jpg: uiqm=0.4298617646997325, uciqe=0.4651106324545359
99.jpg: uiqm=0.4221644409857209, uciqe=0.5008297788894029

Average: uiqm=0.4548592928383651, uciqe=0.5123296493628783

