1.png: NIQE=53.06073096235991  with dealing time: 79.33713603019714
10.png: NIQE=46.3005821844696  with dealing time: 68.14911365509033
11.png: NIQE=55.55152586405355  with dealing time: 77.13106918334961
12.png: NIQE=37.66502005874122  with dealing time: 69.20586895942688
13.png: NIQE=35.4328942180582  with dealing time: 70.70716166496277
14.png: NIQE=44.163572119233024  with dealing time: 79.23021650314331
15.png: NIQE=38.00155144424466  with dealing time: 68.54254364967346
16.png: NIQE=43.906386219398  with dealing time: 66.8250322341919
17.png: NIQE=36.018705313102835  with dealing time: 75.75521659851074
18.png: NIQE=35.154968171406495  with dealing time: 78.36319470405579
19.png: NIQE=48.84487133978316  with dealing time: 78.22860360145569
2.png: NIQE=52.32198879249702  with dealing time: 75.52490282058716
20.png: NIQE=40.08199251158866  with dealing time: 76.78266763687134
21.png: NIQE=34.31541073631544  with dealing time: 72.94687628746033
22.png: NIQE=40.33866999519717  with dealing time: 76.68552041053772
23.png: NIQE=36.37725693649286  with dealing time: 72.19044303894043
24.png: NIQE=37.49210296982164  with dealing time: 73.76150584220886
25.png: NIQE=39.20432241703345  with dealing time: 73.84243512153625
26.png: NIQE=42.56693145795056  with dealing time: 74.07206296920776
27.png: NIQE=37.15231923299885  with dealing time: 73.10005164146423
28.png: NIQE=37.57485644332769  with dealing time: 69.4760730266571
29.png: NIQE=52.61395957329501  with dealing time: 66.76897192001343
3.png: NIQE=51.23023756130596  with dealing time: 93.7756860256195
30.png: NIQE=52.341739016385304  with dealing time: 87.26606464385986
31.png: NIQE=40.04906758860269  with dealing time: 75.55251049995422
32.png: NIQE=44.7338853980327  with dealing time: 78.76129627227783
33.png: NIQE=39.08337231060245  with dealing time: 73.74963760375977
34.png: NIQE=44.27622147543818  with dealing time: 75.08627724647522
35.png: NIQE=42.546724395939954  with dealing time: 75.42041778564453
36.png: NIQE=40.20513499996225  with dealing time: 75.4853024482727
37.png: NIQE=36.79229594304205  with dealing time: 76.60928177833557
38.png: NIQE=34.354398432843496  with dealing time: 82.17885565757751
39.png: NIQE=43.523219039121734  with dealing time: 79.4847161769867
4.png: NIQE=53.27804119715182  with dealing time: 89.99975681304932
40.png: NIQE=36.87634717125298  with dealing time: 86.58420634269714
41.png: NIQE=41.25654168016502  with dealing time: 77.65657138824463
42.png: NIQE=39.57033039511196  with dealing time: 75.72911405563354
43.png: NIQE=37.86070351839954  with dealing time: 73.20911264419556
44.png: NIQE=37.68072325408768  with dealing time: 70.42401218414307
45.png: NIQE=35.92543120952978  with dealing time: 69.95656991004944
5.png: NIQE=45.9051368451764  with dealing time: 75.01718139648438
6.png: NIQE=55.89791476086255  with dealing time: 72.72143721580505
7.png: NIQE=44.704359394982085  with dealing time: 74.12443995475769
8.png: NIQE=59.271750109414214  with dealing time: 79.43222689628601
9.png: NIQE=45.06369204317878  with dealing time: 71.67457509040833

45 Image Average: NIQE=42.81261970448797, TimePerImage=75.70057594511243, SumTime = 3406.52591753006s

