1.png: uiqm=0.17708798699893102, uciqe=0.5637530974658531
10.png: uiqm=0.7548642966161117, uciqe=0.5481036027949036
11.png: uiqm=0.43971767778098936, uciqe=0.5508947176289796
12.png: uiqm=1.010853267018279, uciqe=0.571916468911436
13.png: uiqm=1.1201787346022125, uciqe=0.5588024898443797
14.png: uiqm=0.5163910180739039, uciqe=0.5758851426238422
15.png: uiqm=0.8045035649437964, uciqe=0.5801323998013328
16.png: uiqm=0.7322446540511517, uciqe=0.509348856713607
17.png: uiqm=0.7130672515038914, uciqe=0.5840094838973562
18.png: uiqm=0.8678485816402999, uciqe=0.6466496894471578
19.png: uiqm=0.6462692963186372, uciqe=0.631939172946297
2.png: uiqm=0.5319894747549617, uciqe=0.5767243885394007
20.png: uiqm=0.5906578463569253, uciqe=0.5853949381491226
21.png: uiqm=0.9375927129010172, uciqe=0.6584898874969217
22.png: uiqm=0.5734192086152962, uciqe=0.5871328959582038
23.png: uiqm=0.5647258793293587, uciqe=0.5681534309896851
24.png: uiqm=0.745983777882152, uciqe=0.6122134479360578
25.png: uiqm=0.6883108451171155, uciqe=0.6233329078627547
26.png: uiqm=0.6102183195221854, uciqe=0.5703652600671455
27.png: uiqm=0.7365444284737614, uciqe=0.6398584746851261
28.png: uiqm=0.9634250303011187, uciqe=0.6020871627720688
29.png: uiqm=0.9358389766120943, uciqe=0.5314455834370243
3.png: uiqm=0.8110729780798847, uciqe=0.582106375330651
30.png: uiqm=0.28902028905742205, uciqe=0.5657010365408432
31.png: uiqm=0.807907718525988, uciqe=0.5606685230504272
32.png: uiqm=0.7379909115210487, uciqe=0.572891693667918
33.png: uiqm=1.125008862436648, uciqe=0.5408800965037732
34.png: uiqm=0.8897199708540722, uciqe=0.5391437258920279
35.png: uiqm=0.8804893608726057, uciqe=0.5323284754470673
36.png: uiqm=0.9725468082404976, uciqe=0.5323568536780339
37.png: uiqm=0.8503638538812016, uciqe=0.5901780466474265
38.png: uiqm=0.9603501290067129, uciqe=0.6068284334432473
39.png: uiqm=0.7279786638614124, uciqe=0.6036699968593565
4.png: uiqm=0.19918962154104913, uciqe=0.5496798931001246
40.png: uiqm=1.100522524816797, uciqe=0.5028111039973954
41.png: uiqm=0.8147440283896197, uciqe=0.503467336494499
42.png: uiqm=0.7994500487950331, uciqe=0.55614039031013
43.png: uiqm=0.9872429990159263, uciqe=0.5872577932285438
44.png: uiqm=0.9074167637367898, uciqe=0.5630240500232424
45.png: uiqm=0.8949829424552032, uciqe=0.5556591890196605
5.png: uiqm=0.6227204572596452, uciqe=0.5518200765887482
6.png: uiqm=0.5933333598920132, uciqe=0.573295542155831
7.png: uiqm=0.7247117860646723, uciqe=0.5492073326325116
8.png: uiqm=0.38766182578346187, uciqe=0.5857109860730232
9.png: uiqm=0.8843716261023238, uciqe=0.5615705064732575

Average: uiqm=0.747345119102316, uciqe=0.5720673546028088

