100001.png: uiqm=0.5754379012613948, uciqe=0.508123665643033
10091.png: uiqm=0.8404094506004226, uciqe=0.5587542159740096
10103.png: uiqm=0.9243946741847877, uciqe=0.5570318682566573
10167.png: uiqm=0.2828260413191851, uciqe=0.5411307734233658
102.png: uiqm=0.4029429901028886, uciqe=0.577811277712455
10226.png: uiqm=0.37897789633400014, uciqe=0.5720613535750425
10475.png: uiqm=0.5600135025340629, uciqe=0.5067762012395873
10488.png: uiqm=0.47144837222172176, uciqe=0.4829714659890819
12191.png: uiqm=1.0272100314956578, uciqe=0.462946129783107
12203.png: uiqm=0.850582644534215, uciqe=0.4837317143097776
12228.png: uiqm=0.13671317803528563, uciqe=0.4232352292792033
12565.png: uiqm=0.8744204373855973, uciqe=0.45978873574406887
12577.png: uiqm=1.1477229077871844, uciqe=0.4729722381187654
12625.png: uiqm=0.1541015006636418, uciqe=0.48101314078699103
12709.png: uiqm=0.4255421548125986, uciqe=0.4538822408716926
12753.png: uiqm=-0.0643088123239269, uciqe=0.4337380272060577
12960.png: uiqm=0.320585736499494, uciqe=0.5545197681951127
12972.png: uiqm=0.30447468081531315, uciqe=0.5958216374815153
13252.png: uiqm=-0.05639126168143055, uciqe=0.5221087337012102
13259.png: uiqm=1.0828624538973335, uciqe=0.5411193112894188
15603.png: uiqm=0.5748244730873455, uciqe=0.5019796228659872
15735.png: uiqm=0.46359184185931285, uciqe=0.4543623974298676
15738.png: uiqm=0.20931635344630145, uciqe=0.48948557967371764
15740.png: uiqm=0.37889005564167744, uciqe=0.52462567060284
15774.png: uiqm=0.7336307046703187, uciqe=0.5194397477940135
15775.png: uiqm=-0.015808821835444048, uciqe=0.4362649807918382
2.png: uiqm=1.2845625955683073, uciqe=0.5426307920298946
2575.png: uiqm=0.7100128471526639, uciqe=0.5719997538829376
2583.png: uiqm=0.42161103187874505, uciqe=0.594751440564726
2856.png: uiqm=0.5803473570107722, uciqe=0.5144290088609879
3027.png: uiqm=1.1147326245990037, uciqe=0.5762966807355554
3051.png: uiqm=0.47836375921169977, uciqe=0.5300438938541017
3087.png: uiqm=1.3827202057694266, uciqe=0.5585136204010558
3175.png: uiqm=-0.25351114769168737, uciqe=0.4150611498999612
3201.png: uiqm=0.8378391715060387, uciqe=0.5171988952118497
3279.png: uiqm=0.6704665863671625, uciqe=0.4928542701356917
34.png: uiqm=0.5381612704621244, uciqe=0.6265262255586461
3494.png: uiqm=-0.03175546451494998, uciqe=0.5089598350419923
3519.png: uiqm=0.44888689307547097, uciqe=0.5398334569350155
358_img_.png: uiqm=0.5863408275867974, uciqe=0.5921893547545505
432.png: uiqm=0.23021006530182422, uciqe=0.5359077513190593
5.png: uiqm=0.18038805448818335, uciqe=0.5613862870106252
52.png: uiqm=0.6610402862899936, uciqe=0.643252657273081
579.png: uiqm=0.5212128307425672, uciqe=0.5730231796181253
605.png: uiqm=0.6489650659353985, uciqe=0.5867823070315986
616.png: uiqm=0.8456046780532238, uciqe=0.613336704838668
627.png: uiqm=0.8207456414579439, uciqe=0.5577906333748913
6333.png: uiqm=0.39002103889906325, uciqe=0.4885305622473274
6340.png: uiqm=0.3731573625711194, uciqe=0.4986975224403749
643_img_.png: uiqm=0.924621449214881, uciqe=0.5993270574081001
6527.png: uiqm=0.5167482863212154, uciqe=0.46287410731362677
7277.png: uiqm=0.741644016850606, uciqe=0.5221498684667405
7291.png: uiqm=0.7163547630593052, uciqe=0.5575723347962522
770.png: uiqm=0.9774044455697188, uciqe=0.5522397919257837
866.png: uiqm=1.02392579233716, uciqe=0.5203389624783462
880.png: uiqm=0.7911155198013508, uciqe=0.5665620718403406
9553.png: uiqm=0.8906333975977807, uciqe=0.5770002354141555
9602.png: uiqm=0.5566799805836776, uciqe=0.5364923878965864
9607.png: uiqm=0.8357239130503199, uciqe=0.5021133376060107
9618.png: uiqm=0.33531647056299047, uciqe=0.614049256500685

Average: uiqm=0.5789117117336474, uciqe=0.5294401853734293

