1.jpg: NIQE=26.614544123785993  with dealing time: 88.1542067527771
10.jpg: NIQE=24.78077981660137  with dealing time: 92.23815965652466
100.jpg: NIQE=23.0602309738429  with dealing time: 114.91643452644348
101.jpg: NIQE=24.544061112864046  with dealing time: 114.22795844078064
102.jpg: NIQE=26.862095035679854  with dealing time: 86.75928092002869
103.jpg: NIQE=27.12905928088703  with dealing time: 107.92073631286621
104.jpg: NIQE=24.53905403349367  with dealing time: 101.96877717971802
105.jpg: NIQE=28.653274105920723  with dealing time: 87.62976551055908
106.jpg: NIQE=28.963076912635408  with dealing time: 82.22774147987366
107.jpg: NIQE=22.791625299387793  with dealing time: 97.68668222427368
108.jpg: NIQE=25.758398748794033  with dealing time: 77.63917279243469
109.jpg: NIQE=27.46444303167475  with dealing time: 74.26509070396423
11.jpg: NIQE=25.847026715657094  with dealing time: 102.05455255508423
110.jpg: NIQE=31.30217156118924  with dealing time: 109.36489367485046
111.jpg: NIQE=29.919890329381655  with dealing time: 107.8443603515625
112.jpg: NIQE=26.583568018589112  with dealing time: 87.92839550971985
113.jpg: NIQE=25.32556625748954  with dealing time: 115.50021195411682
114.jpg: NIQE=30.409412203022484  with dealing time: 111.57947540283203
115.jpg: NIQE=32.434178078672645  with dealing time: 112.23936176300049
116.jpg: NIQE=23.901828883604313  with dealing time: 89.7831621170044
117.jpg: NIQE=24.40136315208523  with dealing time: 88.63455772399902
118.jpg: NIQE=37.90269855729716  with dealing time: 73.29586815834045
119.jpg: NIQE=24.71108265329103  with dealing time: 85.95107650756836
12.jpg: NIQE=25.55630888811105  with dealing time: 86.8829276561737
120.jpg: NIQE=25.696029528832852  with dealing time: 75.22069191932678
121.jpg: NIQE=23.366973561227073  with dealing time: 94.88009548187256
122.jpg: NIQE=21.183543127308983  with dealing time: 90.78367066383362
123.jpg: NIQE=25.951568864011477  with dealing time: 86.20365738868713
124.jpg: NIQE=22.4225239065653  with dealing time: 80.07172560691833
125.jpg: NIQE=23.364173516507346  with dealing time: 99.1031322479248
126.jpg: NIQE=23.72508428413384  with dealing time: 107.81276965141296
127.jpg: NIQE=23.39368664014853  with dealing time: 106.95978260040283
128.jpg: NIQE=24.34513907670418  with dealing time: 86.26602959632874
129.jpg: NIQE=23.142751706460345  with dealing time: 74.88614535331726
13.jpg: NIQE=26.821581522938747  with dealing time: 78.67715525627136
130.jpg: NIQE=21.751341880218806  with dealing time: 65.79686522483826
131.jpg: NIQE=24.833652207014634  with dealing time: 63.259666204452515
132.jpg: NIQE=23.499839078607735  with dealing time: 65.01281666755676
133.jpg: NIQE=27.100101442634813  with dealing time: 71.86348056793213
134.jpg: NIQE=20.25076442676485  with dealing time: 66.37632918357849
135.jpg: NIQE=23.477170176688773  with dealing time: 67.00367999076843
136.jpg: NIQE=21.204290890749377  with dealing time: 67.50510907173157
137.jpg: NIQE=19.29089087314724  with dealing time: 68.07963728904724
138.jpg: NIQE=33.80263229612997  with dealing time: 67.80080270767212
139.jpg: NIQE=28.846886364330846  with dealing time: 81.37629389762878
14.jpg: NIQE=25.104434935465054  with dealing time: 85.62100982666016
140.jpg: NIQE=27.497515150482414  with dealing time: 73.44360136985779
141.jpg: NIQE=27.4094503347881  with dealing time: 86.80310368537903
142.jpg: NIQE=28.43136285371179  with dealing time: 76.8591821193695
143.jpg: NIQE=35.15152107839936  with dealing time: 77.93032455444336
144.jpg: NIQE=34.7040540417935  with dealing time: 80.62347364425659
145.jpg: NIQE=36.12091828109484  with dealing time: 80.79765629768372
146.jpg: NIQE=24.606683619409445  with dealing time: 78.3380799293518
147.jpg: NIQE=25.108056719951357  with dealing time: 80.89530682563782
148.jpg: NIQE=27.80788707602942  with dealing time: 78.75636172294617
149.jpg: NIQE=26.105839456869766  with dealing time: 83.22196054458618
15.jpg: NIQE=26.05618085303791  with dealing time: 84.6108934879303
150.jpg: NIQE=32.422521305251784  with dealing time: 78.69569730758667
151.jpg: NIQE=27.69744971849236  with dealing time: 73.12369728088379
152.jpg: NIQE=33.377030806342695  with dealing time: 76.5563235282898
153.jpg: NIQE=24.571890627470356  with dealing time: 73.22788834571838
154.jpg: NIQE=27.55462101717661  with dealing time: 70.8496322631836
155.jpg: NIQE=35.472419879908706  with dealing time: 74.60928082466125
156.jpg: NIQE=23.849647359452316  with dealing time: 76.73325753211975
157.jpg: NIQE=34.166143568941465  with dealing time: 68.07968521118164
158.jpg: NIQE=30.487218814249886  with dealing time: 72.62593841552734
159.jpg: NIQE=37.24056943742665  with dealing time: 79.60987639427185
16.jpg: NIQE=24.259543823550544  with dealing time: 68.76912140846252
160.jpg: NIQE=29.36327354704673  with dealing time: 71.40948963165283
161.jpg: NIQE=30.328487000445193  with dealing time: 76.5257465839386
162.jpg: NIQE=28.623850200653198  with dealing time: 74.55969834327698
163.jpg: NIQE=24.987290990080364  with dealing time: 74.3463487625122
164.jpg: NIQE=27.17837094369898  with dealing time: 81.73405361175537
165.jpg: NIQE=25.79361605140938  with dealing time: 78.97675395011902
166.jpg: NIQE=27.857951607942645  with dealing time: 77.935311794281
