1.jpg: uiqm=0.46368147032216106, uciqe=0.4850932395903678
10.jpg: uiqm=0.5328014840879143, uciqe=0.5428778440520488
100.jpg: uiqm=0.5341928959191671, uciqe=0.4512475996821541
101.jpg: uiqm=0.6319667143123203, uciqe=0.5372477437860789
102.jpg: uiqm=0.5025640557231942, uciqe=0.5158055859631998
103.jpg: uiqm=0.7754023600121893, uciqe=0.5124758737082515
104.jpg: uiqm=0.8645088697962366, uciqe=0.5132328545034907
105.jpg: uiqm=0.6259588663497373, uciqe=0.5193668151505026
106.jpg: uiqm=0.6232271850734366, uciqe=0.5146228408893401
107.jpg: uiqm=0.8643718935388407, uciqe=0.47089184547974805
108.jpg: uiqm=0.4727977171453738, uciqe=0.49982334492823033
109.jpg: uiqm=0.5061986852352881, uciqe=0.49618336504984295
11.jpg: uiqm=0.5503368984716818, uciqe=0.542846950856225
110.jpg: uiqm=0.89103421084579, uciqe=0.507771880157558
111.jpg: uiqm=0.9618830282675663, uciqe=0.525473794623591
112.jpg: uiqm=0.6107699054902372, uciqe=0.49619319408074847
113.jpg: uiqm=0.6590780207909408, uciqe=0.49919683856394953
114.jpg: uiqm=0.8276429768029092, uciqe=0.5057486062144301
115.jpg: uiqm=0.5946444334116012, uciqe=0.5027693102347117
116.jpg: uiqm=0.7573167357657373, uciqe=0.47630871964264454
117.jpg: uiqm=0.6426226839718636, uciqe=0.48040908168890006
118.jpg: uiqm=0.6993413652557221, uciqe=0.5868938577286609
119.jpg: uiqm=0.4380223324792909, uciqe=0.48015214825389374
12.jpg: uiqm=0.5522863869284134, uciqe=0.5431618397507119
120.jpg: uiqm=0.5810343114533142, uciqe=0.5031990899402938
121.jpg: uiqm=0.7760009512610313, uciqe=0.49670917146924204
122.jpg: uiqm=0.6311242763270493, uciqe=0.5035216915161597
123.jpg: uiqm=0.5590524180638133, uciqe=0.4824664363737321
124.jpg: uiqm=0.5846473157608278, uciqe=0.4935432002691643
125.jpg: uiqm=0.6522946283152866, uciqe=0.4947743322276168
126.jpg: uiqm=0.45923280594642285, uciqe=0.483149717376237
127.jpg: uiqm=0.5869690263255254, uciqe=0.47298236168923247
128.jpg: uiqm=0.7154890224268107, uciqe=0.47963984117159797
129.jpg: uiqm=0.5555792875381318, uciqe=0.4963274662122386
13.jpg: uiqm=0.5118207043387832, uciqe=0.5414820234554956
130.jpg: uiqm=0.6876517088657029, uciqe=0.4924705722716999
131.jpg: uiqm=0.6787266263793447, uciqe=0.5055207044598337
132.jpg: uiqm=0.6376963612743851, uciqe=0.4987289004586007
133.jpg: uiqm=0.29785074061242567, uciqe=0.5199446203420777
134.jpg: uiqm=0.6671123905082046, uciqe=0.492719653803103
135.jpg: uiqm=0.6950609473038636, uciqe=0.4788205903110535
136.jpg: uiqm=0.8031079820107685, uciqe=0.49667701289413846
