A_00383.jpg: NIQE=59.79394633468649  with dealing time: 84.09669637680054
A_0404.jpg: NIQE=69.28808482277071  with dealing time: 87.81736874580383
A_0445.jpg: NIQE=46.08707308936244  with dealing time: 84.89305853843689
A_0459.jpg: NIQE=49.66401155191782  with dealing time: 82.76216721534729
A_102.jpg: NIQE=46.626464236850296  with dealing time: 87.73888325691223
A_12.jpg: NIQE=44.14618339679209  with dealing time: 86.30477213859558
A_137.jpg: NIQE=42.47730164930115  with dealing time: 86.16145658493042
A_151.jpg: NIQE=41.221961751375154  with dealing time: 91.04396533966064
A_173.jpg: NIQE=43.22483530613491  with dealing time: 84.85080766677856
A_18.jpg: NIQE=39.2777719951986  with dealing time: 86.68032717704773
A_187.jpg: NIQE=39.334936295783784  with dealing time: 86.81888127326965
A_249.jpg: NIQE=50.41560482527811  with dealing time: 87.17130064964294
A_263.jpg: NIQE=44.660432488993614  with dealing time: 80.69818210601807
A_39.jpg: NIQE=46.601156198249974  with dealing time: 79.02282118797302
A_40.jpg: NIQE=40.4623361214118  with dealing time: 86.87084722518921
A_494.jpg: NIQE=40.7032971515247  with dealing time: 93.69846773147583
A_502.jpg: NIQE=50.6810095851597  with dealing time: 87.0366940498352
A_551.jpg: NIQE=54.14239660744687  with dealing time: 94.2855749130249
A_557.jpg: NIQE=43.29741875407034  with dealing time: 91.54688382148743
A_592.jpg: NIQE=60.897706576668305  with dealing time: 82.62398076057434
A_606.jpg: NIQE=46.1462978856991  with dealing time: 87.02661204338074
A_628.jpg: NIQE=57.899196708035674  with dealing time: 89.58673238754272
A_649.jpg: NIQE=42.70778193966476  with dealing time: 88.71618485450745
A_663.jpg: NIQE=43.187348284705486  with dealing time: 89.76534295082092
A_67.jpg: NIQE=42.68820988719626  with dealing time: 89.27403473854065
A_690.jpg: NIQE=46.65672065182937  with dealing time: 89.66247010231018
A_704.jpg: NIQE=41.976146431809575  with dealing time: 88.80920314788818
A_726.jpg: NIQE=46.95456980758092  with dealing time: 93.54885911941528
A_75.jpg: NIQE=45.59157280255989  with dealing time: 85.26374816894531
A_89.jpg: NIQE=41.27779197316972  with dealing time: 95.33604049682617
B_026.jpg: NIQE=48.52739042415585  with dealing time: 103.16862201690674
B_053.jpg: NIQE=42.21640550644012  with dealing time: 80.95916223526001
B_067.jpg: NIQE=54.02688550835647  with dealing time: 78.06693029403687
B_088.jpg: NIQE=65.19075281254669  with dealing time: 78.32413411140442
B_110.jpg: NIQE=57.64390375178099  with dealing time: 80.49647498130798
B_151.jpg: NIQE=63.14730608982063  with dealing time: 81.67940521240234
B_159.jpg: NIQE=53.70792997404999  with dealing time: 81.25692582130432
B_187.jpg: NIQE=45.26891480587153  with dealing time: 80.24580931663513
B_208.jpg: NIQE=50.18731591893845  with dealing time: 84.50204229354858
B_249.jpg: NIQE=55.99262112845681  with dealing time: 83.56467533111572
B_263.jpg: NIQE=46.5674192549947  with dealing time: 79.93558955192566
B_285.jpg: NIQE=45.977614789145186  with dealing time: 80.02555418014526
B_306.jpg: NIQE=57.14042320160591  with dealing time: 75.82985258102417
B_347.jpg: NIQE=51.71575392814032  with dealing time: 76.8841917514801
B_361.jpg: NIQE=42.82391185406374  with dealing time: 86.74247169494629
B_383.jpg: NIQE=66.82848640731711  with dealing time: 80.3256607055664
B_404.jpg: NIQE=50.84450034717118  with dealing time: 88.12995433807373
B_445.jpg: NIQE=43.48319656907076  with dealing time: 84.22883772850037
B_459.jpg: NIQE=49.729034110635475  with dealing time: 88.05224061012268
B_494.jpg: NIQE=42.22920190215103  with dealing time: 76.39682221412659
B_502.jpg: NIQE=39.62124224238595  with dealing time: 74.86754059791565
B_551.jpg: NIQE=54.91162920022403  with dealing time: 78.44416904449463
B_557.jpg: NIQE=47.350765286883906  with dealing time: 74.81735420227051
B_592.jpg: NIQE=45.19803176638784  with dealing time: 79.6959114074707
B_606.jpg: NIQE=52.63669384598309  with dealing time: 78.4638090133667
B_628.jpg: NIQE=50.06727812088405  with dealing time: 75.18841981887817
B_649.jpg: NIQE=49.308796501585  with dealing time: 77.41281819343567
B_663.jpg: NIQE=57.64382744228681  with dealing time: 75.75835108757019
B_690.jpg: NIQE=48.097457837314316  with dealing time: 77.82248854637146
B_704.jpg: NIQE=48.93905592199121  with dealing time: 67.02197122573853
C_012.jpg: NIQE=45.28246510470094  with dealing time: 59.962082624435425
C_026.jpg: NIQE=71.0641598943798  with dealing time: 60.96314716339111
C_053.jpg: NIQE=60.13678811969661  with dealing time: 60.46467971801758
C_088.jpg: NIQE=50.00385715510313  with dealing time: 62.00018763542175
C_110.jpg: NIQE=59.96567996459125  with dealing time: 61.83126616477966
C_151.jpg: NIQE=60.000786495014225  with dealing time: 61.482309341430664
C_159.jpg: NIQE=40.77235840945189  with dealing time: 59.05302882194519
C_187.jpg: NIQE=43.482897846047656  with dealing time: 58.62658166885376
C_208.jpg: NIQE=41.656583933764416  with dealing time: 57.23757195472717
C_249.jpg: NIQE=44.930229715397  with dealing time: 58.7986900806427
C_263.jpg: NIQE=46.549282508244055  with dealing time: 59.854215145111084
C_285.jpg: NIQE=51.96410526268865  with dealing time: 60.78757977485657
C_306.jpg: NIQE=55.89483328987552  with dealing time: 60.98951482772827
C_347.jpg: NIQE=43.84832118657793  with dealing time: 58.610732078552246
C_361.jpg: NIQE=50.915888950096004  with dealing time: 59.53547477722168
C_383.jpg: NIQE=45.82283167687516  with dealing time: 60.82957363128662
C_404.jpg: NIQE=71.9817312730633  with dealing time: 61.15649342536926
C_445.jpg: NIQE=40.775477014463156  with dealing time: 60.34780144691467
C_459.jpg: NIQE=52.08506128145441  with dealing time: 59.45218062400818
C_494.jpg: NIQE=68.37061683691313  with dealing time: 60.8878390789032
C_502.jpg: NIQE=49.666481922385266  with dealing time: 62.81421685218811
C_551.jpg: NIQE=62.537518792539885  with dealing time: 62.967299938201904
C_557.jpg: NIQE=61.685888464773086  with dealing time: 61.210450887680054
C_592.jpg: NIQE=59.58130523497119  with dealing time: 57.89779758453369
C_606.jpg: NIQE=57.84043498445941  with dealing time: 61.71518516540527
C_628.jpg: NIQE=56.22989117248879  with dealing time: 60.049635887145996
C_649.jpg: NIQE=51.14403505013395  with dealing time: 57.84119725227356
C_663.jpg: NIQE=60.843662559655286  with dealing time: 58.16159200668335
C_690.jpg: NIQE=45.290996283394634  with dealing time: 59.63085222244263
C_726.jpg: NIQE=57.842909303377404  with dealing time: 57.3316285610199
D_026.jpg: NIQE=51.9832173156943  with dealing time: 58.04531264305115
D_053.jpg: NIQE=66.39599903162149  with dealing time: 56.82265114784241
D_088.jpg: NIQE=55.75665553916707  with dealing time: 56.51161026954651
D_110.jpg: NIQE=50.34015636694002  with dealing time: 57.976412296295166
D_151.jpg: NIQE=56.02948040865054  with dealing time: 58.253955364227295
D_159.jpg: NIQE=54.74915542090113  with dealing time: 59.290974140167236
D_187.jpg: NIQE=62.658975889787996  with dealing time: 58.736469984054565
D_208.jpg: NIQE=50.845595815677505  with dealing time: 60.625858306884766
D_249.jpg: NIQE=67.68839339829015  with dealing time: 62.18086385726929
D_263.jpg: NIQE=53.30942399790971  with dealing time: 60.5798819065094
D_285.jpg: NIQE=49.665722260721985  with dealing time: 61.633378744125366
D_306.jpg: NIQE=45.68520974695707  with dealing time: 61.88873910903931
D_347.jpg: NIQE=59.076588987835265  with dealing time: 63.76553916931152
D_361.jpg: NIQE=50.970616057359564  with dealing time: 62.40390920639038
D_383.jpg: NIQE=55.89006591944888  with dealing time: 62.33804965019226
D_404.jpg: NIQE=72.70492958406045  with dealing time: 59.67904281616211
D_445.jpg: NIQE=48.87779627059961  with dealing time: 57.384931325912476
D_459.jpg: NIQE=40.57136444247262  with dealing time: 55.528191566467285
D_494.jpg: NIQE=62.93865582743516  with dealing time: 57.2265248298645
D_502.jpg: NIQE=46.17243261060245  with dealing time: 56.60467982292175
D_551.jpg: NIQE=53.88880766800681  with dealing time: 57.52229619026184
D_557.jpg: NIQE=54.54874357307658  with dealing time: 55.36797332763672
D_592.jpg: NIQE=73.02309918350296  with dealing time: 51.157238245010376
D_606.jpg: NIQE=69.40421863904238  with dealing time: 50.195152759552
D_628.jpg: NIQE=49.836191715194595  with dealing time: 49.807936906814575
D_649.jpg: NIQE=50.33320903768586  with dealing time: 50.81788754463196
D_663.jpg: NIQE=59.195021437986064  with dealing time: 49.40545630455017
D_690.jpg: NIQE=51.136923341115725  with dealing time: 48.128823041915894
D_704.jpg: NIQE=60.820912087894115  with dealing time: 50.949786901474
D_726.jpg: NIQE=76.58202748581377  with dealing time: 50.350632667541504
E_012.jpg: NIQE=51.19377981450312  with dealing time: 50.55125308036804
E_026.jpg: NIQE=89.55821697909391  with dealing time: 51.147831439971924
E_053.jpg: NIQE=43.48356721214506  with dealing time: 48.649672985076904
E_088.jpg: NIQE=62.795185967460434  with dealing time: 48.19878315925598
E_110.jpg: NIQE=63.829552054716785  with dealing time: 48.426594257354736
E_151.jpg: NIQE=51.49967584537267  with dealing time: 49.93230128288269
E_159.jpg: NIQE=46.275833895655346  with dealing time: 52.133668661117554
E_187.jpg: NIQE=45.255631230648426  with dealing time: 65.10160040855408
E_208.jpg: NIQE=52.22198583068539  with dealing time: 61.39449882507324
E_249.jpg: NIQE=52.645509949917376  with dealing time: 68.61042165756226
E_263.jpg: NIQE=41.411501229010035  with dealing time: 51.58649182319641
E_285.jpg: NIQE=54.64214865967802  with dealing time: 52.24770760536194
E_306.jpg: NIQE=65.18405172840474  with dealing time: 49.35343813896179
E_347.jpg: NIQE=48.90111005514749  with dealing time: 55.091103076934814
E_361.jpg: NIQE=45.87423594349426  with dealing time: 54.12063908576965
E_383.jpg: NIQE=49.81613655205879  with dealing time: 54.35460305213928
E_404.jpg: NIQE=67.50841107265938  with dealing time: 53.63972854614258
E_445.jpg: NIQE=59.967745738961824  with dealing time: 51.95033884048462
E_459.jpg: NIQE=48.067980774537595  with dealing time: 54.95460104942322
E_494.jpg: NIQE=66.75537382134591  with dealing time: 56.58866739273071
E_502.jpg: NIQE=51.07471477921354  with dealing time: 48.58935785293579
E_551.jpg: NIQE=70.9887064680231  with dealing time: 50.395721197128296
E_592.jpg: NIQE=53.41330205228842  with dealing time: 51.341888189315796
E_606.jpg: NIQE=74.2631022591179  with dealing time: 57.089442014694214
E_628.jpg: NIQE=72.47383387513122  with dealing time: 52.206817626953125
E_649.jpg: NIQE=79.5176708329843  with dealing time: 50.94861435890198
E_663.jpg: NIQE=54.78058369199289  with dealing time: 52.97358250617981
E_690.jpg: NIQE=73.92958890482807  with dealing time: 56.69431948661804
E_704.jpg: NIQE=71.17977544193329  with dealing time: 57.22222185134888
E_726.jpg: NIQE=63.55574593621185  with dealing time: 61.57195544242859

150 Image Average: NIQE=53.44283092604745, TimePerImage=67.7210625743866, SumTime = 10158.15938615799s

