104_img_.png: NIQE=29.30130695860004  with dealing time: 83.77785086631775
10_img_.png: NIQE=21.604217570286586  with dealing time: 82.63992381095886
111_img_.png: NIQE=35.94030854198292  with dealing time: 75.72856974601746
112_img_.png: NIQE=26.911374635504803  with dealing time: 84.79559922218323
11_img_.png: NIQE=22.294247654670368  with dealing time: 83.4873673915863
13_img_.png: NIQE=18.518575495092463  with dealing time: 80.70616912841797
14_img_.png: NIQE=38.392092942417214  with dealing time: 80.48118448257446
15003.png: NIQE=31.140200456029156  with dealing time: 78.03270244598389
150_img_.png: NIQE=21.270472455026418  with dealing time: 76.73865175247192
15544.png: NIQE=26.22478739541797  with dealing time: 79.45376133918762
15_img_.png: NIQE=22.755806681974484  with dealing time: 80.03813076019287
169_img_.png: NIQE=28.939076236718076  with dealing time: 77.67754793167114
16_img_.png: NIQE=24.989680296279115  with dealing time: 81.49995851516724
17_img_.png: NIQE=26.901563198614593  with dealing time: 78.06776547431946
18_img_.png: NIQE=17.476972399861165  with dealing time: 79.90314555168152
19_img_.png: NIQE=22.038704768100278  with dealing time: 80.82033038139343
20.png: NIQE=28.029826854051795  with dealing time: 78.0261492729187
22_img_.png: NIQE=21.209224990358475  with dealing time: 81.5984046459198
23_img_.png: NIQE=18.055777313888314  with dealing time: 81.5020203590393
24_img_.png: NIQE=28.757058920681086  with dealing time: 80.17696166038513
282_img_.png: NIQE=41.417582122960944  with dealing time: 77.79800581932068
284_img_.png: NIQE=38.16407954217011  with dealing time: 77.83801674842834
288_img_.png: NIQE=40.721084509429254  with dealing time: 77.80549430847168
290_img_.png: NIQE=40.970097305100516  with dealing time: 76.29249262809753
292_img_.png: NIQE=39.42400769909835  with dealing time: 80.51770544052124
293_img_.png: NIQE=42.83382042425462  with dealing time: 76.3551287651062
294_img_.png: NIQE=38.81964231722673  with dealing time: 71.21692895889282
295_img_.png: NIQE=38.38052713667597  with dealing time: 77.28442239761353
299_img_.png: NIQE=45.036330438445894  with dealing time: 79.94920516014099
2_img_.png: NIQE=28.716234643474262  with dealing time: 77.80827736854553
300_img_.png: NIQE=43.19120848422095  with dealing time: 77.03939867019653
301_img_.png: NIQE=36.411033518002306  with dealing time: 75.8430426120758
302_img_.png: NIQE=40.207614142459484  with dealing time: 78.11275959014893
303_img_.png: NIQE=38.50713480535407  with dealing time: 81.06954073905945
304_img_.png: NIQE=43.29654859754642  with dealing time: 75.20583653450012
305_img_.png: NIQE=40.80451021101494  with dealing time: 78.90249729156494
