1.jpg: uiqm=0.8078998074887253, uciqe=0.4682697655978981
10.jpg: uiqm=0.18566368719512583, uciqe=0.33579036873323687
100.jpg: uiqm=0.19085501422370776, uciqe=0.2495068000618351
101.jpg: uiqm=0.16322879990400435, uciqe=0.6639451999482715
102.jpg: uiqm=0.21857836566076094, uciqe=0.3166132690702147
103.jpg: uiqm=0.10771424829833087, uciqe=0.533788752088085
104.jpg: uiqm=0.11081983413168034, uciqe=0.43126381837690775
105.jpg: uiqm=0.46568676448185886, uciqe=0.33585595955048375
106.jpg: uiqm=0.323427887823984, uciqe=0.2822047881807802
107.jpg: uiqm=0.17310614041492953, uciqe=0.29344335528320287
108.jpg: uiqm=0.1756455328591909, uciqe=0.2967117899676718
109.jpg: uiqm=0.3142205945238239, uciqe=0.2577831006167799
11.jpg: uiqm=0.2957778175730037, uciqe=0.3289418375924664
110.jpg: uiqm=0.1803372654700482, uciqe=0.3078229703416778
111.jpg: uiqm=0.14643810781617286, uciqe=0.31454803574781065
112.jpg: uiqm=0.4559431131044267, uciqe=0.31835388182031893
113.jpg: uiqm=0.2008436973033884, uciqe=0.24982251885447077
114.jpg: uiqm=0.19652155929621273, uciqe=0.33279507425936206
115.jpg: uiqm=0.09646840881971191, uciqe=0.6631120676528921
116.jpg: uiqm=0.6868717107392992, uciqe=0.3842775307307951
117.jpg: uiqm=0.6000816732579779, uciqe=0.37982307167528123
118.jpg: uiqm=0.31926962328994885, uciqe=0.27101729351902676
119.jpg: uiqm=0.21136870211949074, uciqe=0.268478180872337
12.jpg: uiqm=0.14326109310402688, uciqe=0.4118068189374513
120.jpg: uiqm=0.2416600485079497, uciqe=0.30472233612362043
121.jpg: uiqm=0.06870855481534088, uciqe=0.5628547750082437
122.jpg: uiqm=0.15210110126230622, uciqe=0.3295473187263687
123.jpg: uiqm=0.19837672094268358, uciqe=0.3071517617730989
124.jpg: uiqm=0.1818644831410861, uciqe=0.3214124471852011
125.jpg: uiqm=0.1738968746200877, uciqe=0.29052313048520617
126.jpg: uiqm=0.1758195998250101, uciqe=0.35399816433349185
127.jpg: uiqm=0.6924779869035009, uciqe=0.3663120776715198
128.jpg: uiqm=0.24561383379462526, uciqe=0.23685532220123795
129.jpg: uiqm=0.2512062164336881, uciqe=0.2883950537359431
13.jpg: uiqm=0.19021327804220706, uciqe=0.33477094266124885
130.jpg: uiqm=0.2640834794540925, uciqe=0.29897273603626884
131.jpg: uiqm=0.22511200652635632, uciqe=0.2743264297475875
132.jpg: uiqm=0.1870330259576308, uciqe=0.3114254183057147
133.jpg: uiqm=0.2187996707209951, uciqe=0.2970200255712665
134.jpg: uiqm=0.20322851995114521, uciqe=0.2787641654804862
135.jpg: uiqm=0.17900375457786366, uciqe=0.2726139108104503
136.jpg: uiqm=0.06992614800990177, uciqe=0.5490450080726182
137.jpg: uiqm=0.13995043546550945, uciqe=0.28456358253744674
138.jpg: uiqm=0.2564975080441271, uciqe=0.3191690319189344
139.jpg: uiqm=0.3146782176035573, uciqe=0.3098829950766747
14.jpg: uiqm=0.29969282168305467, uciqe=0.31470025470262675
140.jpg: uiqm=0.17698437682021492, uciqe=0.30581897750314774
141.jpg: uiqm=0.12267544892921087, uciqe=0.3106102892560799
142.jpg: uiqm=0.24782981850711483, uciqe=0.27416221581457145
143.jpg: uiqm=0.14258403875229897, uciqe=0.4125160436934525
144.jpg: uiqm=0.16704113712045213, uciqe=0.30113003882190625
145.jpg: uiqm=0.10163377097433657, uciqe=0.4700860131313871
146.jpg: uiqm=0.18336146622223273, uciqe=0.2688522479928886
147.jpg: uiqm=0.12712192779011655, uciqe=0.5512699720419966
148.jpg: uiqm=0.22028295849134405, uciqe=0.33797073896865454
149.jpg: uiqm=0.29563271649001066, uciqe=0.28586528113078924
15.jpg: uiqm=0.1518455305223329, uciqe=0.6570787516863867
150.jpg: uiqm=0.1509073492341722, uciqe=0.4323456014696623
151.jpg: uiqm=1.2332819148552354, uciqe=0.5188938444138262
152.jpg: uiqm=0.24311438465801516, uciqe=0.28147092932156687
153.jpg: uiqm=0.3259611310273462, uciqe=0.295939709483594
154.jpg: uiqm=0.08105716578634237, uciqe=0.3342607983483194
155.jpg: uiqm=0.18527065110951482, uciqe=0.3913325232228291
156.jpg: uiqm=0.26755746158500515, uciqe=0.3019826102005739
157.jpg: uiqm=0.5422860934052748, uciqe=0.3957930750576828
158.jpg: uiqm=0.27796363968026805, uciqe=0.30399298914177647
159.jpg: uiqm=0.13873619726332276, uciqe=0.4152562123555005
16.jpg: uiqm=0.16775482892603305, uciqe=0.26846357611460314
160.jpg: uiqm=0.3461081203324562, uciqe=0.25067797174394874
161.jpg: uiqm=0.2728642793730298, uciqe=0.3643462401471621
162.jpg: uiqm=0.2803245770457038, uciqe=0.3466695915778641
163.jpg: uiqm=0.20505335293501584, uciqe=0.27290646936317775
164.jpg: uiqm=0.3430449555752426, uciqe=0.36255704912520326
165.jpg: uiqm=0.3703239783166028, uciqe=0.3596147489909146
166.jpg: uiqm=0.3332450594558186, uciqe=0.3305729041170963
167.jpg: uiqm=0.2820021439661151, uciqe=0.3452680385152845
168.jpg: uiqm=0.2420629471932353, uciqe=0.43100899544618354
169.jpg: uiqm=0.27136173381232254, uciqe=0.41055867385865497
17.jpg: uiqm=1.2322670791566608, uciqe=0.4989558350926002
170.jpg: uiqm=0.3825679418493443, uciqe=0.3660134760204032
171.jpg: uiqm=0.31756957373950406, uciqe=0.34389626312701177
172.jpg: uiqm=0.17697360047655517, uciqe=0.26976394234125745
173.jpg: uiqm=0.5618822866290608, uciqe=0.41270629156417715
174.jpg: uiqm=0.28642137131771284, uciqe=0.3471513609139624
175.jpg: uiqm=0.18138064325208098, uciqe=0.582426900303283
176.jpg: uiqm=0.12420751075225714, uciqe=0.2884298854888587
177.jpg: uiqm=0.21557972419344038, uciqe=0.5757276998701333
178.jpg: uiqm=0.23299209649203728, uciqe=0.3329569286601883
179.jpg: uiqm=0.25430306799425495, uciqe=0.32049323279197733
18.jpg: uiqm=0.08750363003525435, uciqe=0.3362588029926964
180.jpg: uiqm=0.21808105371808917, uciqe=0.32794650443781903
181.jpg: uiqm=0.09098786963713101, uciqe=0.5739179156101295
182.jpg: uiqm=0.11329560206347877, uciqe=0.4140581981808602
183.jpg: uiqm=0.31023516656903016, uciqe=0.2543744262677309
19.jpg: uiqm=0.502316727168593, uciqe=0.37229864921616374
2.jpg: uiqm=1.2451964325437013, uciqe=0.4979497405331471
20.jpg: uiqm=0.05109715328425629, uciqe=0.3482432575948634
21.jpg: uiqm=0.3609427446416609, uciqe=0.3571598166643888
22.jpg: uiqm=0.5732343146592452, uciqe=0.376312337722568
23.jpg: uiqm=0.7562039653515776, uciqe=0.4061290802909947
24.jpg: uiqm=0.4803779510821711, uciqe=0.3742867387489116
25.jpg: uiqm=0.170110827637987, uciqe=0.2807915393217893
26.jpg: uiqm=0.5940126527373926, uciqe=0.3686548387925616
27.jpg: uiqm=1.0383806767705501, uciqe=0.481407398685622
28.jpg: uiqm=0.22965765958619078, uciqe=0.2632721907288318
29.jpg: uiqm=0.9523514682548098, uciqe=0.49827112342121704
3.jpg: uiqm=0.3295682751180927, uciqe=0.22275002908220298
30.jpg: uiqm=0.7565158998291125, uciqe=0.5102126800851037
31.jpg: uiqm=0.5555520536462886, uciqe=0.39030433845438783
32.jpg: uiqm=0.7843921198680547, uciqe=0.509047634168095
33.jpg: uiqm=0.17182784836809695, uciqe=0.288004748100563
34.jpg: uiqm=0.18383707568379293, uciqe=0.3145208086978422
35.jpg: uiqm=0.3691644385976491, uciqe=0.34136292410782076
36.jpg: uiqm=0.12754171330854513, uciqe=0.5622884535349365
37.jpg: uiqm=0.11593665854647944, uciqe=0.5710982303146914
38.jpg: uiqm=0.15032106021229033, uciqe=0.32617335408096115
39.jpg: uiqm=0.2492576804776988, uciqe=0.29800159260192843
4.jpg: uiqm=0.9760263148409984, uciqe=0.4664811432423891
40.jpg: uiqm=0.186054179212147, uciqe=0.32272850611855686
41.jpg: uiqm=0.4142220422816917, uciqe=0.38218224447181215
42.jpg: uiqm=0.1363420230892278, uciqe=0.40287810047435413
43.jpg: uiqm=0.2255151536419402, uciqe=0.37427470228481996
44.jpg: uiqm=0.1406071815866864, uciqe=0.33965747908899663
45.jpg: uiqm=0.15638970222565893, uciqe=0.3529380929288526
46.jpg: uiqm=0.16833432544867394, uciqe=0.3126357491070337
47.jpg: uiqm=0.0730819419412676, uciqe=0.5681876810824973
48.jpg: uiqm=0.18734678424344217, uciqe=0.3065422200617848
49.jpg: uiqm=0.23992687630471132, uciqe=0.2836114002895009
5.jpg: uiqm=0.11904941819591913, uciqe=0.29646370482076556
50.jpg: uiqm=0.15389445579441047, uciqe=0.2947370935566193
51.jpg: uiqm=0.21023992365979646, uciqe=0.27570554453341933
52.jpg: uiqm=0.27056851353129985, uciqe=0.2835704813424028
53.jpg: uiqm=0.06159849404723999, uciqe=0.2784502934133223
54.jpg: uiqm=0.26949110480456284, uciqe=0.2874816253221663
55.jpg: uiqm=0.1806330609748324, uciqe=0.3729679135663274
56.jpg: uiqm=0.30610160595227803, uciqe=0.2869775334369263
57.jpg: uiqm=0.25964648728225165, uciqe=0.29010170861846263
58.jpg: uiqm=0.9540539991990699, uciqe=0.4690200460200695
59.jpg: uiqm=0.2342642525339861, uciqe=0.29300074519693087
6.jpg: uiqm=0.032454112033994786, uciqe=0.6433694509818859
60.jpg: uiqm=0.22046727336100844, uciqe=0.3196523828512858
61.jpg: uiqm=0.6004175862315011, uciqe=0.5161365073690456
62.jpg: uiqm=0.21804370146341637, uciqe=0.3402102552257714
63.jpg: uiqm=0.5476501505968898, uciqe=0.506459107916909
64.jpg: uiqm=0.699883736327489, uciqe=0.5059840414869426
65.jpg: uiqm=0.9775459803080921, uciqe=0.5374480028912444
66.jpg: uiqm=0.07778013219976271, uciqe=0.4235441399253196
67.jpg: uiqm=0.18863105798993943, uciqe=0.2739831951351849
68.jpg: uiqm=0.17543589246483882, uciqe=0.5089239361434126
69.jpg: uiqm=0.6129961920236985, uciqe=0.5554529694483156
7.jpg: uiqm=0.13760411583537352, uciqe=0.29926342065252487
70.jpg: uiqm=0.1766563085979862, uciqe=0.31333476573793895
71.jpg: uiqm=0.24488510965440574, uciqe=0.2994815683119959
72.jpg: uiqm=0.16514550538443046, uciqe=0.31396044457072736
73.jpg: uiqm=0.19176151651447426, uciqe=0.3125957548977026
74.jpg: uiqm=0.14010369755779034, uciqe=0.3196558561677159
75.jpg: uiqm=0.17517062306445227, uciqe=0.3023988941351343
76.jpg: uiqm=0.11964135476324353, uciqe=0.41254554673816757
77.jpg: uiqm=0.05989597967409177, uciqe=0.412804129919301
78.jpg: uiqm=0.03737742148357259, uciqe=0.4771053580556669
79.jpg: uiqm=0.624314791508455, uciqe=0.5650885572465096
8.jpg: uiqm=0.20646620214127348, uciqe=0.2695742723370088
80.jpg: uiqm=0.15102276664121936, uciqe=0.3300128889435978
81.jpg: uiqm=0.1560870361711473, uciqe=0.3235255904282376
82.jpg: uiqm=0.14546316194814118, uciqe=0.3454884929918445
83.jpg: uiqm=0.1493586250914764, uciqe=0.41830435238467223
84.jpg: uiqm=0.2379449604643125, uciqe=0.3458223045130099
85.jpg: uiqm=0.1309476893825457, uciqe=0.5724447965240838
86.jpg: uiqm=0.25063482980834045, uciqe=0.26397058298422377
87.jpg: uiqm=0.08812267664040269, uciqe=0.3105431985168001
