A_00383.jpg: uiqm=1.0355581842001278, uciqe=0.5211027574585971
A_0404.jpg: uiqm=0.9251023934866603, uciqe=0.5636165391367425
A_0445.jpg: uiqm=1.1534949987104361, uciqe=0.467382545601685
A_0459.jpg: uiqm=1.1615555562467637, uciqe=0.5199730178658961
A_102.jpg: uiqm=1.2101972745062615, uciqe=0.6541381054913532
A_12.jpg: uiqm=1.2984279746812333, uciqe=0.5631196502260994
A_137.jpg: uiqm=1.4183312735622127, uciqe=0.5246842938460421
A_151.jpg: uiqm=1.3859374429415705, uciqe=0.5734947354085747
A_173.jpg: uiqm=1.3704552444927085, uciqe=0.5129063143745644
A_18.jpg: uiqm=1.6129048399029862, uciqe=0.4862016452789721
A_187.jpg: uiqm=1.7232726031153762, uciqe=0.5412622238839819
A_249.jpg: uiqm=1.3061056271993148, uciqe=0.49565570358553745
A_263.jpg: uiqm=1.3404959787041058, uciqe=0.5453707131733984
A_39.jpg: uiqm=1.362091951153201, uciqe=0.5330774659670354
A_40.jpg: uiqm=1.2330418904729745, uciqe=0.5438156949092261
A_494.jpg: uiqm=1.0750762752965934, uciqe=0.5481694252673514
A_502.jpg: uiqm=1.021080644906565, uciqe=0.5380885276632574
A_551.jpg: uiqm=0.023647385619628758, uciqe=0.42358818099905493
A_557.jpg: uiqm=1.26166108343955, uciqe=0.5374775206547286
A_592.jpg: uiqm=0.8048154760661036, uciqe=0.550560092374419
A_606.jpg: uiqm=1.3543827078517099, uciqe=0.4480864424547339
A_628.jpg: uiqm=0.8879930910238923, uciqe=0.5762012932873963
A_649.jpg: uiqm=1.308607830958225, uciqe=0.5595058508174624
A_663.jpg: uiqm=1.542866443748243, uciqe=0.545343099252877
A_67.jpg: uiqm=1.466188988726826, uciqe=0.5672687667383012
A_690.jpg: uiqm=0.8104109221478994, uciqe=0.5461027497924228
A_704.jpg: uiqm=1.515576677906468, uciqe=0.5948280165067716
A_726.jpg: uiqm=1.9924624327076432, uciqe=0.5675952180813223
A_75.jpg: uiqm=1.13369031476849, uciqe=0.54039064998932
A_89.jpg: uiqm=1.155378957703003, uciqe=0.5537306927782002
B_026.jpg: uiqm=0.8789307937193115, uciqe=0.5444092225811821
B_053.jpg: uiqm=1.2479052787342981, uciqe=0.4899984468805689
B_067.jpg: uiqm=1.479777288791071, uciqe=0.5069837536612077
B_088.jpg: uiqm=1.1355832138525783, uciqe=0.5088834229765603
B_110.jpg: uiqm=0.9935342283251273, uciqe=0.5407382951500044
B_151.jpg: uiqm=0.8906327772381167, uciqe=0.5168998665067985
B_159.jpg: uiqm=1.0067487961070838, uciqe=0.5530140373526148
B_187.jpg: uiqm=1.3304348556045198, uciqe=0.4835048536084459
B_208.jpg: uiqm=1.525056446069422, uciqe=0.5224291435645576
B_249.jpg: uiqm=0.8099290007739345, uciqe=0.6077276457683073
B_263.jpg: uiqm=1.0301319174987518, uciqe=0.4470101821680088
B_285.jpg: uiqm=1.46743274176551, uciqe=0.5452065301591049
B_306.jpg: uiqm=0.9818246291285411, uciqe=0.497812572303843
B_347.jpg: uiqm=1.5007643330922353, uciqe=0.4763228054522014
B_361.jpg: uiqm=1.1890556583048202, uciqe=0.49416934241043653
B_383.jpg: uiqm=1.1760931811712227, uciqe=0.531348423996883
B_404.jpg: uiqm=1.0147643919685911, uciqe=0.5451977612596084
B_445.jpg: uiqm=1.285486613184486, uciqe=0.4941796216472524
B_459.jpg: uiqm=0.961007270594509, uciqe=0.4502699879276924
B_494.jpg: uiqm=1.0761624156437466, uciqe=0.422947839328091
B_502.jpg: uiqm=1.244719790371852, uciqe=0.5235015438063682
B_551.jpg: uiqm=0.8983593314653913, uciqe=0.570920329050731
B_557.jpg: uiqm=1.074053872528479, uciqe=0.535933959295764
B_592.jpg: uiqm=1.0291193602152229, uciqe=0.5062360671906999
B_606.jpg: uiqm=1.0657456308618285, uciqe=0.5630645306443349
B_628.jpg: uiqm=1.0820431761552678, uciqe=0.5823461882291165
B_649.jpg: uiqm=1.0311579286985397, uciqe=0.5103087952022094
B_663.jpg: uiqm=0.7503814504117905, uciqe=0.5434265273254779
B_690.jpg: uiqm=0.9980275314366622, uciqe=0.469530961402427
B_704.jpg: uiqm=1.3034763899518773, uciqe=0.5513447892950603
C_012.jpg: uiqm=0.6042992672590086, uciqe=0.4592197050198114
C_026.jpg: uiqm=0.7067426146907417, uciqe=0.5242051279707768
C_053.jpg: uiqm=1.1123350660188094, uciqe=0.5391075750950113
C_088.jpg: uiqm=1.0000180295202603, uciqe=0.54906313519229
C_110.jpg: uiqm=1.0892342318022137, uciqe=0.5946391036563797
C_151.jpg: uiqm=0.9428320962150187, uciqe=0.535296335259437
C_159.jpg: uiqm=1.3346959510384613, uciqe=0.4883859199136317
C_187.jpg: uiqm=1.289295000197603, uciqe=0.5098768874451933
C_208.jpg: uiqm=0.42947127344641167, uciqe=0.3572073466366601
C_249.jpg: uiqm=1.0546836726047006, uciqe=0.4741006772957421
C_263.jpg: uiqm=1.2719524323380145, uciqe=0.5011805921921677
C_285.jpg: uiqm=1.421367137039766, uciqe=0.5537031838678491
C_306.jpg: uiqm=1.1567063530200095, uciqe=0.5683220007376688
C_347.jpg: uiqm=1.0405781929673028, uciqe=0.45461841081700183
C_361.jpg: uiqm=0.8837417668337497, uciqe=0.47136715742887225
C_383.jpg: uiqm=1.1596581979270582, uciqe=0.4701835385376425
C_404.jpg: uiqm=1.103318416275195, uciqe=0.5539987454992173
C_445.jpg: uiqm=1.0544494407141096, uciqe=0.5123842717671686
C_459.jpg: uiqm=0.8776871941164535, uciqe=0.4672050460592198
C_494.jpg: uiqm=0.9545405454771885, uciqe=0.5595587782981182
C_502.jpg: uiqm=1.0306999667857004, uciqe=0.4734085886494163
C_551.jpg: uiqm=1.271393036412473, uciqe=0.5286797531672992
C_557.jpg: uiqm=0.6570143026952158, uciqe=0.4853842187285412
C_592.jpg: uiqm=0.9757003873981998, uciqe=0.4966550558694155
C_606.jpg: uiqm=0.5028458191688048, uciqe=0.5295199304425081
C_628.jpg: uiqm=0.7062029513525061, uciqe=0.5680084875199918
C_649.jpg: uiqm=1.1821667551942006, uciqe=0.48680598119566465
C_663.jpg: uiqm=1.0840646584872977, uciqe=0.5409067427646059
C_690.jpg: uiqm=1.2619330046362651, uciqe=0.5661810227789278
C_726.jpg: uiqm=0.9854671963490129, uciqe=0.5332930528603357
D_026.jpg: uiqm=0.7052383601265342, uciqe=0.49636933840615527
D_053.jpg: uiqm=0.9825343440266671, uciqe=0.5398705450068342
D_088.jpg: uiqm=-0.05662390024237357, uciqe=0.2904254445311972
D_110.jpg: uiqm=0.9029100984236574, uciqe=0.579099043846008
D_151.jpg: uiqm=0.9657230224379798, uciqe=0.5708919189087248
D_159.jpg: uiqm=1.0741143356989922, uciqe=0.5813901723581782
D_187.jpg: uiqm=0.8010639405225847, uciqe=0.5796551024483163
D_208.jpg: uiqm=0.6081991269964125, uciqe=0.5361303461307743
D_249.jpg: uiqm=0.7541827826643148, uciqe=0.5565850262155587
D_263.jpg: uiqm=1.1951896958729251, uciqe=0.5357014409920594
D_285.jpg: uiqm=1.238280640075255, uciqe=0.4480536961101662
D_306.jpg: uiqm=0.9998500779306905, uciqe=0.49869857297150044
D_347.jpg: uiqm=0.6077514634924729, uciqe=0.584796009926362
D_361.jpg: uiqm=1.057327048926219, uciqe=0.5601147924539494
D_383.jpg: uiqm=0.6873055439349925, uciqe=0.5484464221356754
D_404.jpg: uiqm=0.9704333496043995, uciqe=0.5338050725065613
D_445.jpg: uiqm=0.8307390438046278, uciqe=0.5275747904723598
D_459.jpg: uiqm=1.036626549362425, uciqe=0.41635103531699624
D_494.jpg: uiqm=0.9444097189354311, uciqe=0.5631004575194711
D_502.jpg: uiqm=1.0859265852001236, uciqe=0.4726214036805999
D_551.jpg: uiqm=1.0513126536769808, uciqe=0.5093209992242833
D_557.jpg: uiqm=0.9440359548238976, uciqe=0.5187820859209344
D_592.jpg: uiqm=0.3561245006970791, uciqe=0.5475917749826937
D_606.jpg: uiqm=0.9612037520362444, uciqe=0.5850171420763715
D_628.jpg: uiqm=1.1598525942650075, uciqe=0.5312417096292587
D_649.jpg: uiqm=0.7497554537413971, uciqe=0.5464998545910111
D_663.jpg: uiqm=1.0684445603630928, uciqe=0.5250114741499932
D_690.jpg: uiqm=0.87835274406391, uciqe=0.4435546443614016
D_704.jpg: uiqm=0.6923997403819521, uciqe=0.4934126545109522
D_726.jpg: uiqm=0.5565537356527921, uciqe=0.58562718605675
E_012.jpg: uiqm=0.7952212734339905, uciqe=0.5233490340287635
E_026.jpg: uiqm=0.4560712671872964, uciqe=0.5642197266229891
E_053.jpg: uiqm=1.3463985316294267, uciqe=0.45898202507863084
E_088.jpg: uiqm=0.7489800695078529, uciqe=0.5516608386729962
E_110.jpg: uiqm=0.9145978758983181, uciqe=0.5522504503414581
E_151.jpg: uiqm=0.8193147094080064, uciqe=0.6152303429414748
E_159.jpg: uiqm=0.9400443263173117, uciqe=0.5788708731487502
E_187.jpg: uiqm=1.1706504328822116, uciqe=0.5867279008780588
E_208.jpg: uiqm=1.1225062230882101, uciqe=0.5422642718165278
E_249.jpg: uiqm=0.9592309402318343, uciqe=0.5271156768295782
E_263.jpg: uiqm=1.1056908929854794, uciqe=0.5066890933136519
E_285.jpg: uiqm=1.4345245757555358, uciqe=0.4907863983796307
E_306.jpg: uiqm=0.890782862316122, uciqe=0.6117157858843272
E_347.jpg: uiqm=1.1490273092415677, uciqe=0.4660174571365444
E_361.jpg: uiqm=1.0898897725183563, uciqe=0.570699569922215
E_383.jpg: uiqm=0.9571851706547752, uciqe=0.5508092301135942
E_404.jpg: uiqm=0.8948596487798539, uciqe=0.5510314853063606
E_445.jpg: uiqm=0.7699527945727493, uciqe=0.5768638563458137
E_459.jpg: uiqm=0.9839474339744435, uciqe=0.4612550138303178
E_494.jpg: uiqm=0.3354052861485124, uciqe=0.5928428064596112
E_502.jpg: uiqm=0.674319534274491, uciqe=0.38839357145996295
E_551.jpg: uiqm=0.9571083141283894, uciqe=0.563061641107806
E_592.jpg: uiqm=0.9465373455483265, uciqe=0.565894091650018
E_606.jpg: uiqm=0.8567657842649377, uciqe=0.5828798836647737
E_628.jpg: uiqm=0.8275394170355695, uciqe=0.5171521599983713
E_649.jpg: uiqm=1.025404422565752, uciqe=0.5487500349394523
E_663.jpg: uiqm=0.6969789218258174, uciqe=0.5392581647916144
E_690.jpg: uiqm=0.6535342214307801, uciqe=0.5580464066463489
E_704.jpg: uiqm=0.48796779633424336, uciqe=0.5437896687060029
