104_img_: PSNR=26.95569470194158 SSIM=0.9406941832901394 UIQM=0.45708770328704695 UCIQE=0.5567900263986503
10_img_: PSNR=16.066321039782284 SSIM=0.2238325587205757 UIQM=0.416769128103912 UCIQE=0.6028488596001631
111_img_: PSNR=24.708290469566464 SSIM=0.8663969398635005 UIQM=0.09540995174077183 UCIQE=0.5319357303886968
112_img_: PSNR=21.295212752016344 SSIM=0.7968121516021689 UIQM=0.5705616393411838 UCIQE=0.5893721450969167
11_img_: PSNR=16.438960864221894 SSIM=0.7212506648554039 UIQM=0.8574535684524797 UCIQE=0.6256597186753259
13_img_: PSNR=17.35723517040775 SSIM=0.6378468585958665 UIQM=0.8800825593401215 UCIQE=0.5725066711007817
14_img_: PSNR=22.19424387030393 SSIM=0.8153855242935257 UIQM=1.0642589043606003 UCIQE=0.6357064811740216
15003: PSNR=18.922645492282054 SSIM=0.18799703522893918 UIQM=0.5330896250979932 UCIQE=0.498830866544322
150_img_: PSNR=23.329900349260903 SSIM=0.8028698272404537 UIQM=0.8960381039848664 UCIQE=0.6236655437277924
15544: PSNR=22.579569755772045 SSIM=0.6671035429326404 UIQM=-0.03858817629905775 UCIQE=0.5047057401554264
15_img_: PSNR=20.66942101717999 SSIM=0.8070769732370153 UIQM=1.0356178485418273 UCIQE=0.6336870276983977
169_img_: PSNR=18.854661120597413 SSIM=0.6642495546534111 UIQM=1.0554494326249761 UCIQE=0.5499553528766956
16_img_: PSNR=22.42700877375675 SSIM=0.6788437398841178 UIQM=0.9644332809846328 UCIQE=0.5585280372826048
17_img_: PSNR=21.44925495863605 SSIM=0.8115010046247645 UIQM=1.104648659865767 UCIQE=0.6211981210215051
18_img_: PSNR=17.35102723932652 SSIM=0.42970149986582346 UIQM=0.7627176122661268 UCIQE=0.4881760616154962
19_img_: PSNR=19.839301509586726 SSIM=0.6751066312492928 UIQM=0.9560434959329724 UCIQE=0.5836383650349422
20: PSNR=21.54616392503307 SSIM=0.7373781121355021 UIQM=0.9983601934682498 UCIQE=0.6039789023841802
22_img_: PSNR=20.705053592987074 SSIM=0.8593831166967479 UIQM=0.9399613648964735 UCIQE=0.5738933727341523
23_img_: PSNR=22.38503510707946 SSIM=0.8360477660100106 UIQM=1.1096518905011 UCIQE=0.6174773873967796
24_img_: PSNR=20.98416915626846 SSIM=0.8316472974065583 UIQM=0.9164363685017451 UCIQE=0.5761869490440128
282_img_: PSNR=19.55583599757538 SSIM=0.7109241133246798 UIQM=1.0975495193642482 UCIQE=0.6140263323137404
284_img_: PSNR=26.958441229467013 SSIM=0.8185596899970597 UIQM=1.0976050377972073 UCIQE=0.6372213099705768
288_img_: PSNR=21.844342361160756 SSIM=0.8688271035697803 UIQM=0.9807861085821953 UCIQE=0.5485583916313713
290_img_: PSNR=23.27517060903527 SSIM=0.8614697681767639 UIQM=1.0067416556215436 UCIQE=0.5695506270383084
292_img_: PSNR=23.15846619254442 SSIM=0.8361741038519267 UIQM=0.917872013523408 UCIQE=0.637919441760759
293_img_: PSNR=17.456257019578413 SSIM=0.2686495389584509 UIQM=0.7229225196445509 UCIQE=0.5396089582390874
294_img_: PSNR=14.161461984827135 SSIM=0.5003904648515216 UIQM=0.9384508441619783 UCIQE=0.48915982768297295
295_img_: PSNR=24.608993546531277 SSIM=0.8710088542430001 UIQM=1.0493524859969532 UCIQE=0.6711098146732614
299_img_: PSNR=14.76786386868649 SSIM=0.6451095488034287 UIQM=0.6611101921749791 UCIQE=0.5266048034531304
2_img_: PSNR=18.6869168911516 SSIM=0.8033198521629084 UIQM=0.8701762193118915 UCIQE=0.6690912151655068
300_img_: PSNR=21.973992194193027 SSIM=0.7785002403810406 UIQM=0.8699232989636357 UCIQE=0.6024681432960568
301_img_: PSNR=22.738992098709435 SSIM=0.8375776785171358 UIQM=0.7460433568387889 UCIQE=0.5600343797569585
302_img_: PSNR=22.71080955908281 SSIM=0.8906034564692571 UIQM=0.582456511401144 UCIQE=0.5207941734143743
303_img_: PSNR=23.740530814828528 SSIM=0.8669117653059115 UIQM=0.7192139609315686 UCIQE=0.5789419507758597
304_img_: PSNR=21.61597403018138 SSIM=0.742668832892227 UIQM=0.9972932202140883 UCIQE=0.5360565855658904
305_img_: PSNR=23.6171219319402 SSIM=0.8271855906515916 UIQM=0.843462172011334 UCIQE=0.5715453681316822
306_img_: PSNR=19.45046469114332 SSIM=0.5004111570011015 UIQM=0.2843518528401454 UCIQE=0.5223894522158564
307_img_: PSNR=20.048819684112775 SSIM=0.2856656965754173 UIQM=0.8842148702165729 UCIQE=0.6003381770212723
30_img_: PSNR=22.59523398054948 SSIM=0.8008502575004406 UIQM=1.1046232969716008 UCIQE=0.653792349173685
311_img_: PSNR=21.20357486801957 SSIM=0.63535237110707 UIQM=0.9590752103594917 UCIQE=0.5677045490495304
312_img_: PSNR=23.937531607266994 SSIM=0.8319057218938599 UIQM=0.9103686922028167 UCIQE=0.6297340384128695
313_img_: PSNR=27.85391041711916 SSIM=0.9008946732011046 UIQM=0.9662673664014756 UCIQE=0.5681071958767308
314_img_: PSNR=26.445731395531737 SSIM=0.9199125200554952 UIQM=0.8415157590695527 UCIQE=0.6189219939335568
315_img_: PSNR=25.026240688300856 SSIM=0.8391559835290519 UIQM=1.0471855232083 UCIQE=0.576662769043429
316_img_: PSNR=23.39262147063565 SSIM=0.8581771529213273 UIQM=0.958705181375288 UCIQE=0.637600131242286
317_img_: PSNR=24.14584030296244 SSIM=0.8184800695492257 UIQM=0.9435307947337002 UCIQE=0.6027378987195179
318_img_: PSNR=20.86692150638978 SSIM=0.8296422437755466 UIQM=1.005189251710828 UCIQE=0.6559664427088676
319_img_: PSNR=21.241927680357055 SSIM=0.7577374665030501 UIQM=0.7803410527748236 UCIQE=0.5969354275104632
320_img_: PSNR=23.19316683680729 SSIM=0.8575167908080379 UIQM=1.1356121377604098 UCIQE=0.6292859047854278
