104_img_: PSNR=21.527089864180518 SSIM=0.8988158097578482 UIQM=0.5598109379612213 UCIQE=0.5516398339459399
10_img_: PSNR=14.397783956252173 SSIM=0.12490788526198178 UIQM=0.5856905826708663 UCIQE=0.5563538176108388
111_img_: PSNR=14.374520792286258 SSIM=0.5678308202527591 UIQM=0.5634680759538025 UCIQE=0.5154838074500917
112_img_: PSNR=20.245635206171432 SSIM=0.7178113751438912 UIQM=0.9187362309867024 UCIQE=0.581269026002328
11_img_: PSNR=15.544323209781055 SSIM=0.6713137338122274 UIQM=0.8973727184043074 UCIQE=0.5895176355801284
13_img_: PSNR=16.78144797765948 SSIM=0.6583481758489143 UIQM=0.9561605285426222 UCIQE=0.5588799607324122
14_img_: PSNR=21.953360325275895 SSIM=0.836163487974533 UIQM=0.9715036153136698 UCIQE=0.6126445190412984
15003: PSNR=17.74954264944258 SSIM=0.21636366409619706 UIQM=0.7495982503820375 UCIQE=0.49734641139009617
150_img_: PSNR=21.061764211897636 SSIM=0.7293251161862119 UIQM=0.9497464067890322 UCIQE=0.6119767981174937
15544: PSNR=17.52275267828481 SSIM=0.4270952999073906 UIQM=0.30867420540694 UCIQE=0.4839297827323244
15_img_: PSNR=17.93803813680038 SSIM=0.7265431245230345 UIQM=0.8697963632417514 UCIQE=0.6110562449671318
169_img_: PSNR=14.133599655819886 SSIM=0.3491002346262905 UIQM=0.907900497599061 UCIQE=0.49041323104387075
16_img_: PSNR=20.42365849174108 SSIM=0.5737118903688493 UIQM=0.9408293225659776 UCIQE=0.5416808859048258
17_img_: PSNR=19.433019751820094 SSIM=0.765064744653313 UIQM=1.1472415849029247 UCIQE=0.6148025106412145
18_img_: PSNR=13.829494988052549 SSIM=0.29456635216021304 UIQM=0.7958049525904669 UCIQE=0.49807771871670625
19_img_: PSNR=18.35900724548306 SSIM=0.6303510611888746 UIQM=0.9611530099826628 UCIQE=0.5798287832241796
20: PSNR=19.94338369785981 SSIM=0.6947717745806606 UIQM=0.9069979419803986 UCIQE=0.589137760930341
22_img_: PSNR=19.47202616359377 SSIM=0.7614810846912128 UIQM=1.0529260987155395 UCIQE=0.5784806165028022
23_img_: PSNR=19.463380090433425 SSIM=0.6517309049233893 UIQM=1.030302752100395 UCIQE=0.6095725996717185
24_img_: PSNR=19.291087575158027 SSIM=0.7226874409176183 UIQM=1.052605627755582 UCIQE=0.5749942334282191
282_img_: PSNR=17.586270004422882 SSIM=0.5758784822472476 UIQM=1.0213446737027354 UCIQE=0.5944655800954218
284_img_: PSNR=20.574162539348208 SSIM=0.6951499746096969 UIQM=1.1332094124471694 UCIQE=0.5951354219186722
288_img_: PSNR=22.88168064045442 SSIM=0.8329000671271787 UIQM=0.9681775526773166 UCIQE=0.5674838235744095
290_img_: PSNR=22.553930487147248 SSIM=0.8395682585432414 UIQM=0.9523368850973302 UCIQE=0.5646601303761583
292_img_: PSNR=17.711543785686427 SSIM=0.7089317259519259 UIQM=0.721066368713114 UCIQE=0.5751390464522681
293_img_: PSNR=16.857125529401003 SSIM=0.23001396883966135 UIQM=0.7578000669495729 UCIQE=0.5396352110403625
294_img_: PSNR=14.428065290682497 SSIM=0.48180820969204 UIQM=0.7536991453866974 UCIQE=0.49568727386419975
