104_img_: PSNR=23.667202275813434 SSIM=0.9213469419662137 UIQM=0.5405759188379379 UCIQE=0.5704143922297005
10_img_: PSNR=15.589105969333275 SSIM=0.22218909441835272 UIQM=0.513681961254691 UCIQE=0.6098643378563439
111_img_: PSNR=20.595732539382507 SSIM=0.759862977676707 UIQM=0.4774263500840137 UCIQE=0.5408878894448855
112_img_: PSNR=20.112207432112438 SSIM=0.7366277360139626 UIQM=0.9166226374898395 UCIQE=0.5890516058980363
11_img_: PSNR=15.36092830367663 SSIM=0.6985778947577364 UIQM=0.9774140065272782 UCIQE=0.6374972028659909
13_img_: PSNR=17.805759879648008 SSIM=0.758454494236562 UIQM=0.9630804388477402 UCIQE=0.5770247524378226
14_img_: PSNR=22.366511601454842 SSIM=0.8330813645096891 UIQM=0.975472618503388 UCIQE=0.6196288097042268
15003: PSNR=18.360004233316676 SSIM=0.13999600822543418 UIQM=0.6740486322335986 UCIQE=0.5041886712918832
150_img_: PSNR=22.32236752389874 SSIM=0.7502180712557829 UIQM=0.9266418092288202 UCIQE=0.6057149310192131
15544: PSNR=19.825353836752054 SSIM=0.5745357449712896 UIQM=0.4669259053768873 UCIQE=0.5408997930346777
15_img_: PSNR=18.809516291458653 SSIM=0.7492285812675759 UIQM=1.0119407290882982 UCIQE=0.6456487004891996
169_img_: PSNR=17.118954823241474 SSIM=0.5752449958975288 UIQM=1.2346996855021937 UCIQE=0.5518429880050366
16_img_: PSNR=21.6530542682677 SSIM=0.6357936724731345 UIQM=0.9908607955668223 UCIQE=0.566132289454314
17_img_: PSNR=20.629062874505376 SSIM=0.7598685302222767 UIQM=1.1209100062470565 UCIQE=0.6287449417680836
18_img_: PSNR=15.962913332742442 SSIM=0.3582324041710456 UIQM=0.801949458613477 UCIQE=0.5134527387345238
19_img_: PSNR=19.387154850584768 SSIM=0.6882992484644703 UIQM=1.026152358749629 UCIQE=0.6079397847665494
20: PSNR=19.537722195311737 SSIM=0.6451379295679985 UIQM=0.9854874003582497 UCIQE=0.5983534534738477
22_img_: PSNR=19.823340673670057 SSIM=0.7734590649002098 UIQM=1.0150746043810785 UCIQE=0.5694159350347857
23_img_: PSNR=20.93717129798083 SSIM=0.7011110646700127 UIQM=1.0158513711514279 UCIQE=0.6048119073354189
24_img_: PSNR=19.27324346477128 SSIM=0.7195202972158479 UIQM=1.0134428770960715 UCIQE=0.580187064843427
282_img_: PSNR=19.002880785171953 SSIM=0.7383264415429637 UIQM=1.1363597775215495 UCIQE=0.624708809674507
284_img_: PSNR=22.664655113457627 SSIM=0.7447652795652422 UIQM=1.1512685033042676 UCIQE=0.6419347118217359
288_img_: PSNR=23.213277046346313 SSIM=0.834448732727989 UIQM=1.0079850924234544 UCIQE=0.5504585537182108
