104_img_.png: NIQE=47.06423998479711  with dealing time: 70.96843886375427
10_img_.png: NIQE=41.7034607597222  with dealing time: 74.15041136741638
111_img_.png: NIQE=50.13588842142254  with dealing time: 78.75620245933533
112_img_.png: NIQE=41.68673766261156  with dealing time: 99.80114769935608
11_img_.png: NIQE=39.22071143405551  with dealing time: 94.72732067108154
13_img_.png: NIQE=39.200688607491315  with dealing time: 95.87441563606262
14_img_.png: NIQE=52.20843779185598  with dealing time: 101.83179140090942
15003.png: NIQE=42.91808384880906  with dealing time: 98.21930932998657
150_img_.png: NIQE=41.85777138406093  with dealing time: 99.33606338500977
15544.png: NIQE=40.56735479532123  with dealing time: 89.48797130584717
15_img_.png: NIQE=36.27715342814349  with dealing time: 99.52715849876404
169_img_.png: NIQE=36.61721720803135  with dealing time: 82.68185520172119
16_img_.png: NIQE=38.705783846285925  with dealing time: 78.93331146240234
17_img_.png: NIQE=37.801901869646  with dealing time: 87.31497287750244
18_img_.png: NIQE=39.09794919937578  with dealing time: 91.92583560943604
19_img_.png: NIQE=31.89332439791691  with dealing time: 90.74634838104248
20.png: NIQE=34.92996251264485  with dealing time: 80.33360648155212
22_img_.png: NIQE=42.75901560490927  with dealing time: 92.9214916229248
23_img_.png: NIQE=36.485351031792014  with dealing time: 111.5081992149353
24_img_.png: NIQE=55.24109014704664  with dealing time: 102.10721826553345
282_img_.png: NIQE=41.115841831018294  with dealing time: 102.92705059051514
284_img_.png: NIQE=45.04566335435009  with dealing time: 85.00145173072815
288_img_.png: NIQE=42.631730743662736  with dealing time: 88.99540615081787
290_img_.png: NIQE=42.916504479389324  with dealing time: 98.1630425453186
292_img_.png: NIQE=41.66622882478969  with dealing time: 94.77120423316956
293_img_.png: NIQE=40.02913495394629  with dealing time: 81.2399685382843
294_img_.png: NIQE=39.79998027778881  with dealing time: 99.94529604911804
295_img_.png: NIQE=42.749435320812054  with dealing time: 75.35618042945862
299_img_.png: NIQE=51.8557804821356  with dealing time: 91.77920961380005
2_img_.png: NIQE=38.48179770636562  with dealing time: 88.21441149711609
300_img_.png: NIQE=47.105555278603035  with dealing time: 83.22325253486633
