104_img_: PSNR=28.334316509344237 SSIM=0.9719456400306201 UIQM=0.3819631197493466 UCIQE=0.620597772349869
10_img_: PSNR=16.124751656635723 SSIM=0.2636022590700388 UIQM=0.34915485270092095 UCIQE=0.6441525728488458
111_img_: PSNR=23.363641782333797 SSIM=0.8604026263065461 UIQM=0.282655851427703 UCIQE=0.5433387384521068
112_img_: PSNR=22.16987984315604 SSIM=0.8626749089275472 UIQM=0.8110001419368846 UCIQE=0.5811534545577962
11_img_: PSNR=16.56623980890901 SSIM=0.6948826804830054 UIQM=0.861718297368838 UCIQE=0.6689538354722429
13_img_: PSNR=20.368611141216945 SSIM=0.8878895035622445 UIQM=0.7434766122090645 UCIQE=0.6086177232125485
14_img_: PSNR=29.971562179830116 SSIM=0.9675373656696584 UIQM=0.8639728767651099 UCIQE=0.6677705050710508
15003: PSNR=22.540416189257265 SSIM=0.9471627722132316 UIQM=0.054949503060501725 UCIQE=0.4547164644743934
150_img_: PSNR=18.351649530134782 SSIM=0.7958736572733488 UIQM=0.9563058044223308 UCIQE=0.5871542275655707
15544: PSNR=19.909853721593432 SSIM=0.8361304058239822 UIQM=0.43906085746137413 UCIQE=0.5353185594642653
15_img_: PSNR=19.798975895645402 SSIM=0.8411489298610629 UIQM=1.0633493837570303 UCIQE=0.6923156373869956
169_img_: PSNR=23.84719580612744 SSIM=0.8686577449253344 UIQM=1.5530606905665183 UCIQE=0.5809588108285281
16_img_: PSNR=23.23595667026389 SSIM=0.8356215812305255 UIQM=1.0015727091384006 UCIQE=0.5783045263175659
17_img_: PSNR=21.439138558799414 SSIM=0.8836462813674398 UIQM=1.1918632555556918 UCIQE=0.6494710770964391
18_img_: PSNR=19.265570508092896 SSIM=0.5577441595040291 UIQM=0.6733010621458881 UCIQE=0.4984558473782351
19_img_: PSNR=19.881494855090946 SSIM=0.7690655894075323 UIQM=1.0196157700089146 UCIQE=0.6477868370160295
20: PSNR=22.923873862161535 SSIM=0.7989320816630208 UIQM=0.9730775997057246 UCIQE=0.6318420136720313
22_img_: PSNR=19.10947457943237 SSIM=0.8489826900322799 UIQM=0.9717408488559555 UCIQE=0.5763539322167992
23_img_: PSNR=22.562620547772863 SSIM=0.9045427653336849 UIQM=1.145617207262784 UCIQE=0.623745639041826
24_img_: PSNR=19.799806836609072 SSIM=0.8048264033340626 UIQM=1.001580978604919 UCIQE=0.5725371818712055
282_img_: PSNR=19.05797336909224 SSIM=0.6836480574919841 UIQM=1.0849809503620684 UCIQE=0.6295547920368696
284_img_: PSNR=34.839019613780536 SSIM=0.960551087137403 UIQM=0.9687793840007186 UCIQE=0.6565738726009799
288_img_: PSNR=26.239156066860268 SSIM=0.9180117076133905 UIQM=0.9090351883844613 UCIQE=0.5857630272556872
290_img_: PSNR=22.853564887875034 SSIM=0.8854403234505176 UIQM=0.8803235018306264 UCIQE=0.5943983103242853
292_img_: PSNR=24.554990972068214 SSIM=0.932546959680711 UIQM=0.7134524771011636 UCIQE=0.6534204692283155
293_img_: PSNR=22.216702098564838 SSIM=0.6344093659329015 UIQM=0.8098069683323051 UCIQE=0.5993786689751001
294_img_: PSNR=19.747828169614998 SSIM=0.6420321814616544 UIQM=0.7566283172088776 UCIQE=0.548706633226146
295_img_: PSNR=28.60843476878663 SSIM=0.9035298044183482 UIQM=0.9872113050643193 UCIQE=0.695948594841499
299_img_: PSNR=15.12292138680567 SSIM=0.676880158851646 UIQM=0.5055576973145958 UCIQE=0.5757128972946477
2_img_: PSNR=20.360126556029904 SSIM=0.8505931542763147 UIQM=0.8702179484253998 UCIQE=0.6477377234574809
300_img_: PSNR=20.64099064640843 SSIM=0.7229449986808473 UIQM=0.6502959057468728 UCIQE=0.6192363988211624
301_img_: PSNR=26.501223557390855 SSIM=0.8424671497857315 UIQM=0.5667425143101348 UCIQE=0.5674644449444276
302_img_: PSNR=26.85326077231363 SSIM=0.9365783084359826 UIQM=0.4896639153698479 UCIQE=0.5705785133147458
303_img_: PSNR=26.415250181749 SSIM=0.9137563345736112 UIQM=0.7079119627271476 UCIQE=0.6098154762151288
304_img_: PSNR=29.449065462282697 SSIM=0.939824824461668 UIQM=1.4834266818641373 UCIQE=0.5836664775204221
305_img_: PSNR=26.707584316922496 SSIM=0.944162013563252 UIQM=0.7420568477227465 UCIQE=0.6168360656072585
306_img_: PSNR=20.422782665592337 SSIM=0.7959663840640101 UIQM=0.4830180500775867 UCIQE=0.5653681244331588
307_img_: PSNR=23.584971719472357 SSIM=0.5100747440314937 UIQM=0.8843874663058648 UCIQE=0.592270664846796
30_img_: PSNR=27.161176900189737 SSIM=0.9077380641113098 UIQM=1.1483753531693304 UCIQE=0.676444192453875
311_img_: PSNR=20.619600590616795 SSIM=0.7901270121911683 UIQM=0.9101164112349192 UCIQE=0.5747707003397524
312_img_: PSNR=26.42565244012669 SSIM=0.9423021455680235 UIQM=0.9546434750187781 UCIQE=0.6676106202732062
313_img_: PSNR=32.453098321059734 SSIM=0.9480139143790289 UIQM=0.9197306234059706 UCIQE=0.6161909713304157
314_img_: PSNR=26.84005512547186 SSIM=0.943742929052027 UIQM=0.6229830715198172 UCIQE=0.6018476240274083
315_img_: PSNR=33.90896657523389 SSIM=0.9575180121552149 UIQM=1.0128638318437306 UCIQE=0.6137214755612437
316_img_: PSNR=23.572375195237502 SSIM=0.870409357662755 UIQM=0.9877951245601874 UCIQE=0.675530691864724
317_img_: PSNR=30.229665968259816 SSIM=0.9533210930404713 UIQM=0.8451512967553185 UCIQE=0.6516234277745314
318_img_: PSNR=22.976868491198033 SSIM=0.9327387476171782 UIQM=0.765762070629076 UCIQE=0.6272298588226622
319_img_: PSNR=27.17503868997747 SSIM=0.930653923262521 UIQM=0.6365383952650213 UCIQE=0.6307550177388298
320_img_: PSNR=25.9993161913144 SSIM=0.9435260901668256 UIQM=1.0874366909989215 UCIQE=0.6686487374817137
322_img_: PSNR=26.833466264523725 SSIM=0.912361501016804 UIQM=0.9640007208832384 UCIQE=0.6175989157801534
323_img_: PSNR=33.110402827300234 SSIM=0.9761475466603423 UIQM=0.6326035140582184 UCIQE=0.6123581890578993
324_img_: PSNR=29.432415485657796 SSIM=0.9611138834815534 UIQM=0.7562047947081904 UCIQE=0.6227395314845593
325_img_: PSNR=27.81293316483143 SSIM=0.9297741992380721 UIQM=0.8142587694914528 UCIQE=0.6428416910896024
326_img_: PSNR=29.061797449425942 SSIM=0.9552671494722593 UIQM=0.8798197836066329 UCIQE=0.6755036003842393
