100001.png: NIQE=55.322228974671596  with dealing time: 72.84402322769165
10091.png: NIQE=38.84071608148122  with dealing time: 75.12022948265076
10103.png: NIQE=38.93740451107563  with dealing time: 82.02847337722778
10167.png: NIQE=36.570671105793046  with dealing time: 92.33863306045532
102.png: NIQE=49.97958685075213  with dealing time: 99.34583759307861
10226.png: NIQE=46.02705898540933  with dealing time: 111.2611026763916
10475.png: NIQE=56.71730455843878  with dealing time: 103.67179274559021
10488.png: NIQE=52.577317545685254  with dealing time: 92.6981029510498
12191.png: NIQE=34.08933944174602  with dealing time: 96.14334034919739
12203.png: NIQE=35.90993063757424  with dealing time: 85.96593356132507
12228.png: NIQE=49.71064900442361  with dealing time: 97.40117859840393
12565.png: NIQE=35.99264967749415  with dealing time: 82.58660340309143
12577.png: NIQE=34.25363418729477  with dealing time: 76.92731475830078
12625.png: NIQE=51.25966094521493  with dealing time: 96.76445770263672
12709.png: NIQE=47.59696885648053  with dealing time: 98.32550144195557
12753.png: NIQE=52.153074485515624  with dealing time: 75.97319173812866
12960.png: NIQE=66.59709436545414  with dealing time: 85.94379878044128
12972.png: NIQE=53.21921408681142  with dealing time: 103.66936135292053
13252.png: NIQE=48.148271801162544  with dealing time: 105.63321495056152
13259.png: NIQE=41.8869383422097  with dealing time: 103.59204030036926
15603.png: NIQE=41.9107601773881  with dealing time: 112.01491165161133
15735.png: NIQE=40.4362050815824  with dealing time: 86.44797015190125
15738.png: NIQE=36.96249450769019  with dealing time: 93.41870784759521
15740.png: NIQE=72.6975656759343  with dealing time: 115.24413228034973
15774.png: NIQE=54.33680807282793  with dealing time: 79.0456531047821
15775.png: NIQE=67.3236018197305  with dealing time: 100.7010452747345
2.png: NIQE=43.6957681054308  with dealing time: 86.07561707496643
2575.png: NIQE=40.83119454384017  with dealing time: 79.70834875106812
2583.png: NIQE=47.505937512098235  with dealing time: 90.22642111778259
2856.png: NIQE=41.682255641333875  with dealing time: 83.77818155288696
3027.png: NIQE=32.00550226669982  with dealing time: 93.26025462150574
3051.png: NIQE=32.33714629327177  with dealing time: 87.35158014297485
3087.png: NIQE=33.26211625630786  with dealing time: 89.43726778030396
3175.png: NIQE=57.08248496590738  with dealing time: 81.77249073982239
3201.png: NIQE=46.70957782891414  with dealing time: 69.69845390319824
3279.png: NIQE=47.63858910710357  with dealing time: 76.97706604003906
34.png: NIQE=39.92479097707683  with dealing time: 79.78856921195984
3494.png: NIQE=44.30312855599612  with dealing time: 97.69104146957397
3519.png: NIQE=43.315810628288204  with dealing time: 95.30338668823242
358_img_.png: NIQE=44.962133334503015  with dealing time: 98.99837732315063
432.png: NIQE=82.49867320029183  with dealing time: 101.6350884437561
5.png: NIQE=54.447935767759475  with dealing time: 111.10419011116028
52.png: NIQE=35.69117224924258  with dealing time: 86.6908130645752
579.png: NIQE=42.65789827509762  with dealing time: 100.71776843070984
605.png: NIQE=41.97554298168677  with dealing time: 108.5460102558136
616.png: NIQE=40.020706099959106  with dealing time: 101.52726459503174
627.png: NIQE=33.421884906699816  with dealing time: 102.98785090446472
6333.png: NIQE=80.79598826584188  with dealing time: 80.69854950904846
6340.png: NIQE=56.4273340205635  with dealing time: 81.76855635643005
643_img_.png: NIQE=33.90740734424487  with dealing time: 84.31276369094849
6527.png: NIQE=53.85101541488385  with dealing time: 81.75755620002747
7277.png: NIQE=37.79757911432239  with dealing time: 78.57855486869812
7291.png: NIQE=43.806060888835106  with dealing time: 79.72031998634338
770.png: NIQE=36.34235706676092  with dealing time: 90.47732663154602
866.png: NIQE=44.62849934751997  with dealing time: 81.96189332008362
880.png: NIQE=43.223028060610424  with dealing time: 78.31667852401733
9553.png: NIQE=43.29547003956533  with dealing time: 76.65688371658325
9602.png: NIQE=37.78625196221167  with dealing time: 73.41576886177063
9607.png: NIQE=32.900798188997996  with dealing time: 70.220294713974
9618.png: NIQE=45.286452468850264  with dealing time: 74.047776222229

60 Image Average: NIQE=45.92459402434267, TimePerImage=89.67192528645198, SumTime = 5380.3155171871185s

