1.png: uiqm=0.23202852466795199, uciqe=0.5778597384648171
10.png: uiqm=0.9763152378771975, uciqe=0.5596244917473496
11.png: uiqm=0.49559613627361276, uciqe=0.5095160041597131
12.png: uiqm=0.8813373803769641, uciqe=0.5639435090344685
13.png: uiqm=0.8723592987065251, uciqe=0.5892399507872673
14.png: uiqm=0.44823078593767884, uciqe=0.5544646402058111
15.png: uiqm=0.8146295640351919, uciqe=0.5902224876080496
16.png: uiqm=0.9974763691055188, uciqe=0.5547666109968573
17.png: uiqm=0.6713186880256201, uciqe=0.5953564135949526
18.png: uiqm=0.8337776865801875, uciqe=0.6677634821323617
19.png: uiqm=0.7343015619695376, uciqe=0.6426405042265131
2.png: uiqm=0.5546735537167887, uciqe=0.6213578645172558
20.png: uiqm=0.6744234369479182, uciqe=0.6208567362369171
21.png: uiqm=0.8485318443013781, uciqe=0.6771336047362734
22.png: uiqm=0.7543398862496008, uciqe=0.5667213588568986
23.png: uiqm=0.6720545996252824, uciqe=0.5707570589028874
24.png: uiqm=0.8995174459465151, uciqe=0.656124937870737
25.png: uiqm=0.8004177743998039, uciqe=0.6472732315270949
26.png: uiqm=0.5633709066221423, uciqe=0.5861066151864697
27.png: uiqm=0.8862494435299042, uciqe=0.6785437032346935
28.png: uiqm=0.9192500221432941, uciqe=0.6279868036044831
29.png: uiqm=0.9591490957574118, uciqe=0.5494530445668424
3.png: uiqm=0.7287355651267045, uciqe=0.5614196946527095
30.png: uiqm=0.1991940973872084, uciqe=0.5979324206779444
31.png: uiqm=0.9393987875752612, uciqe=0.5870508981008771
32.png: uiqm=0.9731026285234626, uciqe=0.570850310066548
33.png: uiqm=1.165684259134114, uciqe=0.546957385009739
34.png: uiqm=1.160116003532768, uciqe=0.5461535929976444
35.png: uiqm=1.055386564930218, uciqe=0.5430382349579704
36.png: uiqm=1.0671448243373334, uciqe=0.5479236077940696
37.png: uiqm=1.0604295524332792, uciqe=0.6235576956505264
38.png: uiqm=0.8161919151801538, uciqe=0.6065586106034397
39.png: uiqm=0.8421493067512682, uciqe=0.5194995939964104
4.png: uiqm=0.3638548997023189, uciqe=0.5240252867899329
40.png: uiqm=1.2008826422293046, uciqe=0.5242253705173585
41.png: uiqm=1.0350254768782898, uciqe=0.5362512851247204
42.png: uiqm=0.8518247135643486, uciqe=0.5560527069414192
43.png: uiqm=1.016583365042611, uciqe=0.5540096423956269
44.png: uiqm=0.8561568162349026, uciqe=0.5654031623141832
45.png: uiqm=1.0391709749506859, uciqe=0.5719284541175765
5.png: uiqm=0.6984558675478795, uciqe=0.5722925789183327
6.png: uiqm=0.5185473002290023, uciqe=0.5179184044157062
7.png: uiqm=0.634922925007917, uciqe=0.5355557795462509
8.png: uiqm=0.30709070852715936, uciqe=0.5521851102626162
9.png: uiqm=0.7214277565779864, uciqe=0.5807197999623095

Average: uiqm=0.7942405820933381, uciqe=0.5788716092891693

