1.jpg: uiqm=0.4419675726668477, uciqe=0.5359340990252539
10.jpg: uiqm=0.4641390212462706, uciqe=0.5599193577588868
100.jpg: uiqm=0.4865559590606547, uciqe=0.5253199156847843
101.jpg: uiqm=0.516814370266653, uciqe=0.5570434297826463
102.jpg: uiqm=0.4310482887750385, uciqe=0.5509573063460826
103.jpg: uiqm=0.445578149934327, uciqe=0.5434845165970459
104.jpg: uiqm=0.4722614485560962, uciqe=0.5437339379578785
105.jpg: uiqm=0.5402776666326651, uciqe=0.5459162943733333
106.jpg: uiqm=0.5327605860932951, uciqe=0.5405192922261629
107.jpg: uiqm=0.5348044817567398, uciqe=0.5172287062529594
108.jpg: uiqm=0.3944810357483988, uciqe=0.525708819152399
109.jpg: uiqm=0.47918071634278314, uciqe=0.5251616469822257
11.jpg: uiqm=0.47686379487135633, uciqe=0.5596943831289601
110.jpg: uiqm=0.43820298707339606, uciqe=0.5238476907331584
111.jpg: uiqm=0.32770399931736766, uciqe=0.551001722748174
112.jpg: uiqm=0.5284981988797557, uciqe=0.5252505125044417
113.jpg: uiqm=0.5452327647012137, uciqe=0.5255429083780271
114.jpg: uiqm=0.27737842515626104, uciqe=0.5291274609906639
115.jpg: uiqm=0.288898499655544, uciqe=0.5469446352801662
116.jpg: uiqm=0.6038202354130273, uciqe=0.5212264200772956
117.jpg: uiqm=0.6230330705722447, uciqe=0.5232247997420635
118.jpg: uiqm=0.6734730793449585, uciqe=0.5121462060718223
119.jpg: uiqm=0.5044290420065038, uciqe=0.5538999497406298
12.jpg: uiqm=0.4733980920581165, uciqe=0.55937278817987
120.jpg: uiqm=0.4125513568545303, uciqe=0.5302035051240465
121.jpg: uiqm=0.42939988513410865, uciqe=0.5280667463829544
122.jpg: uiqm=0.4507866600301353, uciqe=0.5367290764193865
123.jpg: uiqm=0.4227101972907572, uciqe=0.5373335130922712
124.jpg: uiqm=0.42249155909838954, uciqe=0.5402159173201654
125.jpg: uiqm=0.43737448989986605, uciqe=0.5363825790704182
126.jpg: uiqm=0.38393221478226497, uciqe=0.5324740529609285
127.jpg: uiqm=0.46341268684317566, uciqe=0.5145383050100372
128.jpg: uiqm=0.7071298690704324, uciqe=0.5068266242429009
129.jpg: uiqm=0.46297127966821955, uciqe=0.5520200798356119
13.jpg: uiqm=0.4712644337596509, uciqe=0.557822484998268
130.jpg: uiqm=0.5505337691742984, uciqe=0.5481331820087425
131.jpg: uiqm=0.4252027488560865, uciqe=0.5334103332652809
132.jpg: uiqm=0.4484582557788823, uciqe=0.5365249166045477
133.jpg: uiqm=0.2641756157988617, uciqe=0.5478164248718109
134.jpg: uiqm=0.6092362330107342, uciqe=0.5455848865036567
135.jpg: uiqm=0.5740340425160229, uciqe=0.5459146023239024
136.jpg: uiqm=0.5209991416900884, uciqe=0.5443667660723948
137.jpg: uiqm=0.4695961070408632, uciqe=0.5443795281012191
138.jpg: uiqm=0.2858395536358814, uciqe=0.5286106778146272
139.jpg: uiqm=0.23644105225960088, uciqe=0.5478523003128695
14.jpg: uiqm=0.35310054765215604, uciqe=0.5523591925286035
140.jpg: uiqm=0.3483357780879531, uciqe=0.5567442761246251
141.jpg: uiqm=0.6642072083556707, uciqe=0.5363044628525266
142.jpg: uiqm=0.3372138625215615, uciqe=0.5563519267568634
143.jpg: uiqm=0.29486354543588955, uciqe=0.5231799976986211
144.jpg: uiqm=0.3173838373411137, uciqe=0.5382203945367068
145.jpg: uiqm=0.3219299228793718, uciqe=0.5469125047277262
146.jpg: uiqm=0.4552747053709711, uciqe=0.5120355237597267
147.jpg: uiqm=0.4336768090203554, uciqe=0.5154923683570058
148.jpg: uiqm=0.6465376716556743, uciqe=0.5304838561010711
149.jpg: uiqm=0.26290370862338286, uciqe=0.5177658409396904
15.jpg: uiqm=0.3286621643584559, uciqe=0.5471018376425081
150.jpg: uiqm=0.2849076730461424, uciqe=0.5144995030290657
151.jpg: uiqm=0.6271624771035059, uciqe=0.5332959292490929
152.jpg: uiqm=0.2868639087694979, uciqe=0.5149412494313739
153.jpg: uiqm=0.49457204276867056, uciqe=0.5377234121680898
154.jpg: uiqm=0.6254094897951556, uciqe=0.5356492713107016
155.jpg: uiqm=0.250029492646059, uciqe=0.48690853070047435
156.jpg: uiqm=0.6220367116952317, uciqe=0.5588462389415277
157.jpg: uiqm=0.22539227568550302, uciqe=0.5010103068741739
158.jpg: uiqm=0.22386507163167968, uciqe=0.5039593549077734
159.jpg: uiqm=0.33782747817050973, uciqe=0.5098336615225361
16.jpg: uiqm=0.48953804524365707, uciqe=0.5243433240762352
160.jpg: uiqm=0.20755595410236966, uciqe=0.5067923850494065
