104_img_: PSNR=23.113322899197524 SSIM=0.8819740408076018 UIQM=0.5707315005565234 UCIQE=0.6308347890703173
10_img_: PSNR=17.682236720305312 SSIM=0.36709685937890635 UIQM=0.4329752325888586 UCIQE=0.6408021534988074
111_img_: PSNR=19.375735892898888 SSIM=0.8299250166741211 UIQM=0.4387207332937614 UCIQE=0.5491606142289838
112_img_: PSNR=22.30947028896271 SSIM=0.8291281184782262 UIQM=0.7535147380376392 UCIQE=0.5910659959302205
11_img_: PSNR=13.862190737787717 SSIM=0.5491225812043911 UIQM=0.9054428538672173 UCIQE=0.6784511794623992
13_img_: PSNR=17.010926039235713 SSIM=0.7307059041507582 UIQM=0.8568169060992048 UCIQE=0.6252025112639759
14_img_: PSNR=23.304666738355827 SSIM=0.931841005521262 UIQM=0.9176595055918899 UCIQE=0.6640601864284311
15003: PSNR=20.328039068068612 SSIM=0.9321791542050206 UIQM=0.16656980360993956 UCIQE=0.5013467605440082
150_img_: PSNR=21.13034410041649 SSIM=0.818796796654762 UIQM=0.9275259816083651 UCIQE=0.6032382624599258
15544: PSNR=20.837251210612564 SSIM=0.7848002908008376 UIQM=0.014923885593084996 UCIQE=0.5375757380355828
15_img_: PSNR=18.073682001397017 SSIM=0.7870728424906979 UIQM=1.1196660509513499 UCIQE=0.6979317716245659
169_img_: PSNR=20.04236146296475 SSIM=0.7559477946422302 UIQM=1.4080285179065561 UCIQE=0.581710268555237
16_img_: PSNR=21.404106195181726 SSIM=0.7379813685054332 UIQM=0.9619354205728827 UCIQE=0.5930091055472009
17_img_: PSNR=20.371542479001782 SSIM=0.842592564973013 UIQM=1.2907547409421105 UCIQE=0.6638012018922375
18_img_: PSNR=16.25801016137637 SSIM=0.47252321545928455 UIQM=0.6711834217190307 UCIQE=0.4537730661778133
19_img_: PSNR=19.31208884897505 SSIM=0.8169952011275157 UIQM=1.0913881687246767 UCIQE=0.6548180425936432
20: PSNR=21.519943442991543 SSIM=0.7945873595193783 UIQM=1.2214288596204794 UCIQE=0.6440103447141757
22_img_: PSNR=19.61793592473058 SSIM=0.7648683393744025 UIQM=0.9853867848950698 UCIQE=0.6030981515427617
23_img_: PSNR=21.209575543423547 SSIM=0.7741367798348135 UIQM=1.2023581313684262 UCIQE=0.6409825310414563
24_img_: PSNR=19.580142918212218 SSIM=0.7503911313837098 UIQM=0.9137187001211109 UCIQE=0.5891318170934134
282_img_: PSNR=16.099762927116824 SSIM=0.44248553992593515 UIQM=1.14080777529124 UCIQE=0.6567487184462202
284_img_: PSNR=30.869924480818117 SSIM=0.8943682843199519 UIQM=1.0249450233398776 UCIQE=0.6500705045409008
288_img_: PSNR=26.54909597642063 SSIM=0.7382089774920697 UIQM=0.88934460169624 UCIQE=0.5843064784542832
290_img_: PSNR=21.61286900838684 SSIM=0.8798000215676934 UIQM=0.9368225768496751 UCIQE=0.6015175916440301
292_img_: PSNR=21.745462470568057 SSIM=0.9122145741648132 UIQM=0.3551767888200732 UCIQE=0.6414126139846172
293_img_: PSNR=20.12217506794855 SSIM=0.5846185934476011 UIQM=0.9689046092813434 UCIQE=0.575692232449693
294_img_: PSNR=22.835711943262915 SSIM=0.822475822157564 UIQM=0.7030206085817041 UCIQE=0.5461746078545763
295_img_: PSNR=24.4079136881545 SSIM=0.8441126646422419 UIQM=1.0519099718918057 UCIQE=0.702340285213841
299_img_: PSNR=11.719843840499852 SSIM=0.1510548968595846 UIQM=0.5130979613834771 UCIQE=0.5674949542593317
2_img_: PSNR=17.82210388768443 SSIM=0.8508609148863048 UIQM=0.9633264978211274 UCIQE=0.7165074897153707
300_img_: PSNR=19.333345777697218 SSIM=0.5829130711898118 UIQM=0.6808878831930746 UCIQE=0.6061885193283542
301_img_: PSNR=21.85071029493518 SSIM=0.6322806091288591 UIQM=0.6480253732975858 UCIQE=0.617462317545884
302_img_: PSNR=25.62215423909221 SSIM=0.8295924939839765 UIQM=0.57917519261591 UCIQE=0.5915763088676266
303_img_: PSNR=25.067031035028048 SSIM=0.7922093740967903 UIQM=0.7624573294380218 UCIQE=0.6055135099464254
304_img_: PSNR=24.59911236094981 SSIM=0.7971138918175958 UIQM=1.0377911251101772 UCIQE=0.5549155939232115
305_img_: PSNR=22.175148882543162 SSIM=0.8625768610440174 UIQM=0.8476539533384748 UCIQE=0.6433775020217906
306_img_: PSNR=18.32495270070009 SSIM=0.6659517638305683 UIQM=0.43001417349438253 UCIQE=0.567030835569929
307_img_: PSNR=24.72847326348211 SSIM=0.617152789456747 UIQM=0.8354426521907806 UCIQE=0.5820053967733998
30_img_: PSNR=26.02890808697106 SSIM=0.9130054752231925 UIQM=1.241412554387268 UCIQE=0.6742243638419939
311_img_: PSNR=22.49463513522571 SSIM=0.8726297573692365 UIQM=0.8326933103880308 UCIQE=0.5901869851515579
312_img_: PSNR=27.448616495216022 SSIM=0.8752268863291179 UIQM=1.0441910694004872 UCIQE=0.672411719418409
313_img_: PSNR=25.376567225223518 SSIM=0.9451707666252468 UIQM=0.9254108643563862 UCIQE=0.632448274009717
314_img_: PSNR=24.60989695117767 SSIM=0.8254213571750402 UIQM=0.6848350495173255 UCIQE=0.621930118581496
315_img_: PSNR=28.343890185215002 SSIM=0.9238169326764004 UIQM=1.0979147555558801 UCIQE=0.6076005974737292
316_img_: PSNR=20.616448305114183 SSIM=0.6763373689684716 UIQM=1.1333279218059047 UCIQE=0.6925633444802359
317_img_: PSNR=27.727552200151194 SSIM=0.9140021306581549 UIQM=0.9063878568702687 UCIQE=0.6685225137708245
318_img_: PSNR=25.30101146408338 SSIM=0.9159524071249615 UIQM=0.8542700283526796 UCIQE=0.6493097757122707
319_img_: PSNR=27.226583070178705 SSIM=0.9405353895043929 UIQM=0.7270353410355479 UCIQE=0.6534347657622264
320_img_: PSNR=23.973371338642615 SSIM=0.9561004263490589 UIQM=1.140004680010624 UCIQE=0.6800125397383835
322_img_: PSNR=25.951749955530957 SSIM=0.7440563880889949 UIQM=0.6747590711466483 UCIQE=0.61500797291497
323_img_: PSNR=23.36769171121263 SSIM=0.80693691947019 UIQM=0.5559962962416581 UCIQE=0.5944512088797327
324_img_: PSNR=26.250180426923137 SSIM=0.9360176305515338 UIQM=0.8611666583363117 UCIQE=0.648037690659941
325_img_: PSNR=27.383742583174623 SSIM=0.9063086573763051 UIQM=0.8560954911575184 UCIQE=0.6275322626454949
326_img_: PSNR=27.441452969180375 SSIM=0.9388350075498424 UIQM=0.9384758132600579 UCIQE=0.6706836650514922
327_img_: PSNR=26.628687848851385 SSIM=0.9054354341865071 UIQM=0.2701104103065902 UCIQE=0.6505799130269513
330_img_: PSNR=22.282907481655343 SSIM=0.6390785282786431 UIQM=0.18349278451295958 UCIQE=0.604266090563786
332_img_: PSNR=24.73078661947222 SSIM=0.8973865329292122 UIQM=0.5013290005794603 UCIQE=0.6063181127402895
334_img_: PSNR=29.691286608289744 SSIM=0.9459671602740385 UIQM=1.2950484837271066 UCIQE=0.6865092546156402
336_img_: PSNR=27.522621213827048 SSIM=0.8395644898987873 UIQM=0.8428293390412135 UCIQE=0.6598279234572544
337_img_: PSNR=18.683299202256947 SSIM=0.7598099785944628 UIQM=0.6463992870561728 UCIQE=0.6126857179118312
338_img_: PSNR=18.6730443668787 SSIM=0.7656030886010237 UIQM=0.6092461281546937 UCIQE=0.6490325991563174
340_img_: PSNR=27.282469770929744 SSIM=0.9407891660514733 UIQM=0.5507514701889956 UCIQE=0.6691960066318811
341_img_: PSNR=25.893239861618834 SSIM=0.9108906582157154 UIQM=0.5824677711694993 UCIQE=0.6564862321442284
342_img_: PSNR=30.84599016047571 SSIM=0.8917043292226461 UIQM=0.9050195632853348 UCIQE=0.5166455016439901
343_img_: PSNR=27.77848515133209 SSIM=0.9197331972641372 UIQM=0.8290693504403785 UCIQE=0.6075523422205634
346_img_: PSNR=22.08095915109382 SSIM=0.7728330635999577 UIQM=1.1721890184512547 UCIQE=0.6363334626500461
347_img_: PSNR=25.027904503459414 SSIM=0.8232947855409373 UIQM=0.8112134449897769 UCIQE=0.6344750361909455
348_img_: PSNR=21.890468073289632 SSIM=0.4908045317299334 UIQM=0.6022943471424597 UCIQE=0.5948073270472548
350_img_: PSNR=31.202001251245672 SSIM=0.8964982376044796 UIQM=1.0469949355993782 UCIQE=0.6600318917134771
351_img_: PSNR=24.684486185990075 SSIM=0.9334060291627566 UIQM=0.9939474923211218 UCIQE=0.6456728693772134
353_img_: PSNR=19.71421021095707 SSIM=0.6365671291166781 UIQM=1.0437236295399317 UCIQE=0.6166859842480996
355_img_: PSNR=25.502129957439266 SSIM=0.8310860473596731 UIQM=0.3365242946069188 UCIQE=0.5894430629066592
356_img_: PSNR=22.42570116844195 SSIM=0.8311203165709447 UIQM=0.7628215766338873 UCIQE=0.6842255044328027
359_img_: PSNR=23.55269787065569 SSIM=0.8720293398661392 UIQM=0.7306611710367961 UCIQE=0.6666372622358492
360_img_: PSNR=25.883003233148322 SSIM=0.9017454021005249 UIQM=0.17545190056308668 UCIQE=0.6087906828640259
361_img_: PSNR=23.401733581290372 SSIM=0.8941178083693844 UIQM=0.4053423283219755 UCIQE=0.6219122854909322
362_img_: PSNR=17.573931780333638 SSIM=0.8588572365591927 UIQM=0.24941568650534884 UCIQE=0.5184085586032385
363_img_: PSNR=24.219672015409873 SSIM=0.8790656235311561 UIQM=0.05027034495133065 UCIQE=0.5932297002296297
364_img_: PSNR=24.108204131304433 SSIM=0.8999448285551803 UIQM=0.011057341497482498 UCIQE=0.6310293871118933
366_img_: PSNR=19.02064559152017 SSIM=0.7993436237186755 UIQM=0.8300999841020453 UCIQE=0.6504255294578459
367_img_: PSNR=25.70211814822383 SSIM=0.8499983710984784 UIQM=0.7288613587888229 UCIQE=0.6286282834697455
3_img_: PSNR=19.850782189474565 SSIM=0.8032372181148245 UIQM=0.8981704094438125 UCIQE=0.642497516229037
4: PSNR=20.898644475199987 SSIM=0.8856938042631951 UIQM=0.654219387833619 UCIQE=0.6464518564825925
406_img_: PSNR=19.723311284993837 SSIM=0.7563087784735363 UIQM=0.8935227331232426 UCIQE=0.6041635293152423
419_img_: PSNR=20.947280775193292 SSIM=0.8048028015245484 UIQM=0.42788629424823843 UCIQE=0.5990667547102735
41_img_: PSNR=23.032017262954554 SSIM=0.8162487569296571 UIQM=1.2156663967402517 UCIQE=0.6049955513328437
421_img_: PSNR=20.944903573308864 SSIM=0.8646242813561414 UIQM=0.6319261934933063 UCIQE=0.6986151764727976
460_img_: PSNR=20.329666738998636 SSIM=0.8114914281720439 UIQM=0.8540177247926911 UCIQE=0.6861811614790243
466_img_: PSNR=26.919934396267976 SSIM=0.9341287908479061 UIQM=0.9978907915834806 UCIQE=0.646387177429298
471_img_: PSNR=17.038822350396995 SSIM=0.20656079751251516 UIQM=0.19197693914509806 UCIQE=0.4646172180956246
472_img_: PSNR=18.46836997922335 SSIM=0.34315279247573477 UIQM=0.5071357243313883 UCIQE=0.5124296659611927
