1.jpg: NIQE=40.802376666772794  with dealing time: 82.44986844062805
10.jpg: NIQE=32.759045557256265  with dealing time: 75.22363615036011
100.jpg: NIQE=39.27405126440757  with dealing time: 87.91576647758484
101.jpg: NIQE=32.004154965265215  with dealing time: 79.8371205329895
102.jpg: NIQE=37.4151762312944  with dealing time: 81.59686589241028
103.jpg: NIQE=37.278891329876444  with dealing time: 83.18736171722412
104.jpg: NIQE=37.32645943211744  with dealing time: 82.09501504898071
105.jpg: NIQE=47.66241951782595  with dealing time: 82.09328246116638
106.jpg: NIQE=46.373950279974984  with dealing time: 83.86206030845642
107.jpg: NIQE=36.015119908515565  with dealing time: 81.52889633178711
108.jpg: NIQE=41.18067202516368  with dealing time: 81.8782377243042
109.jpg: NIQE=42.96979198826452  with dealing time: 79.86185336112976
11.jpg: NIQE=31.957186367756915  with dealing time: 77.85827875137329
110.jpg: NIQE=49.15426116965765  with dealing time: 76.74662208557129
111.jpg: NIQE=49.11333903618394  with dealing time: 78.01117706298828
112.jpg: NIQE=41.79153959683123  with dealing time: 73.67154312133789
113.jpg: NIQE=44.38499199182992  with dealing time: 74.52530360221863
114.jpg: NIQE=53.99203993365792  with dealing time: 77.61371731758118
115.jpg: NIQE=50.99449009378206  with dealing time: 76.73021197319031
116.jpg: NIQE=36.90222183920028  with dealing time: 67.84876585006714
117.jpg: NIQE=37.45637482886361  with dealing time: 75.65725207328796
118.jpg: NIQE=45.07628429681  with dealing time: 76.088387966156
119.jpg: NIQE=40.82627919901502  with dealing time: 69.48316860198975
12.jpg: NIQE=33.36288323213949  with dealing time: 70.41970801353455
120.jpg: NIQE=43.17176098471602  with dealing time: 72.19144535064697
121.jpg: NIQE=40.36194891527557  with dealing time: 72.02438282966614
122.jpg: NIQE=38.049499998071354  with dealing time: 74.48538279533386
123.jpg: NIQE=38.34586721492264  with dealing time: 80.07944059371948
124.jpg: NIQE=39.97190137510818  with dealing time: 76.90214848518372
125.jpg: NIQE=40.296568508490836  with dealing time: 75.7877106666565
126.jpg: NIQE=38.68075719802224  with dealing time: 81.27910614013672
127.jpg: NIQE=40.31668063210818  with dealing time: 81.47391891479492
128.jpg: NIQE=38.2879892411418  with dealing time: 71.09424138069153
129.jpg: NIQE=37.330340310214524  with dealing time: 72.49262976646423
13.jpg: NIQE=36.68490245665969  with dealing time: 73.34976816177368
130.jpg: NIQE=40.393130878874565  with dealing time: 68.0302324295044
131.jpg: NIQE=42.16291404520656  with dealing time: 70.64832305908203
132.jpg: NIQE=39.18634130522841  with dealing time: 70.99762153625488
133.jpg: NIQE=36.81496851627874  with dealing time: 75.38479566574097
134.jpg: NIQE=35.69731867804514  with dealing time: 75.28022933006287
135.jpg: NIQE=38.74817062819856  with dealing time: 73.96440768241882
136.jpg: NIQE=39.065917130304804  with dealing time: 74.04473495483398
137.jpg: NIQE=38.66166641316936  with dealing time: 71.03625345230103
138.jpg: NIQE=52.449010326519996  with dealing time: 71.23034143447876
139.jpg: NIQE=39.528541925110275  with dealing time: 104.98973846435547
14.jpg: NIQE=38.106944635283135  with dealing time: 95.10493326187134
140.jpg: NIQE=46.3910967825436  with dealing time: 94.5551483631134
141.jpg: NIQE=40.83497550118456  with dealing time: 94.01133632659912
142.jpg: NIQE=46.698685396927736  with dealing time: 96.95635056495667
143.jpg: NIQE=57.523830738454  with dealing time: 98.6581654548645
144.jpg: NIQE=59.2212884374228  with dealing time: 99.12750220298767
145.jpg: NIQE=53.0073364234447  with dealing time: 93.06147575378418
146.jpg: NIQE=41.26419182777727  with dealing time: 92.22691750526428
147.jpg: NIQE=37.09728164255704  with dealing time: 96.17895865440369
148.jpg: NIQE=48.00919868755608  with dealing time: 94.45099806785583
149.jpg: NIQE=41.89313857423376  with dealing time: 87.84171080589294
15.jpg: NIQE=38.19768309105585  with dealing time: 89.58303785324097
150.jpg: NIQE=51.99733966199037  with dealing time: 89.37905263900757
151.jpg: NIQE=44.033084580114604  with dealing time: 87.98486280441284
152.jpg: NIQE=51.107219367151096  with dealing time: 90.87727880477905
153.jpg: NIQE=41.60072507468899  with dealing time: 83.91898369789124
154.jpg: NIQE=46.26127059108466  with dealing time: 81.60431599617004
155.jpg: NIQE=59.39800430940152  with dealing time: 97.78054571151733
156.jpg: NIQE=37.89183030203093  with dealing time: 78.41042995452881
157.jpg: NIQE=60.28867079480407  with dealing time: 75.46521234512329
158.jpg: NIQE=52.82799388841095  with dealing time: 74.93206119537354
159.jpg: NIQE=56.55575459959119  with dealing time: 77.30058002471924
16.jpg: NIQE=45.30686719579699  with dealing time: 75.00148296356201
160.jpg: NIQE=48.711159720169654  with dealing time: 76.00120878219604
161.jpg: NIQE=35.48264997678858  with dealing time: 76.95434379577637
162.jpg: NIQE=34.54201759965344  with dealing time: 79.60269856452942
163.jpg: NIQE=37.4970106236133  with dealing time: 75.34753322601318
164.jpg: NIQE=35.48050814923688  with dealing time: 77.346266746521
165.jpg: NIQE=35.19088215627734  with dealing time: 75.70109963417053
166.jpg: NIQE=32.900880117763066  with dealing time: 67.25182723999023
167.jpg: NIQE=34.68100698917944  with dealing time: 69.55791974067688
168.jpg: NIQE=34.024301290340524  with dealing time: 69.51807618141174
169.jpg: NIQE=34.719129977573274  with dealing time: 70.72062993049622
17.jpg: NIQE=39.038480919353  with dealing time: 60.92177700996399
170.jpg: NIQE=33.715171185011386  with dealing time: 65.1982991695404
171.jpg: NIQE=34.60996563882256  with dealing time: 64.83048129081726
172.jpg: NIQE=40.251275731474585  with dealing time: 62.23556995391846
173.jpg: NIQE=35.14019186326051  with dealing time: 65.02548813819885
174.jpg: NIQE=36.01688556423726  with dealing time: 63.79564547538757
175.jpg: NIQE=36.104601063629914  with dealing time: 64.40794801712036
176.jpg: NIQE=45.57094407467231  with dealing time: 60.92728900909424
177.jpg: NIQE=34.59827523422567  with dealing time: 64.19197750091553
178.jpg: NIQE=33.285407912324075  with dealing time: 62.41453695297241
179.jpg: NIQE=43.62390660697731  with dealing time: 60.27351236343384
18.jpg: NIQE=42.1907479958977  with dealing time: 60.75840449333191
180.jpg: NIQE=33.05996254702826  with dealing time: 63.087546586990356
181.jpg: NIQE=36.39790385226206  with dealing time: 62.35802435874939
182.jpg: NIQE=37.03906607289451  with dealing time: 61.81881380081177
183.jpg: NIQE=35.93779411754573  with dealing time: 74.49313044548035
19.jpg: NIQE=44.09903588908765  with dealing time: 72.35682559013367
2.jpg: NIQE=43.93600976332471  with dealing time: 70.66658401489258
20.jpg: NIQE=38.717885220930654  with dealing time: 70.93653798103333
21.jpg: NIQE=38.277782897034946  with dealing time: 70.24582481384277
22.jpg: NIQE=42.10955593164778  with dealing time: 69.81972575187683
23.jpg: NIQE=42.1156486140711  with dealing time: 70.63639378547668
24.jpg: NIQE=42.77857042925098  with dealing time: 70.08437013626099
25.jpg: NIQE=43.74734592073425  with dealing time: 62.806784868240356
26.jpg: NIQE=42.09920350761651  with dealing time: 63.90861892700195
27.jpg: NIQE=40.29359347469339  with dealing time: 58.85470938682556
28.jpg: NIQE=37.8539837569966  with dealing time: 59.46612238883972
29.jpg: NIQE=43.154734721928456  with dealing time: 62.91195011138916
3.jpg: NIQE=43.424325086957396  with dealing time: 59.981743812561035
30.jpg: NIQE=53.25235028326628  with dealing time: 63.26591634750366
31.jpg: NIQE=51.558361500471236  with dealing time: 53.072179317474365
32.jpg: NIQE=59.022309890870545  with dealing time: 56.05647587776184
33.jpg: NIQE=32.832243802219615  with dealing time: 53.18882083892822
34.jpg: NIQE=33.529348579374776  with dealing time: 52.987364292144775
35.jpg: NIQE=33.37267322506359  with dealing time: 52.14641976356506
36.jpg: NIQE=33.162715760518886  with dealing time: 52.47209310531616
37.jpg: NIQE=36.15855520934918  with dealing time: 56.74069118499756
38.jpg: NIQE=35.68359780648546  with dealing time: 59.93568444252014
39.jpg: NIQE=38.70697052724291  with dealing time: 60.48043751716614
4.jpg: NIQE=36.852406509948004  with dealing time: 61.33718252182007
40.jpg: NIQE=39.65702850303899  with dealing time: 59.0484733581543
41.jpg: NIQE=38.948278696595146  with dealing time: 57.28210520744324
42.jpg: NIQE=38.68131248005347  with dealing time: 60.534562826156616
43.jpg: NIQE=36.45800283920256  with dealing time: 54.880072832107544
44.jpg: NIQE=38.762167730764716  with dealing time: 59.16612482070923
45.jpg: NIQE=39.0329550891868  with dealing time: 63.160746574401855
46.jpg: NIQE=40.50525889301365  with dealing time: 64.75713276863098
47.jpg: NIQE=38.17445290682586  with dealing time: 63.09229516983032
48.jpg: NIQE=45.562549179819605  with dealing time: 59.33737325668335
49.jpg: NIQE=50.61200866206032  with dealing time: 61.5780394077301
5.jpg: NIQE=37.404624017329795  with dealing time: 61.543609857559204
50.jpg: NIQE=40.555028113531485  with dealing time: 56.5390248298645
51.jpg: NIQE=46.929661933018124  with dealing time: 56.33222770690918
52.jpg: NIQE=44.19038312190322  with dealing time: 61.80777716636658
53.jpg: NIQE=48.71366193695908  with dealing time: 56.66398358345032
54.jpg: NIQE=41.316406638627875  with dealing time: 61.80481314659119
55.jpg: NIQE=39.908849238392364  with dealing time: 64.89263558387756
56.jpg: NIQE=43.80810443611061  with dealing time: 63.43555307388306
57.jpg: NIQE=45.11988418247375  with dealing time: 60.266884088516235
58.jpg: NIQE=38.32362054851159  with dealing time: 55.60923910140991
59.jpg: NIQE=43.803324797138316  with dealing time: 54.84451484680176
6.jpg: NIQE=36.78110073056226  with dealing time: 51.50368785858154
60.jpg: NIQE=37.502340426341476  with dealing time: 51.112826347351074
61.jpg: NIQE=39.40833713693444  with dealing time: 54.81272077560425
62.jpg: NIQE=38.18953577289627  with dealing time: 51.70042181015015
63.jpg: NIQE=50.465989837241864  with dealing time: 59.05403971672058
64.jpg: NIQE=41.08189506928701  with dealing time: 50.95676136016846
65.jpg: NIQE=37.678402326104624  with dealing time: 53.28609585762024
66.jpg: NIQE=38.66795733397533  with dealing time: 62.097418546676636
67.jpg: NIQE=35.70899322167197  with dealing time: 48.85169768333435
68.jpg: NIQE=36.665349290426285  with dealing time: 47.04569339752197
69.jpg: NIQE=35.70267609691245  with dealing time: 47.05073618888855
7.jpg: NIQE=35.50924213906397  with dealing time: 44.548240184783936
70.jpg: NIQE=37.27006350446262  with dealing time: 43.663755893707275
71.jpg: NIQE=36.63753761674105  with dealing time: 43.1827278137207
72.jpg: NIQE=38.065835241643185  with dealing time: 43.189510345458984
73.jpg: NIQE=37.75100992463671  with dealing time: 43.730950117111206
74.jpg: NIQE=36.43107892307598  with dealing time: 51.1190664768219
