104_img_.png: NIQE=40.1284725964632  with dealing time: 53.701233863830566
10_img_.png: NIQE=38.378747301695746  with dealing time: 54.076995611190796
111_img_.png: NIQE=46.68261043850747  with dealing time: 58.73244643211365
112_img_.png: NIQE=39.54339645271372  with dealing time: 82.88196039199829
11_img_.png: NIQE=38.523942038473336  with dealing time: 76.32716536521912
13_img_.png: NIQE=36.00020143273026  with dealing time: 68.45952272415161
14_img_.png: NIQE=51.42540028513625  with dealing time: 74.43630862236023
15003.png: NIQE=40.74408929680695  with dealing time: 97.58290004730225
150_img_.png: NIQE=36.66321468858826  with dealing time: 86.57560658454895
15544.png: NIQE=41.361074826706734  with dealing time: 92.98847675323486
15_img_.png: NIQE=33.72910725004346  with dealing time: 98.39269137382507
169_img_.png: NIQE=35.98905597139585  with dealing time: 86.0097861289978
16_img_.png: NIQE=35.46128165247761  with dealing time: 98.45394325256348
17_img_.png: NIQE=34.72294296413958  with dealing time: 82.2442455291748
18_img_.png: NIQE=39.98161841088012  with dealing time: 82.73866200447083
19_img_.png: NIQE=30.060809386352854  with dealing time: 90.5397298336029
20.png: NIQE=33.55406312049214  with dealing time: 87.72772669792175
22_img_.png: NIQE=38.19881923708193  with dealing time: 91.55031657218933
23_img_.png: NIQE=33.58358332163467  with dealing time: 88.40125131607056
24_img_.png: NIQE=53.605633236847105  with dealing time: 87.55776619911194
282_img_.png: NIQE=43.875566453541445  with dealing time: 85.87553572654724
284_img_.png: NIQE=47.06611901452825  with dealing time: 96.71964955329895
288_img_.png: NIQE=45.09571026585883  with dealing time: 100.71239399909973
290_img_.png: NIQE=45.62420407377225  with dealing time: 95.35031843185425
292_img_.png: NIQE=44.37208753839514  with dealing time: 91.04971837997437
293_img_.png: NIQE=41.099313280354224  with dealing time: 87.38082647323608
294_img_.png: NIQE=42.694781035091836  with dealing time: 86.94703984260559
295_img_.png: NIQE=44.06738980833143  with dealing time: 75.9385929107666
299_img_.png: NIQE=53.41052908944908  with dealing time: 77.57228875160217
2_img_.png: NIQE=34.44450753644812  with dealing time: 72.62244129180908
300_img_.png: NIQE=49.787762857780116  with dealing time: 69.97576332092285
301_img_.png: NIQE=51.27930594961315  with dealing time: 65.39420533180237
302_img_.png: NIQE=53.66146814315712  with dealing time: 73.80891633033752
303_img_.png: NIQE=47.944798813400716  with dealing time: 78.09130001068115
304_img_.png: NIQE=42.302217493096265  with dealing time: 68.70689129829407
305_img_.png: NIQE=44.983245447693  with dealing time: 69.95948624610901
306_img_.png: NIQE=42.43750323181913  with dealing time: 66.45635151863098
307_img_.png: NIQE=51.02074515807304  with dealing time: 66.56258511543274
30_img_.png: NIQE=33.936827366908545  with dealing time: 70.51523399353027
311_img_.png: NIQE=48.68411283262861  with dealing time: 66.95123386383057
312_img_.png: NIQE=47.59067718247215  with dealing time: 76.4733099937439
313_img_.png: NIQE=45.58209268985758  with dealing time: 75.00640320777893
314_img_.png: NIQE=60.37340737178106  with dealing time: 76.51422166824341
315_img_.png: NIQE=41.27174374546768  with dealing time: 76.83893132209778
316_img_.png: NIQE=44.75627097318898  with dealing time: 73.28180122375488
317_img_.png: NIQE=44.45445415301621  with dealing time: 72.04344511032104
318_img_.png: NIQE=47.72503005017093  with dealing time: 71.22067904472351
319_img_.png: NIQE=48.75377722169438  with dealing time: 70.40217018127441
320_img_.png: NIQE=51.8460703685957  with dealing time: 98.2878315448761
322_img_.png: NIQE=43.60843849846677  with dealing time: 96.26781678199768
323_img_.png: NIQE=44.53901604280568  with dealing time: 91.35975432395935
324_img_.png: NIQE=41.93146845337236  with dealing time: 92.15842604637146
325_img_.png: NIQE=43.71798547346986  with dealing time: 101.23108315467834
326_img_.png: NIQE=42.30040225389306  with dealing time: 104.85021328926086
327_img_.png: NIQE=52.71483474575686  with dealing time: 99.42434239387512
330_img_.png: NIQE=72.04053607321943  with dealing time: 111.81114554405212
332_img_.png: NIQE=46.12143501671542  with dealing time: 116.17389702796936
334_img_.png: NIQE=50.26848570621823  with dealing time: 89.51813578605652
336_img_.png: NIQE=47.31118171358214  with dealing time: 110.62378191947937
337_img_.png: NIQE=43.496122059775516  with dealing time: 111.52432155609131
338_img_.png: NIQE=49.73732463587054  with dealing time: 98.620108127594
340_img_.png: NIQE=52.41670559765917  with dealing time: 80.38189101219177
341_img_.png: NIQE=53.17653071338661  with dealing time: 75.32929539680481
342_img_.png: NIQE=59.645549644914844  with dealing time: 67.52930927276611
343_img_.png: NIQE=47.88649153120407  with dealing time: 73.04043817520142
346_img_.png: NIQE=44.025140651608645  with dealing time: 72.34447741508484
347_img_.png: NIQE=47.93677952668567  with dealing time: 79.0254578590393
