1.jpg: NIQE=40.641661434591285  with dealing time: 49.73483324050903
10.jpg: NIQE=31.38160474499731  with dealing time: 56.77731990814209
100.jpg: NIQE=37.21281527185067  with dealing time: 57.24949550628662
101.jpg: NIQE=30.82918411268822  with dealing time: 74.50255584716797
102.jpg: NIQE=35.725800848363015  with dealing time: 77.34312343597412
103.jpg: NIQE=36.26080384941254  with dealing time: 79.72323083877563
104.jpg: NIQE=36.119335945807  with dealing time: 75.60642910003662
105.jpg: NIQE=45.97488088698736  with dealing time: 99.03421068191528
106.jpg: NIQE=44.94002448800651  with dealing time: 98.2180163860321
107.jpg: NIQE=34.4319068639618  with dealing time: 92.90324759483337
108.jpg: NIQE=40.003999654400246  with dealing time: 100.76848864555359
109.jpg: NIQE=41.80669735059902  with dealing time: 94.69224381446838
11.jpg: NIQE=30.559969034841476  with dealing time: 102.01538038253784
110.jpg: NIQE=47.405885063098935  with dealing time: 89.52880215644836
111.jpg: NIQE=48.48133674590133  with dealing time: 91.6031928062439
112.jpg: NIQE=40.29964774913202  with dealing time: 93.12370538711548
113.jpg: NIQE=41.699797261466195  with dealing time: 95.64596271514893
114.jpg: NIQE=51.732632565275  with dealing time: 92.59137630462646
115.jpg: NIQE=48.864053174036464  with dealing time: 90.09136295318604
116.jpg: NIQE=35.87653965769687  with dealing time: 89.18411874771118
117.jpg: NIQE=36.69227780707885  with dealing time: 95.9373095035553
118.jpg: NIQE=42.41121271260206  with dealing time: 102.96200680732727
119.jpg: NIQE=39.60539012513835  with dealing time: 105.14392971992493
12.jpg: NIQE=30.97667043265024  with dealing time: 93.13448143005371
120.jpg: NIQE=42.36064168074784  with dealing time: 94.2474160194397
121.jpg: NIQE=39.44750306974665  with dealing time: 91.27490305900574
122.jpg: NIQE=37.72442067468906  with dealing time: 89.09079241752625
123.jpg: NIQE=36.457568851899936  with dealing time: 76.623863697052
124.jpg: NIQE=37.90203424590694  with dealing time: 77.22269415855408
125.jpg: NIQE=38.48315324866685  with dealing time: 74.86235046386719
126.jpg: NIQE=37.33366295550212  with dealing time: 71.22180247306824
127.jpg: NIQE=38.04492759239236  with dealing time: 75.2157769203186
128.jpg: NIQE=38.31957986466949  with dealing time: 80.37572813034058
129.jpg: NIQE=36.76476159514778  with dealing time: 74.4752242565155
13.jpg: NIQE=35.28963593448186  with dealing time: 78.92347717285156
130.jpg: NIQE=40.46631557586214  with dealing time: 73.36066007614136
131.jpg: NIQE=39.919617216394954  with dealing time: 71.48703026771545
132.jpg: NIQE=38.6172748136698  with dealing time: 74.55150651931763
133.jpg: NIQE=35.52551785290008  with dealing time: 87.07212829589844
134.jpg: NIQE=34.972628843312805  with dealing time: 82.38182330131531
135.jpg: NIQE=37.742107624066506  with dealing time: 79.91117429733276
136.jpg: NIQE=37.99641372376784  with dealing time: 79.25940155982971
137.jpg: NIQE=36.10010422668054  with dealing time: 76.41981101036072
138.jpg: NIQE=50.59414950811724  with dealing time: 75.6785261631012
139.jpg: NIQE=37.08338712481081  with dealing time: 80.94252705574036
14.jpg: NIQE=35.445813207550344  with dealing time: 76.59471368789673
140.jpg: NIQE=45.349418850071736  with dealing time: 104.28157448768616
141.jpg: NIQE=39.516500661542665  with dealing time: 94.17581605911255
142.jpg: NIQE=43.00540541590511  with dealing time: 107.62449359893799
143.jpg: NIQE=56.54881983762016  with dealing time: 93.45870876312256
144.jpg: NIQE=56.936277049485795  with dealing time: 102.43941259384155
145.jpg: NIQE=53.7745070036733  with dealing time: 110.28408598899841
146.jpg: NIQE=38.98623796214892  with dealing time: 106.58319282531738
147.jpg: NIQE=34.22146129932268  with dealing time: 122.99393630027771
148.jpg: NIQE=44.67614820651726  with dealing time: 103.19480156898499
149.jpg: NIQE=39.71560506788754  with dealing time: 97.42974066734314
15.jpg: NIQE=37.437136602101724  with dealing time: 130.77396726608276
150.jpg: NIQE=49.38355317162058  with dealing time: 109.82449769973755
151.jpg: NIQE=41.538674841116524  with dealing time: 87.747478723526
152.jpg: NIQE=47.9608242974922  with dealing time: 83.07392024993896
153.jpg: NIQE=39.693937248076836  with dealing time: 76.27292394638062
154.jpg: NIQE=43.38040279148107  with dealing time: 75.93607068061829
155.jpg: NIQE=58.46702957392463  with dealing time: 78.9279477596283
156.jpg: NIQE=36.07828454578119  with dealing time: 83.12250971794128
