1.jpg: uiqm=0.2551268620602572, uciqe=0.5288875705585474
10.jpg: uiqm=0.3132389973752157, uciqe=0.5605239538762503
100.jpg: uiqm=0.7001681570590235, uciqe=0.5280306729747324
101.jpg: uiqm=0.3265245148393311, uciqe=0.556221030726921
102.jpg: uiqm=0.5609592377832612, uciqe=0.5429232032434524
103.jpg: uiqm=0.5968866246189484, uciqe=0.5403083573015854
104.jpg: uiqm=0.6140637745787999, uciqe=0.5408910186257395
105.jpg: uiqm=0.5481616347855804, uciqe=0.5436579752987505
106.jpg: uiqm=0.5710727036047676, uciqe=0.5407973529670189
107.jpg: uiqm=0.7736249043949006, uciqe=0.5320757213974856
108.jpg: uiqm=0.6634293175021766, uciqe=0.5238318319411887
109.jpg: uiqm=0.6411373477648887, uciqe=0.5249591953274599
11.jpg: uiqm=0.3143115374641298, uciqe=0.5605406311833963
110.jpg: uiqm=0.49076878477459207, uciqe=0.523000426303308
111.jpg: uiqm=0.40969083552663715, uciqe=0.5390333889602867
112.jpg: uiqm=0.542566919406944, uciqe=0.526063356946237
113.jpg: uiqm=0.5352096924367834, uciqe=0.5250476382525874
114.jpg: uiqm=0.3355358160699522, uciqe=0.5294132190455964
115.jpg: uiqm=0.5226658493234183, uciqe=0.53741268005063
116.jpg: uiqm=0.4537242967213174, uciqe=0.5124201775799102
117.jpg: uiqm=0.4403561448887112, uciqe=0.5170898276417089
118.jpg: uiqm=0.5931720098328148, uciqe=0.5121493073802297
119.jpg: uiqm=0.6128254236976847, uciqe=0.5470229030082592
12.jpg: uiqm=0.31923243679852653, uciqe=0.5602479611783955
120.jpg: uiqm=0.5049889779734427, uciqe=0.5346992030765454
121.jpg: uiqm=0.5805784405976091, uciqe=0.5291829617066706
122.jpg: uiqm=0.6680069071394659, uciqe=0.5367528377161596
123.jpg: uiqm=0.5083294122727888, uciqe=0.539180117362274
124.jpg: uiqm=0.4552339789390767, uciqe=0.5411033844367322
125.jpg: uiqm=0.5129071257270645, uciqe=0.5373296727744439
126.jpg: uiqm=0.5272420658814261, uciqe=0.5409801836474578
127.jpg: uiqm=0.4145569914947503, uciqe=0.5294638268961819
128.jpg: uiqm=0.6179942972610718, uciqe=0.49970626288372944
