1.png: uiqm=0.2177221947429573, uciqe=0.5560113957946242
10.png: uiqm=0.7901473242575908, uciqe=0.5515185811548435
11.png: uiqm=0.41212605195903307, uciqe=0.49864407406677014
12.png: uiqm=0.9111628398607934, uciqe=0.5608047412517871
13.png: uiqm=1.1492055802555834, uciqe=0.5902731354453479
14.png: uiqm=0.4593328073321711, uciqe=0.5320185785147531
15.png: uiqm=0.7853420224574043, uciqe=0.5774804981733122
16.png: uiqm=0.9284706351111083, uciqe=0.5417807601265207
17.png: uiqm=0.6123789859768888, uciqe=0.5719344403817583
18.png: uiqm=0.8204807306634871, uciqe=0.6659946701673346
19.png: uiqm=0.8552877302577311, uciqe=0.6136051428307584
2.png: uiqm=0.408398924092491, uciqe=0.5720996681052768
20.png: uiqm=0.7895604247628981, uciqe=0.6232131833905177
21.png: uiqm=0.9286268190553079, uciqe=0.6951500473385521
22.png: uiqm=0.7389875095134605, uciqe=0.5673646987776011
23.png: uiqm=0.7753116636135257, uciqe=0.5825447925870023
24.png: uiqm=0.9374482921613189, uciqe=0.6374682398660058
25.png: uiqm=0.8873669417456482, uciqe=0.638588598696656
26.png: uiqm=0.6997586282030768, uciqe=0.5853721327873622
27.png: uiqm=0.9670742062755864, uciqe=0.6673915576254008
28.png: uiqm=0.9633882827104299, uciqe=0.6422825781684878
29.png: uiqm=1.1890000380243169, uciqe=0.5504330564176356
3.png: uiqm=0.7077569073450621, uciqe=0.5399377431484788
30.png: uiqm=-0.16828935822049274, uciqe=0.5385073064364254
31.png: uiqm=0.9882197192435054, uciqe=0.6080121937486471
32.png: uiqm=0.9277196023162785, uciqe=0.5930847278771277
33.png: uiqm=1.2336219150954206, uciqe=0.572277698521358
34.png: uiqm=1.206793400496405, uciqe=0.5671370090293621
35.png: uiqm=1.0815698690610478, uciqe=0.5646465733561292
36.png: uiqm=1.1049823652105182, uciqe=0.5693725049664876
37.png: uiqm=1.069421056224883, uciqe=0.6362645454965214
38.png: uiqm=0.930987488266341, uciqe=0.6063046786280797
39.png: uiqm=0.7735053733437436, uciqe=0.5321027607969806
4.png: uiqm=0.1708091479377315, uciqe=0.4926757194686249
40.png: uiqm=1.060780857797544, uciqe=0.5332073507315475
41.png: uiqm=0.7023034192688342, uciqe=0.5464151377116142
42.png: uiqm=0.6695594797871344, uciqe=0.55379614548059
43.png: uiqm=1.0072325529296906, uciqe=0.5770215565685318
44.png: uiqm=1.0594989090138147, uciqe=0.5917595406325017
45.png: uiqm=1.0712275457679368, uciqe=0.6003865068564356
5.png: uiqm=0.651717132202043, uciqe=0.5680537195592115
6.png: uiqm=0.5391142787048214, uciqe=0.5595889850155218
7.png: uiqm=0.6262431390518403, uciqe=0.5504170890288507
8.png: uiqm=0.4796240109117136, uciqe=0.5617884453874771
9.png: uiqm=0.7217145652307979, uciqe=0.5862237856101662

Average: uiqm=0.7965042668893206, uciqe=0.579354584349444

