1.png: NIQE=51.089907194720375  with dealing time: 52.408841609954834
10.png: NIQE=45.617280356618245  with dealing time: 48.936747550964355
11.png: NIQE=55.26190438840547  with dealing time: 48.49623894691467
12.png: NIQE=36.03536298563737  with dealing time: 46.62255263328552
13.png: NIQE=34.42803538096627  with dealing time: 47.36533236503601
14.png: NIQE=40.72821079260606  with dealing time: 50.850396394729614
15.png: NIQE=35.889161983241145  with dealing time: 45.86968278884888
16.png: NIQE=45.66249160776518  with dealing time: 50.69321250915527
17.png: NIQE=37.757169972843705  with dealing time: 58.51305150985718
18.png: NIQE=35.42683615919084  with dealing time: 54.778167486190796
19.png: NIQE=43.85089369804462  with dealing time: 52.57551574707031
2.png: NIQE=54.115147204025675  with dealing time: 50.29030513763428
20.png: NIQE=39.25110708941012  with dealing time: 51.518850564956665
21.png: NIQE=33.716821248085594  with dealing time: 56.84532356262207
22.png: NIQE=37.11200983682061  with dealing time: 53.17373204231262
23.png: NIQE=34.45722001796118  with dealing time: 49.802595138549805
24.png: NIQE=35.65609137569644  with dealing time: 49.95437812805176
25.png: NIQE=42.314183579223716  with dealing time: 50.087156772613525
26.png: NIQE=43.368770319275434  with dealing time: 52.70739698410034
27.png: NIQE=37.68861263231143  with dealing time: 49.60827875137329
28.png: NIQE=34.00829291324075  with dealing time: 48.37069892883301
29.png: NIQE=53.756253689664796  with dealing time: 45.51107215881348
3.png: NIQE=44.637455138878  with dealing time: 47.49293899536133
30.png: NIQE=48.88813385261534  with dealing time: 49.92198157310486
31.png: NIQE=35.557363416728386  with dealing time: 46.86074948310852
32.png: NIQE=35.49365476219067  with dealing time: 46.90748596191406
33.png: NIQE=32.15979122799779  with dealing time: 45.984713315963745
34.png: NIQE=39.54241011147573  with dealing time: 45.479820013046265
35.png: NIQE=37.49447142306898  with dealing time: 45.632407665252686
36.png: NIQE=37.78467248339091  with dealing time: 45.83945059776306
37.png: NIQE=33.37150425320985  with dealing time: 46.103116273880005
38.png: NIQE=36.16154378775298  with dealing time: 48.97804355621338
39.png: NIQE=35.31956541040993  with dealing time: 46.74507021903992
4.png: NIQE=52.474691470046444  with dealing time: 50.40687370300293
40.png: NIQE=33.53611750770953  with dealing time: 46.82630681991577
41.png: NIQE=35.5451726802323  with dealing time: 45.37588119506836
42.png: NIQE=37.8759017042054  with dealing time: 46.907092571258545
43.png: NIQE=31.859732379507932  with dealing time: 48.75834679603577
44.png: NIQE=33.0170959173674  with dealing time: 49.110803842544556
45.png: NIQE=32.64438558964038  with dealing time: 48.05495357513428
5.png: NIQE=40.059118038049924  with dealing time: 47.97602462768555
6.png: NIQE=54.31850992305663  with dealing time: 49.2679340839386
7.png: NIQE=41.72835765281177  with dealing time: 49.793763637542725
8.png: NIQE=58.50283585522726  with dealing time: 52.111918449401855
9.png: NIQE=44.08529854352064  with dealing time: 47.83043932914734

45 Image Average: NIQE=40.4277677234411, TimePerImage=49.185458755493165, SumTime = 2213.3456439971924s

