104_img_.png: NIQE=48.883228016008566  with dealing time: 91.89485335350037
10_img_.png: NIQE=45.09055219816496  with dealing time: 89.97923707962036
111_img_.png: NIQE=51.550665445507605  with dealing time: 92.97887182235718
112_img_.png: NIQE=54.40222802782353  with dealing time: 95.19851303100586
11_img_.png: NIQE=43.01311142141044  with dealing time: 91.30893421173096
13_img_.png: NIQE=47.870380497987775  with dealing time: 84.61625456809998
14_img_.png: NIQE=57.67352122117136  with dealing time: 89.43312859535217
15003.png: NIQE=46.73663628627589  with dealing time: 92.56938695907593
150_img_.png: NIQE=47.58237754004052  with dealing time: 82.42361044883728
15544.png: NIQE=44.71911680918046  with dealing time: 93.16472887992859
15_img_.png: NIQE=39.29986202028909  with dealing time: 89.76947617530823
169_img_.png: NIQE=50.107508855749984  with dealing time: 82.43157958984375
16_img_.png: NIQE=47.69248781449187  with dealing time: 87.88143801689148
17_img_.png: NIQE=41.13250849260717  with dealing time: 83.74446177482605
18_img_.png: NIQE=50.1036934233594  with dealing time: 83.34535598754883
19_img_.png: NIQE=38.19926874968938  with dealing time: 88.1751639842987
20.png: NIQE=35.484447787895746  with dealing time: 83.8457624912262
22_img_.png: NIQE=46.79944251581739  with dealing time: 86.21270990371704
23_img_.png: NIQE=44.192671184495154  with dealing time: 89.44816756248474
24_img_.png: NIQE=57.625289155864984  with dealing time: 88.340740442276
282_img_.png: NIQE=43.48592073023543  with dealing time: 85.35927248001099
284_img_.png: NIQE=43.48702388725492  with dealing time: 91.29530429840088
288_img_.png: NIQE=43.158271678137616  with dealing time: 87.8039824962616
290_img_.png: NIQE=42.66316693930988  with dealing time: 89.82934331893921
292_img_.png: NIQE=42.90634469270892  with dealing time: 94.41253185272217
293_img_.png: NIQE=41.266411271699745  with dealing time: 88.27334833145142
294_img_.png: NIQE=37.09156604509312  with dealing time: 82.88586068153381
295_img_.png: NIQE=43.93455247029144  with dealing time: 86.09753179550171
299_img_.png: NIQE=46.917894192200556  with dealing time: 90.03076457977295
2_img_.png: NIQE=37.44773766202754  with dealing time: 89.57190346717834
300_img_.png: NIQE=43.34739545623007  with dealing time: 88.6324315071106
