1.png: NIQE=67.6580967686627  with dealing time: 94.93669247627258
10.png: NIQE=46.44703923172982  with dealing time: 84.69202971458435
11.png: NIQE=75.25571472967894  with dealing time: 91.0638370513916
12.png: NIQE=45.33300884041192  with dealing time: 86.74615335464478
13.png: NIQE=38.352929998103704  with dealing time: 89.46000862121582
14.png: NIQE=50.11491249957378  with dealing time: 96.97170972824097
15.png: NIQE=44.24128732839077  with dealing time: 86.0091233253479
16.png: NIQE=48.36778442179705  with dealing time: 83.04201698303223
17.png: NIQE=40.98604167315105  with dealing time: 95.02633571624756
18.png: NIQE=41.243309837480076  with dealing time: 94.2223129272461
19.png: NIQE=45.162308247352435  with dealing time: 98.586909532547
2.png: NIQE=55.72139298053125  with dealing time: 89.10901069641113
20.png: NIQE=41.82669617485678  with dealing time: 87.7660448551178
21.png: NIQE=34.867912297508056  with dealing time: 93.66613364219666
22.png: NIQE=47.31750026434555  with dealing time: 96.77873873710632
23.png: NIQE=38.39364980429162  with dealing time: 90.85110926628113
24.png: NIQE=40.3583843510036  with dealing time: 92.27869415283203
25.png: NIQE=44.23945270680508  with dealing time: 91.7169771194458
26.png: NIQE=49.076488644059275  with dealing time: 90.32855534553528
27.png: NIQE=40.87075797864016  with dealing time: 90.51051354408264
28.png: NIQE=41.513883416082884  with dealing time: 90.43630576133728
29.png: NIQE=52.760779590650316  with dealing time: 81.73500108718872
3.png: NIQE=58.67976162510121  with dealing time: 83.19459748268127
30.png: NIQE=54.07873206754215  with dealing time: 88.23223900794983
31.png: NIQE=49.96362635464355  with dealing time: 84.19318389892578
32.png: NIQE=45.76451741891201  with dealing time: 84.56833243370056
33.png: NIQE=41.60335463726614  with dealing time: 84.6192774772644
34.png: NIQE=44.945519805057195  with dealing time: 82.77710366249084
35.png: NIQE=44.70244431669683  with dealing time: 84.92304611206055
36.png: NIQE=43.01798098906176  with dealing time: 83.43706798553467
37.png: NIQE=41.349068541913965  with dealing time: 87.33270621299744
38.png: NIQE=42.097052824783376  with dealing time: 89.92834496498108
39.png: NIQE=54.91940271964376  with dealing time: 82.68228840827942
4.png: NIQE=64.59867750237622  with dealing time: 86.95475482940674
40.png: NIQE=40.35871578603264  with dealing time: 87.48486042022705
41.png: NIQE=47.574292152845494  with dealing time: 86.52122020721436
42.png: NIQE=50.53473331739425  with dealing time: 87.81383323669434
43.png: NIQE=42.37459249324639  with dealing time: 88.28221917152405
44.png: NIQE=42.03408152413154  with dealing time: 87.94477581977844
45.png: NIQE=42.48120529053407  with dealing time: 86.66402673721313
5.png: NIQE=46.36623298828092  with dealing time: 88.70697116851807
6.png: NIQE=59.997548094582555  with dealing time: 87.02771735191345
7.png: NIQE=48.5391101672348  with dealing time: 91.65908193588257
8.png: NIQE=84.624150574218  with dealing time: 87.8942039012909
9.png: NIQE=46.62402367580747  with dealing time: 87.1879391670227

45 Image Average: NIQE=48.16307014783141, TimePerImage=88.57697789404128, SumTime = 3985.9640052318573s

