104_img_: PSNR=21.66136547496692 SSIM=0.8923096987954201 UIQM=0.22106073951601896 UCIQE=0.5423884826441657
10_img_: PSNR=10.880724670589029 SSIM=0.05130766583695871 UIQM=0.16989972844367646 UCIQE=0.5926200336013704
111_img_: PSNR=15.08999354593696 SSIM=0.6191937877340062 UIQM=0.42494113928996224 UCIQE=0.4984518356674732
112_img_: PSNR=16.609443005193988 SSIM=0.5318450629889112 UIQM=0.29537024408769275 UCIQE=0.5605919363274602
11_img_: PSNR=19.610129980300414 SSIM=0.7850187680953356 UIQM=0.5237392231264186 UCIQE=0.647027983936383
13_img_: PSNR=16.537427208628333 SSIM=0.7042738616411781 UIQM=0.8328977271022409 UCIQE=0.5266329942278742
14_img_: PSNR=20.89072978823715 SSIM=0.7901647226904669 UIQM=0.6549542944904847 UCIQE=0.6371887304176581
15003: PSNR=17.19659812509534 SSIM=0.6829055546925071 UIQM=-0.11380738326074283 UCIQE=0.39966701110999125
150_img_: PSNR=18.28591814455246 SSIM=0.6971165107506602 UIQM=0.5835942110886225 UCIQE=0.5372678885048279
15544: PSNR=15.186817187636557 SSIM=0.15379963758855708 UIQM=-0.16162891842715035 UCIQE=0.48747685749502256
15_img_: PSNR=17.2807230607801 SSIM=0.5776813675974377 UIQM=0.931746092292521 UCIQE=0.6354081428504544
169_img_: PSNR=13.500799221454416 SSIM=0.30268749308530496 UIQM=1.0705666197305952 UCIQE=0.48079834636159957
16_img_: PSNR=16.523181282443005 SSIM=0.1308634526563039 UIQM=0.7480914300659013 UCIQE=0.4955454533698162
17_img_: PSNR=19.96720926007552 SSIM=0.6075836058748323 UIQM=1.1137232585694874 UCIQE=0.5620931964865611
18_img_: PSNR=9.900667677935807 SSIM=0.05823149908026764 UIQM=0.6285776900388984 UCIQE=0.396839474087779
19_img_: PSNR=17.33449608509367 SSIM=0.6304542364999228 UIQM=0.7726441643111821 UCIQE=0.5835390112635672
20: PSNR=18.19536771004161 SSIM=0.5209824780248583 UIQM=0.8767446445050673 UCIQE=0.5507405213667014
22_img_: PSNR=13.422588390903108 SSIM=-0.03859811864104186 UIQM=0.6726554577231533 UCIQE=0.48075332883522826
23_img_: PSNR=15.24620939509352 SSIM=-0.08961101639340752 UIQM=0.6782798821725537 UCIQE=0.5047279935643016
24_img_: PSNR=14.032709618068305 SSIM=-0.034021808814813426 UIQM=0.71502134087855 UCIQE=0.4962717537609771
282_img_: PSNR=15.35081450076704 SSIM=0.3726476623540648 UIQM=1.0668630882214714 UCIQE=0.5837143902964821
284_img_: PSNR=26.273186073918243 SSIM=0.8386948014338819 UIQM=0.94132259579224 UCIQE=0.6605259362939944
288_img_: PSNR=17.51036873901946 SSIM=0.594724955132607 UIQM=0.6032313212305332 UCIQE=0.5548666240669233
290_img_: PSNR=18.06463516912832 SSIM=0.6271727205743439 UIQM=0.5742812451844782 UCIQE=0.5198082452332442
292_img_: PSNR=16.177480321620937 SSIM=0.28471019440051143 UIQM=0.8262109099145749 UCIQE=0.61294225740185
293_img_: PSNR=15.08841508221326 SSIM=0.33768918254793995 UIQM=0.8005374515872595 UCIQE=0.5369614759226558
294_img_: PSNR=15.014664895198786 SSIM=0.315341375953158 UIQM=0.3721439506501515 UCIQE=0.5766420057321859
295_img_: PSNR=21.06069057997161 SSIM=0.7747751493486449 UIQM=1.0610605594123297 UCIQE=0.6552600029974364
299_img_: PSNR=21.300174746965652 SSIM=0.9460056068708705 UIQM=0.6964765922104182 UCIQE=0.5417522421026864
2_img_: PSNR=18.07674583704985 SSIM=0.643767362764283 UIQM=0.6311081720025391 UCIQE=0.6587383572001894
300_img_: PSNR=15.303592169708278 SSIM=0.31321626606846686 UIQM=0.4937457993808897 UCIQE=0.5352702655398839
301_img_: PSNR=17.886491505897332 SSIM=0.6410491118832976 UIQM=0.7878427211867072 UCIQE=0.5426500211200693
302_img_: PSNR=16.388723895120698 SSIM=0.7489195007417354 UIQM=0.5085020703996982 UCIQE=0.5154993476818734
